family_group,aggregation,family_a,family_b,pearson,spearman
BM,MAX,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0,HSP_BM_RAW_TOTAL_RASA_TIEN_CLOSEST_SC_R4p0,0.14789355713757496,0.19054483871821337
BM,MAX,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0,HSP_BM_RAW_TOTAL_RASA_TIEN_CLOSEST_SC_R5p0,0.2808092996788333,0.25022677357042683
BM,MAX,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0,HSP_BM_RAW_TOTAL_RASA_TIEN_CLOSEST_SC_R6p0,0.43260094762034523,0.3317424783678654
BM,MAX,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0,HSP_BM_RAW_TOTAL_RASA_TIEN_CLOSEST_SC_R7p5,0.47119665164006197,0.3855228317147822
BM,MAX,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0,HSP_BM_RAW_TOTAL_RASA_TIEN_CLOSEST_SC_R8p0,0.4167471009896551,0.30014553729724014
BM,MAX,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0,HSP_BM_RAW_TOTAL_RASA_TIEN_CLOSEST_SC_R10p0,0.4300609228791666,0.3372393779824121
BM,MAX,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0,0.3178655289199135,0.26785185373388676
BM,MAX,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R5p0,0.09934462544734593,0.07597293888315561
BM,MAX,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R6p0,0.18445793363087948,0.2224399107371244
BM,MAX,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5,0.7307631895306065,0.6288001552397838
BM,MAX,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0,0.9999999999999999,1.0
BM,MAX,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R10p0,0.4271157966505812,0.30332689441048577
BM,MAX,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R10p0,HSP_BM_RAW_TOTAL_RASA_TIEN_CLOSEST_SC_R4p0,0.10840013270133458,0.11135173277588141
BM,MAX,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R10p0,HSP_BM_RAW_TOTAL_RASA_TIEN_CLOSEST_SC_R5p0,0.1328859361669904,0.046718354458292546
BM,MAX,HSP_BM_RAW_TOTAL_RASA_TIEN_CENTROID_R10p0,HSP_BM_RAW_TOTAL_RASA_TIEN_CLOSEST_SC_R6p0,0.24132377381648787,0.18303687826907644
