feature,spearman_rho_HIC_dev,pvalue
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__ALL_FV__SUM,0.06495497063160051,0.41152805326011344
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__ALL_FV__Q90,-0.06255424914355427,0.4290635426854169
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__ALL_FV__Q95,-0.09188228707512454,0.24487966541436668
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__ALL_FV__TOP3_MEAN,0.028987900436791236,0.7142339954503687
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__ALL_FV__TOP5_MEAN,0.008089909211923041,0.918620101131931
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__HEAVY__MAX,-0.023040434034306292,0.7710324816919066
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__HEAVY__MEAN,0.0911018056037021,0.24892803400465568
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__HEAVY__SUM,0.020473172196119268,0.7959514324203374
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__HEAVY__Q90,-0.16224135093290323,0.039141970605341504
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__HEAVY__Q95,-0.05422582027761605,0.4931281280646797
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__HEAVY__TOP3_MEAN,-0.051740417255599906,0.5131848328615505
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__HEAVY__TOP5_MEAN,-0.061475970944337724,0.4370775084901178
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__LIGHT__MAX,0.10188741031366648,0.1970044264077966
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__LIGHT__MEAN,0.10134827121405822,0.19939717522313927
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__LIGHT__SUM,0.07228556875559358,0.3606552790025225
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__LIGHT__Q90,0.1414421548309999,0.07259615460026894
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__LIGHT__Q95,0.10022200681225873,0.2044633559475012
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__LIGHT__TOP3_MEAN,0.12869617260963265,0.10264889793942776
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__LIGHT__TOP5_MEAN,0.12252712285992653,0.12035194517714204
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__ALL_CDR__MAX,0.13321675516472503,0.09103108284457574
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__ALL_CDR__MEAN,0.301943300240822,9.426806611721637e-05
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__ALL_CDR__SUM,0.18976143811421645,0.0155810690775194
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__ALL_CDR__Q90,0.16920640710192628,0.031356830900555424
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__ALL_CDR__Q95,0.15588882452626232,0.04760206360850009
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__ALL_CDR__TOP3_MEAN,0.14932318292579722,0.05789350452316318
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__ALL_CDR__TOP5_MEAN,0.16597862929877416,0.034783621830227617
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__H_CDR3__MAX,0.06378777682171559,0.42000035308202205
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__H_CDR3__MEAN,0.022518231241492,0.7760831903358723
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__H_CDR3__SUM,-0.08346211988071894,0.2910061848140941
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__H_CDR3__Q90,0.05948454353714591,0.4521003630695831
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__H_CDR3__Q95,0.05830323613826602,0.4611467333932752
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__H_CDR3__TOP3_MEAN,0.07946232875954136,0.31482512371618293
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__H_CDR3__TOP5_MEAN,0.08566383976393595,0.2784209357028551
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__L_CDR3__MAX,0.035151304750899386,0.6569877466908722
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__L_CDR3__MEAN,0.009145605668747612,0.9080443970906008
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__L_CDR3__SUM,0.0006478137348696224,0.9934722002350087
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__L_CDR3__Q90,0.05526034635094815,0.48490402145741623
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__L_CDR3__Q95,0.04624317434205486,0.5589952613494178
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__L_CDR3__TOP3_MEAN,0.05988960354130187,0.4490214740909926
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R7p5__L_CDR3__TOP5_MEAN,0.06165380216567449,0.4357499850499523
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__ALL_FV__MAX,0.041309063629409545,0.6017190662936232
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__ALL_FV__MEAN,0.16805756095773483,0.032542088019142615
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__ALL_FV__SUM,0.10289229785010913,0.19260035138514364
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__ALL_FV__Q90,0.001215180012467854,0.9877553830897212
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__ALL_FV__Q95,-0.041762109836148434,0.5977359598566504
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__ALL_FV__TOP3_MEAN,0.05313625120720352,0.5018691906512995
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__ALL_FV__TOP5_MEAN,0.06497755237399248,0.41136513630935184
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__HEAVY__MAX,-0.030980739202882534,0.695530450687159
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__HEAVY__MEAN,0.10281890718733522,0.19291955039790223
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__HEAVY__SUM,0.034434334429954354,0.6635531823815888
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__HEAVY__Q90,-0.1130907772578823,0.15189631065460546
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__HEAVY__Q95,-0.07784632281961605,0.3247986920405602
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__HEAVY__TOP3_MEAN,-0.03016497375897264,0.7031653145860346
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__HEAVY__TOP5_MEAN,-0.015757822112896152,0.8422442826014367
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__LIGHT__MAX,0.13201145466455366,0.09402111444851416
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__LIGHT__MEAN,0.1755631675852657,0.025441222877084935
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__LIGHT__SUM,0.1445612579988907,0.06645096444960773
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__LIGHT__Q90,0.13368532631935842,0.08988933035715946
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__LIGHT__Q95,0.1876415770471703,0.016799265715890344
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__LIGHT__TOP3_MEAN,0.17523290960278312,0.025723121369771736
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__LIGHT__TOP5_MEAN,0.18165176987770043,0.02069916036584772
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__ALL_CDR__MAX,0.17696323561356778,0.024275382662836114
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__ALL_CDR__MEAN,0.30995558471327267,5.973687186581145e-05
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__ALL_CDR__SUM,0.1959784740665055,0.012441471380901258
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__ALL_CDR__Q90,0.2001165783598339,0.010673040998712923
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__ALL_CDR__Q95,0.1398092125842806,0.07599260124401307
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__ALL_CDR__TOP3_MEAN,0.1678613820707046,0.032748237483768906
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__ALL_CDR__TOP5_MEAN,0.18244918765591686,0.02013855778031204
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__H_CDR3__MAX,0.06563524562115858,0.4066368359893377
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__H_CDR3__MEAN,0.014387392621483511,0.8558079647418753
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__H_CDR3__SUM,-0.08514728240671966,0.28134015980563654
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__H_CDR3__Q90,0.059051256355,0.4554068537457597
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__H_CDR3__Q95,0.039594262566519364,0.6169015018003474
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__H_CDR3__TOP3_MEAN,0.07681179674628395,0.3312892926192963
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__H_CDR3__TOP5_MEAN,0.08608019063928789,0.2760829222408438
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__L_CDR3__MAX,0.03278586723534059,0.6787452326657918
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R8p0__L_CDR3__MEAN,0.04364627396697838,0.5812995185968977
