feature_name,family_id,literature_anchor,scale,raw_minmax,exposure,neighborhood,radius,scope,aggregation,source_reference,implementation_version,spec_hash
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__LIGHT__TOP5_MEAN,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,4.0,LIGHT,TOP5_MEAN,generic_spatial_factory_v1,HSP_v1,f159584ec0b665ad
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__ALL_CDR__MAX,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,4.0,ALL_CDR,MAX,generic_spatial_factory_v1,HSP_v1,f159584ec0b665ad
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__ALL_CDR__MEAN,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,4.0,ALL_CDR,MEAN,generic_spatial_factory_v1,HSP_v1,f159584ec0b665ad
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__ALL_CDR__SUM,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,4.0,ALL_CDR,SUM,generic_spatial_factory_v1,HSP_v1,f159584ec0b665ad
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__ALL_CDR__Q90,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,4.0,ALL_CDR,Q90,generic_spatial_factory_v1,HSP_v1,f159584ec0b665ad
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__ALL_CDR__Q95,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,4.0,ALL_CDR,Q95,generic_spatial_factory_v1,HSP_v1,f159584ec0b665ad
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__ALL_CDR__TOP3_MEAN,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,4.0,ALL_CDR,TOP3_MEAN,generic_spatial_factory_v1,HSP_v1,f159584ec0b665ad
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__ALL_CDR__TOP5_MEAN,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,4.0,ALL_CDR,TOP5_MEAN,generic_spatial_factory_v1,HSP_v1,f159584ec0b665ad
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__H_CDR3__MAX,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,4.0,H_CDR3,MAX,generic_spatial_factory_v1,HSP_v1,f159584ec0b665ad
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__H_CDR3__MEAN,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,4.0,H_CDR3,MEAN,generic_spatial_factory_v1,HSP_v1,f159584ec0b665ad
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__H_CDR3__SUM,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,4.0,H_CDR3,SUM,generic_spatial_factory_v1,HSP_v1,f159584ec0b665ad
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__H_CDR3__Q90,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,4.0,H_CDR3,Q90,generic_spatial_factory_v1,HSP_v1,f159584ec0b665ad
HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0__H_CDR3__Q95,HSP_KD_RAW_TOTAL_RASA_TIEN_CENTROID_R4p0,False,KD,RAW,TOTAL_RASA_TIEN,CENTROID,4.0,H_CDR3,Q95,generic_spatial_factory_v1,HSP_v1,f159584ec0b665ad
