scheme,status,feasible,repeat,fold,N,n_groups,mean,SD,n_gt_TrainQ90,n_gt_TrainQ95,wasserstein_vs_train,ks_vs_train
SGKF_Q7,OK,True,4,2,30,17,9.384733333333333,0.7462791810656075,3,1,0.09938641975308643,0.09629629629629627
SGKF_Q7,OK,True,4,3,34,19,9.395029411764703,0.9130001322743477,4,2,0.10174582425562806,0.14342774146695714
SGKF_Q7,OK,True,4,4,31,19,9.327903225806454,0.6259683887033863,2,1,0.1122144563918758,0.08960573476702505
SGKF_Q9,OK,True,0,0,35,16,9.368571428571427,0.8407724139746976,4,1,0.10028271604938269,0.09629629629629621
SGKF_Q9,OK,True,0,1,38,16,9.366026315789473,0.7217162909995642,3,2,0.0713151397011046,0.06302794022092267
SGKF_Q9,OK,True,0,2,30,17,9.431166666666666,0.8285768889605479,4,2,0.09046172839506177,0.1197530864197531
SGKF_Q9,OK,True,0,3,30,18,9.480633333333333,0.9627957667676705,4,3,0.1381950617283949,0.11358024691358021
SGKF_Q9,OK,True,0,4,29,18,9.336206896551724,0.7317154198628211,2,1,0.09726500638569621,0.09280544912728822
SGKF_Q9,OK,True,1,0,35,16,9.403342857142855,0.9186526560790037,4,2,0.10959664902998227,0.08236331569664912
SGKF_Q9,OK,True,1,1,38,16,9.398973684210524,0.7623021847734557,3,2,0.0671312540610787,0.05977907732293697
SGKF_Q9,OK,True,1,2,30,17,9.393766666666666,0.7451597229075644,4,1,0.09149876543209867,0.137037037037037
SGKF_Q9,OK,True,1,3,30,18,9.473066666666666,0.9717190573600896,4,4,0.1292358024691356,0.10617283950617284
SGKF_Q9,OK,True,1,4,29,18,9.29758620689655,0.6371025661563102,2,0,0.10467241379310356,0.07428693060876973
SGKF_Q9,OK,True,2,0,35,16,9.378085714285714,0.8476432161285429,4,1,0.08804920634920624,0.08148148148148149
SGKF_Q9,OK,True,2,1,38,16,9.388263157894736,0.7499075144493458,3,2,0.0609106562703055,0.05977907732293697
SGKF_Q9,OK,True,2,2,30,17,9.424166666666666,0.7810958739923136,4,2,0.08124444444444438,0.10123456790123456
SGKF_Q9,OK,True,2,3,31,19,9.467903225806454,0.9336583370390799,4,3,0.1050921943448824,0.08044603743528467
SGKF_Q9,OK,True,2,4,28,17,9.310571428571427,0.7703625134418224,2,1,0.09575573192239872,0.09435626102292771
SGKF_Q9,OK,True,3,0,35,16,9.377571428571429,0.8398757010875543,4,1,0.09078007054673715,0.09629629629629621
SGKF_Q9,OK,True,3,1,38,16,9.357473684210524,0.7127478132093483,3,2,0.07592105263157903,0.06302794022092267
SGKF_Q9,OK,True,3,2,30,17,9.416866666666666,0.7803207003548598,4,2,0.07539629629629638,0.10123456790123456
SGKF_Q9,OK,True,3,3,30,18,9.531800000000002,1.0552505961569767,4,4,0.17839876543209862,0.11234567901234568
SGKF_Q9,OK,True,3,4,29,18,9.29841379310345,0.6509551508163862,2,0,0.10325521498510006,0.11749680715197958
SGKF_Q9,OK,True,4,0,35,16,9.354485714285714,0.8452257746212154,4,1,0.10962910052910048,0.1248677248677248
SGKF_Q9,OK,True,4,1,38,16,9.3705,0.7337258030450161,3,2,0.05835087719298261,0.05977907732293697
SGKF_Q9,OK,True,4,2,29,16,9.49255172413793,0.9164017594532782,4,3,0.11809472115793948,0.12388250319284799
SGKF_Q9,OK,True,4,3,31,19,9.478032258064516,0.9717044984243224,4,3,0.14050039824771,0.09956192751891677
SGKF_Q9,OK,True,4,4,29,18,9.28703448275862,0.5525491240448748,2,0,0.1468954874414643,0.11749680715197958
TAIL_Q7,OK,True,0,0,34,15,9.376852941176471,0.8752469480909959,4,1,0.08375453885257808,0.09331880900508352
