model,role,true_band,pred_band,count,row_frac,n_true
ESMFN_STRUCTURE_ElasticNet,cv,LOW,MEDIUM,1,0.006944444444444444,144
ESMFN_STRUCTURE_ElasticNet,cv,LOW,HIGH,0,0.0,144
ESMFN_STRUCTURE_ElasticNet,cv,MEDIUM,LOW,10,0.8333333333333334,12
ESMFN_STRUCTURE_ElasticNet,cv,MEDIUM,MEDIUM,2,0.16666666666666666,12
ESMFN_STRUCTURE_ElasticNet,cv,MEDIUM,HIGH,0,0.0,12
ESMFN_STRUCTURE_ElasticNet,cv,HIGH,LOW,3,0.5,6
ESMFN_STRUCTURE_ElasticNet,cv,HIGH,MEDIUM,3,0.5,6
ESMFN_STRUCTURE_ElasticNet,cv,HIGH,HIGH,0,0.0,6
ESMFN_STRUCTURE_ElasticNet,public,LOW,LOW,72,0.9863013698630136,73
ESMFN_STRUCTURE_ElasticNet,public,LOW,MEDIUM,1,0.0136986301369863,73
ESMFN_STRUCTURE_ElasticNet,public,LOW,HIGH,0,0.0,73
ESMFN_STRUCTURE_ElasticNet,public,MEDIUM,LOW,5,1.0,5
ESMFN_STRUCTURE_ElasticNet,public,MEDIUM,MEDIUM,0,0.0,5
ESMFN_STRUCTURE_ElasticNet,public,MEDIUM,HIGH,0,0.0,5
ESMFN_STRUCTURE_ElasticNet,public,HIGH,LOW,3,1.0,3
ESMFN_STRUCTURE_ElasticNet,public,HIGH,MEDIUM,0,0.0,3
ESMFN_STRUCTURE_ElasticNet,public,HIGH,HIGH,0,0.0,3
ESMFN_STRUCTURE_ElasticNet,private,LOW,LOW,76,1.0,76
ESMFN_STRUCTURE_ElasticNet,private,LOW,MEDIUM,0,0.0,76
ESMFN_STRUCTURE_ElasticNet,private,LOW,HIGH,0,0.0,76
ESMFN_STRUCTURE_ElasticNet,private,MEDIUM,LOW,1,1.0,1
ESMFN_STRUCTURE_ElasticNet,private,MEDIUM,MEDIUM,0,0.0,1
ESMFN_STRUCTURE_ElasticNet,private,MEDIUM,HIGH,0,0.0,1
ESMFN_STRUCTURE_ElasticNet,private,HIGH,LOW,2,0.5,4
ESMFN_STRUCTURE_ElasticNet,private,HIGH,MEDIUM,2,0.5,4
ESMFN_STRUCTURE_ElasticNet,private,HIGH,HIGH,0,0.0,4
FUSION_ESM2_ESMFN_ElasticNet,cv,LOW,LOW,140,0.9722222222222222,144
FUSION_ESM2_ESMFN_ElasticNet,cv,LOW,MEDIUM,4,0.027777777777777776,144
FUSION_ESM2_ESMFN_ElasticNet,cv,LOW,HIGH,0,0.0,144
FUSION_ESM2_ESMFN_ElasticNet,cv,MEDIUM,LOW,10,0.8333333333333334,12
FUSION_ESM2_ESMFN_ElasticNet,cv,MEDIUM,MEDIUM,2,0.16666666666666666,12
FUSION_ESM2_ESMFN_ElasticNet,cv,MEDIUM,HIGH,0,0.0,12
FUSION_ESM2_ESMFN_ElasticNet,cv,HIGH,LOW,5,0.8333333333333334,6
FUSION_ESM2_ESMFN_ElasticNet,cv,HIGH,MEDIUM,1,0.16666666666666666,6
FUSION_ESM2_ESMFN_ElasticNet,cv,HIGH,HIGH,0,0.0,6
FUSION_ESM2_ESMFN_ElasticNet,public,LOW,LOW,73,1.0,73
FUSION_ESM2_ESMFN_ElasticNet,public,LOW,MEDIUM,0,0.0,73
FUSION_ESM2_ESMFN_ElasticNet,public,LOW,HIGH,0,0.0,73
FUSION_ESM2_ESMFN_ElasticNet,public,MEDIUM,LOW,5,1.0,5
FUSION_ESM2_ESMFN_ElasticNet,public,MEDIUM,MEDIUM,0,0.0,5
