id,VH_CH1_com_distance,VL_CL_com_distance,VH_VL_contacts_8A,CH1_CL_contacts_8A,Fab_Rg,elbow_proxy_angle_deg
ADI-45370,36.812965393066406,35.671226501464844,48,33,24.34271240234375,161.77912416992658
ADI-47077,34.988216400146484,38.17805862426758,49,32,24.544654846191406,140.32489109698938
ADI-47079,34.87905502319336,37.59329605102539,50,38,24.366504669189453,152.3973474166383
ADI-47289,33.97975540161133,37.3764762878418,43,47,24.163379669189453,145.03801795899815
ADI-47191,34.328758239746094,38.01384735107422,39,40,24.398836135864258,143.872727342464
ADI-47192,35.82404327392578,36.56498718261719,38,32,24.528045654296875,149.32703964274995
ADI-47290,35.97348403930664,36.09907531738281,43,33,24.30545425415039,155.93750316639478
ADI-47195,34.3365364074707,37.467342376708984,40,32,24.306533813476562,138.4843349902444
ADI-47196,37.26834487915039,35.724693298339844,38,33,24.59935188293457,159.8345636257732
ADI-47083,37.653926849365234,35.90068817138672,58,32,24.549365997314453,162.3189880161289
ADI-47198,34.117401123046875,37.4954719543457,37,40,24.258153915405273,142.10355189515488
ADI-47199,34.04447555541992,37.639041900634766,38,39,24.26451301574707,143.30858300085728
ADI-47201,36.87313461303711,35.2818717956543,43,33,24.285341262817383,164.34217755085604
ADI-45447,34.53425216674805,37.243473052978516,47,39,24.23128890991211,147.93695627724426
ADI-47293,34.6080436706543,37.24209976196289,40,38,24.26536750793457,147.75155942774109
ADI-45378,34.55295944213867,38.001686096191406,48,47,24.413105010986328,147.8834587830756
ADI-47204,37.36278533935547,35.419097900390625,43,35,24.462093353271484,162.28583611542322
ADI-47093,33.86332702636719,37.30860900878906,34,43,24.11014175415039,146.42088560392776
ADI-47297,33.43410110473633,37.74494934082031,44,46,24.095876693725586,141.61004376601613
ADI-45440,33.690216064453125,37.74814224243164,40,34,24.25388526916504,136.35680103055944
ADI-47209,34.467918395996094,37.81255340576172,39,47,24.36248779296875,148.61462612579095
ADI-46678,34.820621490478516,36.97064208984375,46,46,24.193262100219727,150.38555825855514
ADI-47099,33.41392517089844,37.65544509887695,44,38,24.181856155395508,139.96416645193344
ADI-47300,33.78126907348633,37.70499801635742,39,44,24.26328468322754,138.65690225732212
ADI-47100,34.90062713623047,37.829681396484375,39,39,24.438011169433594,149.5080583838974
ADI-47215,35.09211730957031,36.3789176940918,35,40,24.217639923095703,149.96351098008904
ADI-47216,33.88732147216797,37.45695495605469,44,38,24.21724510192871,142.06644940878118
ADI-47217,37.55596923828125,35.28311538696289,47,33,24.447484970092773,166.82897685781444
ADI-46710,34.858428955078125,36.988590240478516,47,45,24.298524856567383,148.5612036012844
ADI-47301,35.96943664550781,35.80754089355469,37,33,24.25979995727539,156.6428207796207
ADI-47187,34.99651336669922,37.379425048828125,43,46,24.519371032714844,144.5368614664219
ADI-47105,33.616004943847656,37.40922164916992,45,40,24.106164932250977,143.54133395889414
ADI-47106,37.653263092041016,36.38174819946289,37,33,24.770315170288086,158.94954664394595
ADI-45490,36.69658279418945,35.97161865234375,42,32,24.45000457763672,154.5483504526732
ADI-47302,34.58375930786133,37.3736457824707,42,46,24.32002067565918,145.1285167087925
ADI-47109,33.39017105102539,37.387821197509766,32,46,24.021936416625977,142.90829580845374
ADI-47304,34.63856887817383,37.83753204345703,45,47,24.347280502319336,151.65755920242918
ADI-47112,36.93975067138672,35.32766342163086,44,31,24.344301223754883,163.2513917591626
ADI-47113,34.401493072509766,36.416141510009766,37,46,23.98170280456543,152.57491694728984
ADI-47224,33.90106964111328,38.01071548461914,48,47,24.276796340942383,143.71323024746113
ADI-47225,36.68202590942383,35.879364013671875,50,31,24.383901596069336,163.47738771327712
ADI-45429,35.04438781738281,37.12065505981445,45,38,24.390098571777344,146.24027492891446
ADI-47119,38.53518295288086,35.80998611450195,45,32,24.796676635742188,166.46551582964167
ADI-47308,34.80142593383789,37.28386306762695,44,46,24.292865753173828,147.34302892039898
