tag,model,y_mode,repeat,fold,spearman,pearson,mae,rmse,n,target,members
BIO_SHORTCUT,Ridge_grid,raw,1,1,0.58796992481203,0.5544518193815425,0.45413305748778054,0.5961721409750855,20.0,HIC,
BIO_SHORTCUT,ElasticNet,raw,1,1,0.5654135338345864,0.6246838975222786,0.3901770452830008,0.5336731084311183,20.0,HIC,
BIO_SHORTCUT,PLS,raw,1,1,0.4766917293233082,0.5818638866171358,0.40681639385101054,0.5599464930833352,20.0,HIC,
BIO_SHORTCUT,Ridge_grid,raw,1,2,0.19192162113930925,0.2508339663161983,0.6895522306800751,0.9978936143390058,50.0,HIC,
BIO_SHORTCUT,ElasticNet,raw,1,2,0.3713647659397488,0.47078707399529024,0.6413315882095074,0.8662435036704689,50.0,HIC,
BIO_SHORTCUT,PLS,raw,1,2,0.3614139637320576,0.4528420302231232,0.6527188349953229,0.8747151185584723,50.0,HIC,
BIO_SHORTCUT,Ridge_grid,raw,1,3,0.3352941176470588,0.4715345005990917,0.5630555386023659,0.7581141232694663,35.0,HIC,
BIO_SHORTCUT,ElasticNet,raw,1,3,0.4087120956867883,0.5116406815702228,0.4403530396466275,0.6680538861901479,35.0,HIC,
BIO_SHORTCUT,PLS,raw,1,3,0.34481792717086834,0.4419990648003079,0.5346553324408666,0.753937590804143,35.0,HIC,
BIO_SHORTCUT,Ridge_grid,raw,1,4,0.38932806324110675,0.46498749934195777,0.5309598765385373,0.6537107541530024,23.0,HIC,
BIO_SHORTCUT,ElasticNet,raw,1,4,0.3616600790513834,0.40138223444470167,0.5106910264399601,0.6340398830311907,23.0,HIC,
BIO_SHORTCUT,PLS,raw,1,4,0.4120553359683795,0.4200659475115775,0.5452821601016735,0.6535260743303811,23.0,HIC,
BIO_SHORTCUT,Ridge_grid,raw,2,0,0.3102766798418973,0.4282971869588446,0.5680809964870712,0.6667054523039584,23.0,HIC,
BIO_SHORTCUT,ElasticNet,raw,2,0,0.2727272727272727,0.36075067152423107,0.5415645982349833,0.6481003302205054,23.0,HIC,
BIO_SHORTCUT,PLS,raw,2,0,0.38932806324110675,0.37599212136628496,0.5854922689715497,0.6700233222707679,23.0,HIC,
BIO_SHORTCUT,Ridge_grid,raw,2,1,0.5699248120300752,0.5514418754964954,0.4309899235960931,0.5869445295761022,20.0,HIC,
