id,generator,n_atoms,R0_E,R0_F_rms,R0_F_q90,R0_F_max,R0_severe_clash,R0_all_clash,R0_min_heavy_dist,R1_E,R1_F_rms,R1_F_q90,R1_F_max,R1_severe_clash,R1_all_clash,R1_min_heavy_dist,delta_severe_clash,delta_F_rms,sidechain_heavy_RMSD,backbone_RMSD,converged,steps,final_fmax,optimizer,failure_mode
ADI-45488,esmfold,3514,-608.7393188476562,3.2948240907006894,4.194889273313868,15.29486229982213,0,1,1.983751302724709,-884.6111450195312,1.28698103976702,1.7434173295814055,14.326341045757449,0,0,2.036953871200269,0,-2.007843050933669,0.246540074940835,0.0,False,200,0.3894968161065229,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-45490,esmfold,3435,-588.658935546875,3.2400134223678085,4.132220696107076,11.89345584032834,0,2,1.832869780752028,-847.6389770507812,1.1698662276245908,1.6302356072821274,10.326933866907622,0,0,2.030258198546726,0,-2.070147194743217,0.2309959350352723,0.0,False,200,0.3347484763991497,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-45493,esmfold,3643,-627.4549560546875,3.292658333593536,4.164299412474746,12.665137310371922,0,1,1.9824660442619644,-910.7816162109376,1.2281013046772682,1.5909643333343226,11.33602341716426,0,0,2.0303846529611542,0,-2.064557028916268,0.2356749948420209,0.0,False,200,0.2306571727522751,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-45497,esmfold,3578,-616.3949584960938,3.250531253308418,4.141460695416849,10.111700134106012,0,0,2.032468953463069,-893.921875,1.115496564455449,1.484640129495583,8.711264475546738,0,0,2.0344990816306843,0,-2.1350346888529685,0.2325746037830265,0.0,False,200,0.973671783843036,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-45499,esmfold,3599,-631.9620971679688,3.3559758044161745,4.142382410686841,26.631106668361245,0,0,2.043327275194543,-918.1552734375,1.1820237745049142,1.511667527086168,11.28128622148253,0,0,2.0338856094978017,0,-2.17395202991126,0.249863406123191,0.0,False,200,0.3395745570459631,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-46678,esmfold,3440,-594.9962768554688,3.3277943779697443,4.146905874564621,19.24021039949236,1,4,1.4606486996418169,-873.7451171875,1.2985784619938483,1.5224236795911985,13.315285989666702,0,0,2.0328697647497718,-1,-2.029215915975896,0.255783872854226,0.0,False,200,0.3428444160448109,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-46689,esmfold,3320,-572.2085571289062,3.328481086986569,4.221612542422505,14.294108623026773,0,2,1.700683000215319,-833.188232421875,1.3035490978051802,1.567705245932948,13.39706994041183,0,0,2.026961990643745,0,-2.024931989181389,0.2334754252917465,0.0,False,200,1.3675953947784507,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-46691,esmfold,3381,-594.6814575195312,3.2877944423508514,4.202639410840119,13.67293442671493,0,2,1.87011645940342,-853.4641723632812,1.2696356545072125,1.6644309790307272,12.413548228511164,0,0,2.0320479497523216,0,-2.018158787843639,0.2516249465773595,0.0,False,200,2.233143271750048,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-46693,esmfold,3606,-618.8848876953125,3.392897976196675,4.192303202394882,26.57414544485971,0,3,1.7959606448409635,-908.9100341796876,1.2216262333545165,1.5868390138832171,12.180095127124872,0,0,2.03329766844826,0,-2.171271742842159,0.2478188707477584,0.0,False,200,0.3019071278073907,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-46696,esmfold,3475,-587.8175048828125,3.309081014453603,4.210770989237287,14.016890457902964,0,2,1.9051505923132808,-854.8811645507812,1.297801681762802,1.7142070587894709,13.971419705708795,0,0,2.0331694655168056,0,-2.011279332690801,0.2438184765960619,0.0,False,200,1.233980518534441,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-46701,esmfold,3449,-620.468994140625,3.242922014656564,4.175960057356651,10.718658531166016,0,0,2.040788652487384,-886.5785522460938,1.1631992057845877,1.5066854386125244,9.90921626794044,0,0,2.035810993934021,0,-2.079722808871977,0.247260750377332,0.0,False,200,0.6668704145928712,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
ADI-46707,esmfold,3554,-611.2762451171875,3.402918893123206,4.1694861872873,26.886858070657585,0,1,1.8394716296329832,-893.3744506835938,1.2745519434710502,1.5629232310027854,19.12119350974988,0,0,2.0378768210130787,0,-2.128366949652156,0.252893817216087,0.0,False,200,0.4429258524226871,FIRE,NOT_CONVERGED_WITHIN_MAX_STEPS
