generator,feature,family,proxy,spearman,pearson,n
esmfold,K_chi1_q10,v2,v1_ref_F_rms,0.06651667181500003,-0.03861249783114486,324
esmfold,K_chi1_q90,v2,severe_clash_before,0.010437820421379616,-0.056324160794662945,324
esmfold,K_chi1_q90,v2,severe_clash_after,-0.05922536849191449,-0.056438036763357985,324
esmfold,K_chi1_q90,v2,n_atoms,-0.028827382888453226,-0.03679028490163003,324
esmfold,K_chi1_q90,v2,initial_force_RMS_openmm,0.045739991003148905,0.12646652256708166,324
esmfold,K_chi1_q90,v2,v1_ref_F_rms,0.008777045681070449,0.05354251098329559,324
esmfold,K_chi1_iqr,v2,severe_clash_before,0.0363769808436882,-0.04095193439807071,324
esmfold,K_chi1_iqr,v2,severe_clash_after,0.002077043654141246,-0.040957215026445164,324
esmfold,K_chi1_iqr,v2,n_atoms,-0.03535280699069437,-0.06125542112107349,324
esmfold,K_chi1_iqr,v2,initial_force_RMS_openmm,0.05767689735515073,0.020716081070566057,324
esmfold,K_chi1_iqr,v2,v1_ref_F_rms,-0.015643590468451006,0.017946985452635355,324
esmfold,K_chi1_frac_neg,v2,severe_clash_before,,,324
esmfold,K_chi1_frac_neg,v2,severe_clash_after,,,324
esmfold,K_chi1_frac_neg,v2,n_atoms,,,324
esmfold,K_chi1_frac_neg,v2,initial_force_RMS_openmm,,,324
esmfold,K_chi1_frac_neg,v2,v1_ref_F_rms,,,324
abodybuilder2,P1_dE_mean,v1,severe_clash_before,-0.6011455831537973,-0.011179626531199778,324
abodybuilder2,P1_dE_mean,v1,severe_clash_after,-0.6011455831537973,-0.011056835186803188,324
abodybuilder2,P1_dE_mean,v1,n_atoms,0.9594339632937268,0.9635011137893944,324
abodybuilder2,P1_dE_mean,v1,initial_force_RMS_openmm,0.05242941441083857,-0.0726977464268534,324
abodybuilder2,P1_dE_mean,v1,v1_ref_F_rms,0.1484247572173269,0.1972026100764566,324
abodybuilder2,P3_dE_mean,v1,severe_clash_before,-0.5432772562954784,-0.022461369225055688,324
abodybuilder2,P3_dE_mean,v1,severe_clash_after,-0.5432772562954784,-0.022350256247231255,324
abodybuilder2,P3_dE_mean,v1,n_atoms,0.8866105618178692,0.9007783652940514,324
abodybuilder2,P3_dE_mean,v1,initial_force_RMS_openmm,-0.015128822559163117,-0.08967111559565066,324
abodybuilder2,P3_dE_mean,v1,v1_ref_F_rms,0.06372522558281073,0.12249028201593042,324
abodybuilder2,ref_F_rms,v1,severe_clash_before,-0.040293057732818625,-0.004291779183959117,324
abodybuilder2,ref_F_rms,v1,severe_clash_after,-0.040293057732818625,-0.004316368173286054,324
abodybuilder2,ref_F_rms,v1,n_atoms,0.1445188219122904,0.17236366499443198,324
abodybuilder2,ref_F_rms,v1,initial_force_RMS_openmm,0.8567023894578075,0.05228461979327264,324
abodybuilder2,ref_F_rms,v1,v1_ref_F_rms,1.0,1.0,324
abodybuilder2,P1_Frms_mean,v1,severe_clash_before,-0.06464818520398778,0.026595387034927944,324
abodybuilder2,P1_Frms_mean,v1,severe_clash_after,-0.06464818520398778,0.026550480216121764,324
abodybuilder2,P1_Frms_mean,v1,n_atoms,0.13808100332115356,0.17164461909321807,324
abodybuilder2,P1_Frms_mean,v1,initial_force_RMS_openmm,0.5233923420920326,0.04748367927825428,324
abodybuilder2,P1_Frms_mean,v1,v1_ref_F_rms,0.6901911389837087,0.9777371181718327,324
abodybuilder2,K_all_bb_mean,v2,severe_clash_before,-0.07742266221150995,-0.0014818237788013944,324
abodybuilder2,K_all_bb_mean,v2,severe_clash_after,-0.07742266221150995,-0.0014941316095511967,324
abodybuilder2,K_all_bb_mean,v2,n_atoms,0.2044709263455045,0.16291352326209205,324
abodybuilder2,K_all_bb_mean,v2,initial_force_RMS_openmm,-0.03869122619064749,-0.009633861814499094,324
abodybuilder2,K_all_bb_mean,v2,v1_ref_F_rms,-0.018860576932830372,0.05400700269895506,324
abodybuilder2,K_all_bb_median,v2,severe_clash_before,-0.051162471269273035,-0.025207260617617713,324
abodybuilder2,K_all_bb_median,v2,severe_clash_after,-0.051162471269273035,-0.025251418482720556,324
abodybuilder2,K_all_bb_median,v2,n_atoms,0.015620923161900004,0.06845546681075682,324
abodybuilder2,K_all_bb_median,v2,initial_force_RMS_openmm,-0.00461368563898911,-0.04280094860486485,324
abodybuilder2,K_all_bb_median,v2,v1_ref_F_rms,-0.01470547245748072,-0.00689403328823829,324
abodybuilder2,K_all_bb_q10,v2,severe_clash_before,-0.08003738384107655,0.02895236307871226,324
abodybuilder2,K_all_bb_q10,v2,severe_clash_after,-0.08003738384107655,0.028938489776643633,324
abodybuilder2,K_all_bb_q10,v2,n_atoms,0.0724909822573383,0.03675472589467779,324
abodybuilder2,K_all_bb_q10,v2,initial_force_RMS_openmm,0.06298271500310444,-0.009656698047721395,324
abodybuilder2,K_all_bb_q10,v2,v1_ref_F_rms,0.0416549389023078,0.011607240154537502,324
abodybuilder2,K_all_bb_q90,v2,severe_clash_before,-0.11033944800593319,0.026195698313230324,324
abodybuilder2,K_all_bb_q90,v2,severe_clash_after,-0.11033944800593319,0.02611853504548765,324
abodybuilder2,K_all_bb_q90,v2,n_atoms,0.19891439307376846,0.1876088740951665,324
abodybuilder2,K_all_bb_q90,v2,initial_force_RMS_openmm,-0.10278763070354315,0.013691385565115885,324
abodybuilder2,K_all_bb_q90,v2,v1_ref_F_rms,-0.05918094417206026,0.019627547235777188,324
abodybuilder2,K_all_bb_iqr,v2,severe_clash_before,-0.0449943118157439,0.022495728285177184,324
abodybuilder2,K_all_bb_iqr,v2,severe_clash_after,-0.0449943118157439,0.02243440930966767,324
abodybuilder2,K_all_bb_iqr,v2,n_atoms,0.11194668953613691,0.09599298750147651,324
abodybuilder2,K_all_bb_iqr,v2,initial_force_RMS_openmm,-0.06015689644272466,0.031469874053734345,324
abodybuilder2,K_all_bb_iqr,v2,v1_ref_F_rms,-0.05538644298238307,-0.010270838588625986,324
abodybuilder2,K_all_bb_frac_neg,v2,severe_clash_before,,,324
abodybuilder2,K_all_bb_frac_neg,v2,severe_clash_after,,,324
abodybuilder2,K_all_bb_frac_neg,v2,n_atoms,,,324
abodybuilder2,K_all_bb_frac_neg,v2,initial_force_RMS_openmm,,,324
abodybuilder2,K_all_bb_frac_neg,v2,v1_ref_F_rms,,,324
abodybuilder2,K_FW_mean,v2,severe_clash_before,0.014719244868848055,0.007635707235630406,324
abodybuilder2,K_FW_mean,v2,severe_clash_after,0.014719244868848055,0.0076420309036328024,324
abodybuilder2,K_FW_mean,v2,n_atoms,-0.01761407799974235,-0.05720463608107765,324
abodybuilder2,K_FW_mean,v2,initial_force_RMS_openmm,-0.052093541159455206,0.03623992220369072,324
abodybuilder2,K_FW_mean,v2,v1_ref_F_rms,-0.0648240877147281,-0.007832553754390873,324
abodybuilder2,K_FW_median,v2,severe_clash_before,-0.0031701119273339906,-0.05774692997820472,324
abodybuilder2,K_FW_median,v2,severe_clash_after,-0.0031701119273339906,-0.05776353778069983,324
abodybuilder2,K_FW_median,v2,n_atoms,0.0011404270679292792,0.017056665079546344,324
abodybuilder2,K_FW_median,v2,initial_force_RMS_openmm,0.016937851823161532,0.000736642379834912,324
abodybuilder2,K_FW_median,v2,v1_ref_F_rms,0.01053045585935365,0.022000156100777633,324
abodybuilder2,K_FW_q90,v2,severe_clash_before,-0.02314655052439248,0.012363500982192912,324
abodybuilder2,K_FW_q90,v2,severe_clash_after,-0.02314655052439248,0.012370841482716033,324
abodybuilder2,K_FW_q90,v2,n_atoms,-0.0016509575636277265,0.003378118079671263,324
abodybuilder2,K_FW_q90,v2,initial_force_RMS_openmm,-0.022493212000381364,0.09091745225355871,324
abodybuilder2,K_FW_q90,v2,v1_ref_F_rms,-0.04477967259718606,0.011323694997106313,324
abodybuilder2,K_CDR_mean,v2,severe_clash_before,-0.06843271885137069,-0.08631258749658648,324
abodybuilder2,K_CDR_mean,v2,severe_clash_after,-0.06843271885137069,-0.08634638327799303,324
abodybuilder2,K_CDR_mean,v2,n_atoms,0.18874787646911098,0.16200841057302878,324
abodybuilder2,K_CDR_mean,v2,initial_force_RMS_openmm,-0.11669790576059312,-0.07897561339243159,324
abodybuilder2,K_CDR_mean,v2,v1_ref_F_rms,-0.08701920829407943,0.025093970678172477,324
abodybuilder2,K_CDR_median,v2,severe_clash_before,-0.037240321456859585,-0.06636121265527696,324
abodybuilder2,K_CDR_median,v2,severe_clash_after,-0.037240321456859585,-0.06635963294609903,324
abodybuilder2,K_CDR_median,v2,n_atoms,0.030782730699236475,0.08474236249197016,324
abodybuilder2,K_CDR_median,v2,initial_force_RMS_openmm,-0.07303069647680206,-0.05558445878110494,324
abodybuilder2,K_CDR_median,v2,v1_ref_F_rms,-0.07348972277840563,-0.07356453126357586,324
abodybuilder2,K_CDR_q90,v2,severe_clash_before,-0.11480926407623537,-0.07047528126109477,324
abodybuilder2,K_CDR_q90,v2,severe_clash_after,-0.11480926407623537,-0.07051849170674362,324
abodybuilder2,K_CDR_q90,v2,n_atoms,0.18710509464651645,0.18405274765741797,324
abodybuilder2,K_CDR_q90,v2,initial_force_RMS_openmm,-0.14439776168574273,-0.04999059415216903,324
abodybuilder2,K_CDR_q90,v2,v1_ref_F_rms,-0.0982351941353102,0.01174923263068716,324
abodybuilder2,K_HCDR3_mean,v2,severe_clash_before,-0.12868058892027973,0.0023396425194356554,324
abodybuilder2,K_HCDR3_mean,v2,severe_clash_after,-0.12868058892027973,0.00232848010281364,324
abodybuilder2,K_HCDR3_mean,v2,n_atoms,0.16884774247414175,0.1603403074535292,324
abodybuilder2,K_HCDR3_mean,v2,initial_force_RMS_openmm,0.010133809684426264,-0.00832831125152705,324
abodybuilder2,K_HCDR3_mean,v2,v1_ref_F_rms,0.055080858786789984,0.05380410016562989,324
abodybuilder2,K_HCDR3_median,v2,severe_clash_before,-0.10611949891581242,0.19905175539119133,324
abodybuilder2,K_HCDR3_median,v2,severe_clash_after,-0.10611949891581242,0.19889768741495228,324
abodybuilder2,K_HCDR3_median,v2,n_atoms,0.05365916092321085,0.058672237614465786,324
abodybuilder2,K_HCDR3_median,v2,initial_force_RMS_openmm,0.0058107468386122164,-0.053099183715136826,324
abodybuilder2,K_HCDR3_median,v2,v1_ref_F_rms,0.04852985317734428,0.01695000097722513,324
abodybuilder2,K_HCDR3_q90,v2,severe_clash_before,-0.11546946244967211,0.0025116499107306124,324
abodybuilder2,K_HCDR3_q90,v2,severe_clash_after,-0.11546946244967211,0.0025015836562833067,324
