family,generator,mode,split,MAE,Pearson,Spearman,delta_vs_ref,boot_lo,boot_hi,p_improve,ref,n_features,n
FENNIX_V2,ABB2,PLM_ONLY,CV,3.0285127332409196,0.5067590580266962,0.4984297388358006,-0.40975887169735214,-0.6795554293558025,-0.1433450531497319,0.9992,MEDIAN,21,162
FENNIX_V2,ABB2,PLM_PLUS,CV,3.1242600227618893,0.4729386917841618,0.4409024243881182,0.09574728952096967,-0.01723282361467505,0.2073899404872917,0.0496,PLM_ONLY,21,162
FENNIX_V2,ABB2,RESIDUAL_RECON,CV,3.122317982973644,0.46863052083831286,0.43703044793931417,0.09380524973272442,-0.0021767313521882654,0.1907116260734567,0.0275,PLM_ONLY,21,162
FENNIX_V2,ABB2,STANDALONE,Public,3.8223847345584003,0.01540612962218186,0.03420958723108816,0.038434117274449786,-0.13226290239488353,0.2141013667258773,0.3379,MEDIAN,21,81
FENNIX_V2,ABB2,STANDALONE,Private,3.7784276397742205,0.09127534023060413,0.07595214439709758,0.006822701502615658,-0.18349770011688332,0.2006190854597504,0.4776,MEDIAN,21,81
FENNIX_V2,ABB2,PLM_ONLY,Public,3.450123112629274,0.43686686390301915,0.4525113553791774,0.0,0.0,0.0,0.0,PLM_ONLY,21,81
FENNIX_V2,ABB2,PLM_ONLY,Private,3.271088617039208,0.50391660093664,0.5638299186108444,0.0,0.0,0.0,0.0,PLM_ONLY,21,81
FENNIX_V2,ABB2,PLM_PLUS,Public,3.4609678789965206,0.41605580179989327,0.445154090335425,0.010844766367246628,-0.13058875388005092,0.16636118115231605,0.4615,PLM_ONLY,21,81
FENNIX_V2,ABB2,PLM_PLUS,Private,3.3454915765487736,0.45059337237157504,0.49683194187711416,0.07440295950956566,-0.06829277529910094,0.22430304422739825,0.1608,PLM_ONLY,21,81
FENNIX_V2,ABB2_SHADOW,STANDALONE,Shadow,3.6500715370691452,-0.08685702757340737,-0.08125358822882553,0.21179993213087345,0.02412912792584957,0.43892510030174003,0.0124,MEDIAN,21,162
FENNIX_V2,ABB2_SHADOW,PLM_ONLY,Shadow,3.030945321708822,0.5132301084291588,0.5219469456653119,-0.40732628322944997,-0.6673446144299698,-0.14256313615355956,0.9987,MEDIAN,21,162
FENNIX_V2,ABB2_SHADOW,PLM_PLUS,Shadow,3.094076521603095,0.48330614745139405,0.47471617858549997,0.0631311998942734,-0.060446351351411146,0.18900632817936702,0.1569,PLM_ONLY,21,162
FENNIX_V2,ABB2_SHADOW,RESIDUAL_RECON,Shadow,3.1009763573018647,0.47872696064961834,0.47700461413714634,0.07003103559304291,-0.036377464382522186,0.17656579040440437,0.0955,PLM_ONLY,21,162
