id,VH_ca_rmsd_median,VL_ca_rmsd_median,mean_ca_rmsd_median,VH_ca_rmsf_mean,VL_ca_rmsf_mean,mean_ca_rmsf_mean,max_ca_rmsf_q90,VH_rg_mean,VL_rg_mean,mean_rg_sd,VH_contact_mean_occ,VL_contact_mean_occ,mean_contact_frac_persistent,mean_contact_frac_labile,mean_contact_occ_entropy,VH_rmsf_cdr_mean,VL_rmsf_cdr_mean,VH_rmsf_fw_mean,VL_rmsf_fw_mean,VH_rmsf_cdr3_mean,VL_rmsf_cdr3_mean,absdiff_ca_rmsf_mean,absdiff_rg_mean,max_ca_rmsd_q90,mean_ca_rmsf_q90,n_features
ADI-45378,0.28167085349559784,1.433173954486847,0.8574224039912224,0.18136058747768402,0.8536912202835083,0.5175259038805962,1.212888479232788,1.3783849814356364,1.359570634376603,0.0761014242156053,0.04389005602240896,0.04740376740376741,0.019122464710700005,0.024583961348667232,0.060461179304027765,0.2613140344619751,0.9492671489715576,0.15324509143829346,0.8268442153930664,0.36084383726119995,0.7281243205070496,0.6723306328058243,0.0188143470590334,1.5397761940956116,0.7763696610927582,25
ADI-45379,0.7001236081123352,1.3770349025726318,1.0385792553424835,0.28687939047813416,0.6199780702590942,0.4534287303686142,1.1009061336517334,1.3265326547643324,1.3221407839783366,0.027039201829069666,0.04782608695652174,0.053052503052503044,0.012709030100334447,0.08733476668259277,0.057162797737161236,0.2447996884584427,0.5173003673553467,0.2993645966053009,0.641897976398468,0.2767260670661926,0.6473028659820557,0.3330986797809601,0.004391870785995788,1.425731897354126,0.803995668888092,25
ADI-45382,1.0847487449645996,1.3864985704421997,1.2356236577033997,0.60147625207901,0.914746880531311,0.7581115663051605,1.2829023599624634,1.4488941711510896,1.3192581435676285,0.046610367474198895,0.039957671957671956,0.051153039832285106,0.0020952380952380953,0.06714944594189877,0.08862608647759912,0.6975922584533691,1.0174405574798584,0.5613399744033813,0.8916698098182678,0.8264512419700623,1.1472949981689453,0.313270628452301,0.12963602758346116,1.5634832620620727,1.15301114320755,25
ADI-45383,1.4813634157180786,1.541660189628601,1.5115118026733398,0.7318509817123413,1.004151463508606,0.8680012226104736,1.2879605293273926,1.367352392030791,1.367807942430788,0.057163596897439696,0.04782549790001355,0.04317160826594789,0.0018511262191491643,0.13251146401611774,0.07986113952996338,0.7481052875518799,0.9723111391067505,0.7257778644561768,1.0113065242767334,0.4978365898132324,1.0496633052825928,0.27230048179626465,0.00045555039999700675,1.6772746443748474,1.270556628704071,25
ADI-45388,0.7832516431808472,1.5497679710388184,1.1665098071098328,0.4540885090827942,0.6918160319328308,0.5729522705078125,1.229068636894226,1.3525576809563644,1.4095269948732239,0.0369443665297752,0.043483834211650765,0.04510703363914373,0.007957233585394973,0.0629484416998023,0.06558227977297808,0.4477560222148895,0.6589711904525757,0.4562457203865051,0.7003040909767151,0.4517143666744232,0.3313428461551666,0.23772752285003662,0.05696931391685944,1.5497679710388184,1.0056892931461334,25
ADI-45389,1.1978775262832642,1.1617265939712524,1.1798020601272583,0.7630752921104431,0.6961771249771118,0.7296262085437775,1.1106170415878296,1.3805526310245366,1.350936466565109,0.04668130517442193,0.04181545308699477,0.05169576206430376,0.005516261695383987,0.04995232145417388,0.09263753598525568,0.7176259756088257,0.528475284576416,0.7760606408119202,0.7381025552749634,0.7081714868545532,0.5207451581954956,0.0668981671333313,0.02961616445942772,1.4068675756454467,1.0898869633674622,25
ADI-45390,,0.8984994888305664,0.8984994888305664,0.0,0.47598886489868164,0.23799443244934082,0.9016861915588379,1.329804069591626,1.3107027896821677,0.019545496878780134,0.04272863568215892,0.0526803032974784,0.025155536321065354,0.06365720331511197,0.037621301778729854,0.0,0.4446450173854828,0.0,0.48382481932640076,0.0,0.5338107943534851,0.47598886489868164,0.019101279909458313,1.0142639875411987,0.45084309577941895,25
ADI-45391,1.235233187675476,1.4360243082046509,1.3356287479400635,0.6632692217826843,0.8285582661628723,0.7459137439727783,1.090543508529663,1.3562787057134322,1.3479444555175586,0.04346324426834525,0.0463768115942029,0.05113736554399577,0.0027648395405263522,0.12220680349298108,0.07779936683923414,0.7987961769104004,0.8515676856040955,0.6230578422546387,0.8228060007095337,0.6902682781219482,0.8223162889480591,0.165289044380188,0.008334250195873638,1.476166558265686,1.062971293926239,25
ADI-45393,1.3110372424125671,0.7931036949157715,1.0520704686641693,0.7599263787269592,0.4794074594974518,0.6196669191122055,1.1829081773757935,1.393922758478015,1.3441804863684919,0.02688998506075651,0.04348739495798319,0.047435897435897434,0.00839258780435251,0.09514652014652014,0.07369497412470938,0.742647111415863,0.5017778873443604,0.7660025954246521,0.4746316969394684,0.5666542053222656,0.5974409580230713,0.28051891922950745,0.04974227210952309,1.4571492671966553,0.9984722137451172,25
ADI-45395,0.6136855483055115,1.4657933712005615,1.0397394597530365,0.3912395238876343,0.9129951000213623,0.6521173119544983,1.2801294326782227,1.3639151953931004,1.2983421085094429,0.034621101267899995,0.04529269334852585,0.054151404151404146,0.010661970133555378,0.08919149145968687,0.07460461145265398,0.5222241878509521,0.8390406370162964,0.34661832451820374,0.9287830591201782,0.7122958898544312,0.6766638159751892,0.521755576133728,0.06557308688365748,1.557910108566284,0.9492301344871521,25
ADI-45397,1.2258992195129395,1.448919653892517,1.3374094367027283,0.8260869979858398,0.8496491312980652,0.8378680646419525,1.2403305768966675,1.3628189796035886,1.3176023910956867,0.0414599571363643,0.044040780417119486,0.04508317169223535,0.0003105107902499612,0.08798729243762222,0.08739748753418855,0.8556320667266846,0.996532678604126,0.8176456689834595,0.8129282593727112,0.8343483805656433,0.8829531073570251,0.023562133312225342,0.04521658850790189,1.5370185613632201,1.1942209601402283,25
ADI-45402,1.4987311363220215,1.2112394571304321,1.3549852967262268,0.9284703731536865,0.5165330767631531,0.7225017249584198,1.283360242843628,1.3792291041949953,1.2824096676400942,0.015315941145057934,0.0445821854912764,0.04962468723936614,0.0065957742563247145,0.0973835519498572,0.06414850928473118,0.9177030920982361,0.6271152496337891,0.9323749542236328,0.4867132008075714,1.0066204071044922,0.9303153157234192,0.41193729639053345,0.0968194365549011,1.614784336090088,1.120882123708725,25
ADI-45404,0.8623868525028229,1.3267168402671814,1.0945518463850021,0.4596889913082123,0.7586671113967896,0.6091780513525009,1.0762156248092651,1.3356712478447343,1.327079523097123,0.033040524187576054,0.04805881500796755,0.04982161060142711,0.006109341282720228,0.13631012266527737,0.07947583408814746,0.6879066824913025,0.7297797203063965,0.38445237278938293,0.7661324739456177,0.8337502479553223,0.5597013235092163,0.29897812008857727,0.008591724747611273,1.4517447352409363,1.0099779963493347,25
ADI-45405,,0.6686966419219971,0.6686966419219971,0.0,0.3696223199367523,0.18481115996837616,0.7316687703132629,1.3614538570763872,1.3425626329193934,0.020086117417877258,0.04592206287121541,0.05107858696291072,0.033276672416034436,0.024863339798977254,0.031850526843263956,0.0,0.41521063446998596,0.0,0.3582252860069275,0.0,0.5284380912780762,0.3696223199367523,0.018891224156993847,0.8026467084884643,0.36583438515663147,25
