candidate_id,feature,type,diagnostic_only,wasserstein_norm,ks,smd,js,imbalance
CAND_12528,A2_HL_gravy,continuous,False,0.20351402114642375,0.14814814814814814,0.058430326401983874,,0.058430326401983874
CAND_12528,C_vh_germline_distance,continuous,False,0.11105976527308148,0.08641975308641975,0.02591515898941939,,0.02591515898941939
CAND_12528,C_vl_germline_distance,continuous,False,0.1884973296833776,0.1111111111111111,0.1881677901222095,,0.1881677901222095
CAND_12528,C_combined_germline_distance,continuous,False,0.11342853016833128,0.09876543209876543,0.06705125742266653,,0.06705125742266653
CAND_12528,vh_len,continuous,False,0.15760904819895996,0.08641975308641975,0.06630472521709847,,0.06630472521709847
CAND_12528,vl_len,continuous,False,0.4045584026912121,0.30864197530864196,0.2569429389238231,,0.2569429389238231
CAND_12528,H_CDR3_len,continuous,False,0.15122070309181054,0.08641975308641969,0.033742162619226385,,0.033742162619226385
CAND_12528,L_CDR3_len,continuous,False,0.19796535765005818,0.11111111111111116,0.017886138296158163,,0.017886138296158163
CAND_12528,nearest_train_VH_identity,continuous,False,0.18007842194995818,0.09876543209876543,0.12515644757974304,,0.12515644757974304
CAND_12528,nearest_train_VL_identity,continuous,False,0.2539357103204935,0.1728395061728395,0.24476462101915253,,0.24476462101915253
CAND_12528,vh_family,categorical,False,,,,0.009602977622277757,0.009602977622277757
CAND_12528,vl_family,categorical,False,,,,0.0853899902465923,0.0853899902465923
CAND_12528,C_kappa_lambda,categorical,False,,,,0.014460943323080795,0.014460943323080795
CAND_12528,donor,categorical,True,,,,0.0,0.0
CAND_12528,b_cell_subset,categorical,True,,,,0.008564770840491457,0.008564770840491457
CAND_12207,TmApp,continuous,False,0.17485312809295406,0.07407407407407407,0.07055995839892022,,0.07055995839892022
CAND_12207,HIC,continuous,False,0.14184200395959887,0.08641975308641975,0.05075773626758672,,0.05075773626758672
CAND_12207,cluster_size,continuous,False,0.0948696472456884,0.1728395061728396,0.05239720471827152,,0.05239720471827152
