candidate_id,stage,mae_cv_public_median,mae_cv_public_p05,mae_cv_public_p95,mae_cv_public_p_lt0,mae_public_private_median,mae_public_private_p05,mae_public_private_p95,mae_public_private_p_lt0,mae_cv_private_median,mae_cv_private_p05,mae_cv_private_p95,mae_cv_private_p_lt0,pear_cv_public_median,pear_cv_public_p05,pear_cv_public_p95,pear_cv_public_p_lt0,pear_public_private_median,pear_public_private_p05,pear_public_private_p95,pear_public_private_p_lt0,pear_cv_private_median,pear_cv_private_p05,pear_cv_private_p95,pear_cv_private_p_lt0
CAND_04974,screen_1000,0.39999999999999997,-0.39999999999999997,0.8999999999999998,0.214,0.3,-0.49999999999999994,0.8999999999999998,0.213,0.6,-0.3,0.8999999999999998,0.132,0.6000000000000001,-0.39999999999999997,1.0,0.189,0.6000000000000001,-0.39999999999999997,1.0,0.15,0.6000000000000001,0.0,1.0,0.029
CAND_05311,screen_1000,0.6,-0.39999999999999997,0.8999999999999998,0.203,0.3,-0.6,0.8999999999999998,0.239,0.6,-0.19999999999999998,0.8999999999999998,0.154,0.6000000000000001,-0.39999999999999997,0.7999999999999999,0.154,0.39999999999999997,-0.6000000000000001,0.7999999999999999,0.214,0.7999999999999999,0.39999999999999997,1.0,0.029
CAND_05957,screen_1000,0.7,-0.3,0.8999999999999998,0.112,0.3,-0.6,0.8999999999999998,0.264,0.39999999999999997,-0.49999999999999994,0.8999999999999998,0.272,0.7999999999999999,0.19999999999999998,1.0,0.025,0.6000000000000001,-0.39999999999999997,1.0,0.186,0.6000000000000001,-0.39999999999999997,1.0,0.155
CAND_06892,screen_1000,0.6,-0.19999999999999998,0.8999999999999998,0.111,0.3,-0.49999999999999994,0.8999999999999998,0.228,0.39999999999999997,-0.49999999999999994,0.8999999999999998,0.269,0.6000000000000001,0.0,1.0,0.017,0.6000000000000001,-0.39999999999999997,1.0,0.156,0.7999999999999999,-0.39999999999999997,1.0,0.123
CAND_07084,screen_1000,0.6,-0.19999999999999998,0.8999999999999998,0.105,0.39999999999999997,-0.49999999999999994,0.8999999999999998,0.212,0.39999999999999997,-0.4049999999999997,0.8999999999999998,0.262,0.7999999999999999,0.0,1.0,0.021,0.6000000000000001,-0.39999999999999997,1.0,0.153,0.6000000000000001,-0.39999999999999997,1.0,0.172
CAND_07192,screen_1000,0.49999999999999994,-0.4049999999999997,0.8999999999999998,0.236,0.39999999999999997,-0.6,0.8999999999999998,0.226,0.6,-0.3,0.9999999999999999,0.173,0.6000000000000001,-0.39999999999999997,1.0,0.082,0.6000000000000001,-0.6000000000000001,1.0,0.125,0.7999999999999999,-0.39999999999999997,1.0,0.073
CAND_09591,screen_1000,0.6,-0.19999999999999998,0.8999999999999998,0.128,0.39999999999999997,-0.6,0.8999999999999998,0.252,0.49999999999999994,-0.49999999999999994,0.8999999999999998,0.246,0.7999999999999999,0.39999999999999997,1.0,0.012,0.6000000000000001,-0.4099999999999994,1.0,0.118,0.6000000000000001,-0.39999999999999997,1.0,0.134
CAND_10819,screen_1000,0.6,-0.3,0.8999999999999998,0.141,0.3,-0.49999999999999994,0.8999999999999998,0.24,0.49999999999999994,-0.4049999999999997,0.8999999999999998,0.231,0.7999999999999999,0.19999999999999998,1.0,0.014,0.39999999999999997,-0.39999999999999997,1.0,0.25,0.39999999999999997,-0.39999999999999997,1.0,0.345
CAND_11283,screen_1000,0.6,-0.3,0.8999999999999998,0.147,0.39999999999999997,-0.5049999999999997,0.8999999999999998,0.215,0.49999999999999994,-0.49999999999999994,0.8999999999999998,0.231,0.6000000000000001,-0.39999999999999997,1.0,0.071,0.7999999999999999,-0.39999999999999997,1.0,0.112,0.6000000000000001,-0.39999999999999997,1.0,0.093
CAND_12207,screen_1000,0.6,-0.3,0.8999999999999998,0.168,0.49999999999999994,-0.49999999999999994,0.8999999999999998,0.222,0.49999999999999994,-0.49999999999999994,0.8999999999999998,0.224,0.7999999999999999,-0.19999999999999998,1.0,0.066,0.6000000000000001,-0.39999999999999997,1.0,0.115,0.6000000000000001,-0.39999999999999997,1.0,0.088
CAND_12528,screen_1000,0.39999999999999997,-0.6,0.8999999999999998,0.277,0.49999999999999994,-0.6,0.8999999999999998,0.186,0.6,-0.3,0.8999999999999998,0.111,0.7999999999999999,-0.19999999999999998,1.0,0.063,0.6000000000000001,-0.4099999999999994,1.0,0.136,0.6000000000000001,0.0,1.0,0.031
CAND_13110,screen_1000,0.39999999999999997,-0.5049999999999997,0.8999999999999998,0.28,0.39999999999999997,-0.5049999999999997,0.8999999999999998,0.236,0.7,-0.19999999999999998,0.9999999999999999,0.106,0.6000000000000001,-0.39999999999999997,1.0,0.076,0.6000000000000001,-0.39999999999999997,1.0,0.121,0.7999999999999999,-0.19999999999999998,1.0,0.079
CAND_13258,screen_1000,0.6,-0.19999999999999998,0.8999999999999998,0.127,0.49999999999999994,-0.49999999999999994,0.8999999999999998,0.192,0.49999999999999994,-0.49999999999999994,0.8999999999999998,0.242,0.6000000000000001,-0.19999999999999998,1.0,0.079,0.6000000000000001,-0.39999999999999997,1.0,0.16,0.7999999999999999,-0.39999999999999997,1.0,0.089
