candidate_id,public_hash,private_hash,is_baseline,balance_score,mae_cv_public_spearman,mae_public_private_spearman,mae_cv_private_spearman,mae_cv_public_kendall,mae_public_private_kendall,mae_cv_private_kendall,pear_cv_public_spearman,pear_public_private_spearman,pear_cv_private_spearman,spr_cv_public_spearman,spr_public_private_spearman,spr_cv_private_spearman,top2_cv_public,top2_public_private,top2_cv_private,top3_cv_public,top3_public_private,top3_cv_private,cv_winner_public_rank,cv_winner_private_rank,public_winner_private_rank,mae_triple_min,mae_triple_mean,worst_lofo_family_mae_pp,median_lofo_family_mae_pp,lofo_family_mae_pp_sd,worst_lomo_mae_pp,median_lomo_mae_pp,lomo_mae_pp_sd,subset_simple_domain_mae_pp,subset_plm_ensemble_mae_pp,subset_simple_plm_ensemble_mae_pp,subset_mae_pp_median,subset_mae_pp_sd
CAND_00196,f99c0f079346f9da922c75263c88714edcd42366beb92dd3386f99f4ea5564e2,c5dd1b7c52d071ede0d6652f023ab24b8381b23b0f56cce1f66a4791bc81c968,False,4.792474577028842,0.8999999999999998,0.49999999999999994,0.19999999999999998,0.7999999999999999,0.39999999999999997,0.19999999999999998,1.0,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.7999999999999999,0.0,1.0,0.5,0.5,1.0,0.6666666666666666,0.6666666666666666,1,3,3,0.19999999999999998,0.5333333333333332,0.0,0.39999999999999997,0.2993325909419153,0.0,0.39999999999999997,0.2993325909419153,0.5,,0.49999999999999994,0.5,3.925231146709438e-17
CAND_00200,ece5c3afaae003f94dadd54569c3ddf12911ff1bd3f88b8689a28f44101f3cd6,82422e2afda84c240fdff3ca13c0401a586ad23dfb098528761bf5f81cf6ee84,False,4.982350792492531,0.19999999999999998,0.49999999999999994,0.8999999999999998,0.19999999999999998,0.39999999999999997,0.7999999999999999,0.6000000000000001,0.6000000000000001,1.0,0.6000000000000001,1.0,0.6000000000000001,0.5,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,3,1,2,0.19999999999999998,0.5333333333333332,0.0,0.39999999999999997,0.2993325909419153,0.0,0.39999999999999997,0.2993325909419153,0.5,,0.49999999999999994,0.5,3.925231146709438e-17
CAND_00212,af5e6a8c6e6906c888d2e5a3728855bd60d3b6bd033b1e282911e0f522eca253,331191c089939c76bb63319d126210bdf04d8c79886cce05b78125849eb5c18d,False,4.58618126543569,0.09999999999999999,0.3,0.8999999999999998,0.0,0.19999999999999998,0.7999999999999999,0.6000000000000001,0.7999999999999999,0.7999999999999999,0.0,0.39999999999999997,0.7999999999999999,0.5,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,3,1,2,0.09999999999999999,0.4333333333333333,0.0,0.39999999999999997,0.24000000000000002,0.0,0.39999999999999997,0.24000000000000005,-0.5,,0.3,-0.1,0.4
CAND_00220,a16e1ca2ef5a3661381a451ef436a747161668a6b35a77325c3b8552f90068e7,b632ac489c894c73735b3f149ff5e75c6d5c72b88425c9d5e0e891f5c82d5928,False,4.253731279054901,-0.19999999999999998,-0.09999999999999999,0.8999999999999998,-0.19999999999999998,0.0,0.7999999999999999,-0.19999999999999998,-0.39999999999999997,0.7999999999999999,-0.39999999999999997,-0.19999999999999998,0.7999999999999999,0.5,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,3,2,5,-0.19999999999999998,0.19999999999999996,-0.39999999999999997,-0.19999999999999998,0.4489988864128729,-0.39999999999999997,-0.19999999999999998,0.4489988864128729,-1.0,,-0.09999999999999999,-0.55,0.45
CAND_00233,c7ec6687520b37f152caecf0373898cf2fbcb76ab53c3cf3b9e077a3c7e6d7c1,34c4027a7faa414a55d4cb69071aaf63e3da608b8284f04987c3ff02ecdd7945,False,4.77201611082555,0.6,0.8999999999999998,0.7,0.39999999999999997,0.7999999999999999,0.6,0.6000000000000001,0.6000000000000001,1.0,0.6000000000000001,0.6000000000000001,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,2,1,2,0.6,0.7333333333333333,0.7999999999999999,0.7999999999999999,0.09797958971132717,0.7999999999999999,0.7999999999999999,0.09797958971132716,1.0,,0.8999999999999998,0.95,0.0500000000000001
CAND_00257,62fe84ffa6724a6b0017f7f09c82a72f17738e95740fefa2980556312886ba5a,da74de9e2b699c71bbe8af2e16fdef08c9c0d99ea5b578533e1be960d4e595c1,False,5.021240055754219,0.8999999999999998,0.39999999999999997,0.19999999999999998,0.7999999999999999,0.39999999999999997,0.19999999999999998,0.7999999999999999,0.6000000000000001,0.7999999999999999,0.6000000000000001,1.0,0.6000000000000001,1.0,0.5,0.5,1.0,0.6666666666666666,0.6666666666666666,2,3,1,0.19999999999999998,0.49999999999999994,-0.19999999999999998,0.39999999999999997,0.3794733192202055,-0.19999999999999998,0.39999999999999997,0.37947331922020555,-0.5,,0.39999999999999997,-0.05000000000000002,0.44999999999999996
CAND_00267,816d4df7c6c3ec120b6f9ff0b571e33edc958cc88c84843797d904b903393bd8,52ed364fd5714e7607736a0a7dc526e206a6d3ddcc6060846d27f50ecc11d9e0,False,4.482743713738412,0.8999999999999998,0.0,-0.09999999999999999,0.7999999999999999,0.19999999999999998,0.0,0.7999999999999999,0.0,0.39999999999999997,0.6000000000000001,0.7999999999999999,0.0,1.0,0.5,0.5,1.0,0.6666666666666666,0.6666666666666666,2,3,2,-0.09999999999999999,0.2666666666666666,-0.19999999999999998,-0.19999999999999998,0.48,-0.19999999999999998,-0.19999999999999998,0.48000000000000004,-0.5,,0.0,-0.25,0.25
CAND_00281,f8dd14dde41db4cd603f5350d0ef476b486f4d0c8118b57840c3bf3ea004dda1,e966b4795d19612a72cb0d2d40a0dc737f4e70111b166ec28acd791fdd5798ab,False,4.852838558225669,0.6,-0.09999999999999999,0.49999999999999994,0.39999999999999997,0.0,0.19999999999999998,0.7999999999999999,0.0,0.6000000000000001,1.0,0.6000000000000001,0.6000000000000001,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666,2,2,5,-0.09999999999999999,0.3333333333333333,-0.39999999999999997,-0.19999999999999998,0.4489988864128729,-0.39999999999999997,-0.19999999999999998,0.4489988864128729,-0.5,,-0.09999999999999999,-0.3,0.2
CAND_00302,7ed81f85e77dd125b410822b445810f4616da6f7094b72fbd8e3079aea491573,353bf38ea413a882cb913f2e56d19d36bebcdefd7686287aba8e766605d52ae4,False,3.7648370864549228,0.0,0.3,0.8999999999999998,0.0,0.19999999999999998,0.7999999999999999,0.6000000000000001,0.6000000000000001,1.0,0.0,0.39999999999999997,0.7999999999999999,0.5,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,4,1,2,0.0,0.3999999999999999,-0.39999999999999997,0.39999999999999997,0.39191835884530846,-0.39999999999999997,0.39999999999999997,0.3919183588453085,0.5,,0.3,0.4,0.1
CAND_00318,6b1a486699affb71fa3bfc5f98e84dfaa4fad75642638d6c7f38dc190baf61c8,94f8367c8267e394e17b6b02125294b8c3624adf53812f483f1a283c6b88fc47,False,5.0353362107441635,0.7999999999999999,0.8999999999999998,0.6,0.6,0.7999999999999999,0.39999999999999997,0.6000000000000001,0.6000000000000001,1.0,0.6000000000000001,0.7999999999999999,0.7999999999999999,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,2,2,1,0.6,0.7666666666666666,0.7999999999999999,0.7999999999999999,0.09797958971132716,0.7999999999999999,0.7999999999999999,0.09797958971132717,0.5,,0.8999999999999998,0.7,0.1999999999999999
