id,fold,y_true,y_pred
ADI-47151,4,10.546,9.204916491240667
ADI-47153,3,11.148,9.361044449457202
ADI-47154,0,10.949,9.583815311341464
ADI-47155,1,10.984,9.429252072031538
ADI-47156,1,10.541,9.588327337156686
ADI-47158,1,11.386,9.508226325908518
ADI-47159,3,10.41,9.697879835096932
ADI-47162,3,11.866,9.889672506949665
ADI-47163,2,12.148,8.831235637228396
ADI-47165,1,10.187,9.68857819300837
ADI-47176,4,8.697,8.905617582672393
ADI-47177,2,8.717,9.072520209554023
ADI-47180,2,8.727,9.146309080842505
ADI-47181,0,9.77,9.218248372777651
ADI-47183,4,8.756,9.121083430628476
ADI-47187,2,9.119,9.151012828437063
ADI-47188,1,8.857,8.969625327948632
ADI-47189,4,8.862,9.079634877432342
ADI-47195,1,8.906,9.27333206281496
ADI-47199,1,8.931,9.304019297951095
ADI-47204,1,8.965,9.513757477639691
ADI-47207,3,9.008,8.923244417874551
ADI-47209,1,9.037,9.013201326517084
ADI-47212,4,9.081,9.493994199840706
ADI-47213,1,9.081,9.116731518316671
ADI-47215,0,9.086,9.315288756333283
ADI-47216,4,9.096,9.13746846535084
ADI-47218,2,9.119,9.300014906423938
ADI-47219,4,9.144,9.181402954323241
ADI-47223,4,9.202,9.638859640405856
ADI-47224,3,9.207,9.297859677939282
ADI-47225,0,9.236,9.410557808910378
ADI-47227,2,9.246,9.54912229709371
ADI-47228,2,9.265,9.468140458309149
ADI-47230,3,9.318,9.091319153188376
ADI-47233,0,9.367,9.565347669849393
ADI-47234,1,9.377,9.291452336875423
ADI-47236,1,9.406,9.02842371722875
ADI-47238,1,9.6,9.285781764872093
ADI-47240,4,9.644,9.278793429108564
ADI-47241,1,9.648,9.59095521151837
ADI-47244,0,9.756,9.856711797391457
ADI-47247,3,9.78,9.689063676369566
ADI-47249,2,9.44,9.621932539699058
ADI-47250,3,9.93,9.030264763906496
ADI-47252,4,9.94,9.40989235001216
ADI-47254,4,9.998,9.353811456189058
ADI-47258,0,9.372,9.475833792844794
ADI-47259,2,10.717,9.17049818310935
ADI-47260,2,10.74,9.877524604201144
ADI-47262,0,11.046,9.532311355578521
ADI-47265,4,11.886,9.924341488738532
ADI-47267,4,9.26,9.053815888217473
ADI-47280,0,8.625,9.260616263533908
ADI-47283,2,8.683,8.997340459616558
ADI-47284,4,8.717,8.884631426897108
ADI-47285,4,8.751,9.225746393924359
ADI-47288,2,8.843,8.954492962419144
ADI-47289,3,8.877,8.9471551394306
ADI-47292,2,8.935,9.244403375874349
ADI-47297,3,9.008,9.070842241568373
ADI-47300,3,9.076,9.183984572675572
ADI-47301,2,9.115,9.076126381559623
ADI-47302,0,9.149,9.178990013204908
ADI-47308,1,9.275,9.145643075417981
ADI-47309,0,9.284,9.355758872621182
ADI-47312,4,9.391,9.032506341421875
ADI-47316,4,9.605,9.437413175916271
ADI-47317,2,9.833,9.439296021274892
