id,K_CH1_mean,K_CH1_median,K_CH1_q10,K_CH1_q90,K_CH1_iqr,K_CH1_frac_neg,K_CH1_n,K_CL_mean,K_CL_median,K_CL_q10,K_CL_q90,K_CL_iqr,K_CL_frac_neg,K_CL_n,K_CH1_CL_mean,K_CH1_CL_median,K_CH1_CL_q10,K_CH1_CL_q90,K_CH1_CL_iqr,K_CH1_CL_frac_neg,K_CH1_CL_n,K_CONST_mean_median,K_CONST_diff_median
ADI-47293,50.32101665510813,17.882718917147713,9.697743367954615,151.8778816716859,55.77705186062739,0.0,38.0,36.10355646928352,15.428228085382344,10.619429721107329,90.46551922792374,44.68175146805535,0.0,32.0,49.039724985679584,36.06598773206262,10.08845823505196,103.15874324362466,64.81859461845698,0.0,8.0,16.65547350126503,2.4544908317653693
ADI-45378,43.08471181521402,17.131344172729744,9.076606912569092,137.12088169131695,37.24314149831744,0.0,34.0,45.04491592785737,16.830794274962557,8.595727076141591,106.7352870270542,69.45207220903448,0.0,40.0,40.248640475989326,29.554073280440203,9.527431759219876,83.70314652816198,45.38303456284546,0.0,8.0,16.98106922384615,0.300549897767187
ADI-47204,34.883824800845005,15.127678187615151,10.078439905126388,91.76790211824822,32.1087474114613,0.0,40.0,115.17635613496977,19.43556005561152,8.575690416290445,105.7534906943481,73.75995407703084,0.0,32.0,26.573620127582245,16.830794274962557,7.954553960904922,53.91865165943361,31.65792256481052,0.0,8.0,17.281619121613335,-4.30788186799637
ADI-47093,36.91754577573632,18.23336046454277,10.889924629097797,75.53820763882004,48.71412926309847,0.0,38.0,44.31637708253446,22.49115068291127,9.106661902345811,91.06661902345812,72.63289196040388,0.0,34.0,53.710771313477984,29.65425657969593,10.889924629097797,117.00407520076648,94.42275954852504,0.0,8.0,20.36225557372702,-4.257790218368502
ADI-47297,43.37409577250689,18.78436861044928,11.020162918130245,86.28787564896001,53.24742355442023,0.0,38.0,56.16452550333706,27.400132346442017,8.946368623536644,111.20346217385972,83.12709255744154,0.0,34.0,48.13807529237802,27.800865543464937,10.97007126850238,101.78623204382116,72.78316690928749,0.0,8.0,23.09225047844565,-8.615763735992736
ADI-45440,40.924877745965496,28.552240287882903,8.816130334504196,62.414195436319474,40.87478609633764,0.0,32.0,44.872099736641246,18.03299386603131,8.705928705322892,95.104005983464,81.27370152121055,0.0,40.0,53.43526724052472,25.09591646356024,10.168604874456545,124.90853751204354,90.0647860309008,0.0,8.0,23.292617076957107,10.519246421851594
ADI-47209,35.54002541097004,12.422729107710456,9.7778900073592,86.50827890732242,51.218711744491706,0.0,40.0,45.3241032103421,17.131344172729744,9.898109966466077,117.71537662548216,67.9242768953846,0.0,34.0,39.32194495787383,25.09591646356024,10.539283081702743,79.37522800031448,58.85768831274108,0.0,8.0,14.7770366402201,-4.708615065019288
ADI-46678,47.494793055051765,18.433727063054228,9.286991841006124,114.04866787272248,57.07943475095188,0.0,38.0,39.21586852336776,21.48931769035397,10.21869652408441,93.57120150485136,57.505213772788736,0.0,34.0,40.34882377524506,23.492983675468565,9.567505078922167,83.19221170195777,49.18999993456318,0.0,8.0,19.9615223767041,-3.0555906272997433
ADI-47099,52.618495064648144,14.726944990592235,7.814297341946901,134.9969957470955,94.67321779666436,0.0,36.0,35.05163182709836,19.68601830375085,9.667688378177896,91.4974072102578,40.574236198570446,0.0,32.0,46.0717947452286,23.893716872491485,10.759686340065349,101.20516890813794,67.34822292466416,0.0,8.0,17.206481647171543,-4.959073313158614
ADI-47300,46.66959903749799,26.197932755373262,9.667688378177896,117.19442346935244,54.87540216732583,0.0,38.0,49.1705198485968,20.737942945936005,10.01832992557295,100.38366585424096,72.958487682985,0.0,36.0,45.095007577485234,35.81552948392329,11.210511186716133,84.06380640548261,61.16190419562285,0.0,8.0,23.467937850654636,5.459989809437257
ADI-47100,44.56094219542344,16.830794274962557,11.34074947574858,111.80456196939411,61.913278940040826,0.0,34.0,41.98793386584575,18.3335437637985,10.719613020363056,85.75690416290445,61.13685837080892,0.0,36.0,42.47771888442931,18.23336046454277,10.919979618874514,91.46735222048102,59.35860480901973,0.0,8.0,17.58216901938053,-1.502749488835942
ADI-47215,48.66125474404684,13.424562100267751,10.168604874456545,114.9603358959496,45.13257631470614,0.0,36.0,41.67625249038346,17.93281056677558,10.318879823340138,103.38916483191284,41.050106870035165,0.0,36.0,40.661896585419214,15.17776983724302,10.599393061256182,101.05489395925434,49.86623720453936,0.0,8.0,15.678686333521664,-4.508248466507828
ADI-47216,50.05095016254211,19.13501015784433,11.020162918130245,141.85955174611297,58.7074133638575,0.0,32.0,44.53147651917176,16.329877778683908,9.587541738773313,116.75361695262718,69.20161396089514,0.0,40.0,42.139600249441216,25.74710790872248,8.946368623536644,91.88812207735508,69.3268430849648,0.0,8.0,17.73244396826412,2.8051323791604226
ADI-47217,41.08628417254417,20.737942945936005,9.417230130038572,84.5547045718357,37.368370622387104,0.0,36.0,50.38956312301995,13.023828903244834,8.906295303834352,110.4019957798139,39.09653253454844,0.0,38.0,40.248640475989326,14.927311589103695,9.23690019137826,90.23509763963555,70.02812617975492,0.0,8.0,16.88088592459042,7.714114042691172
ADI-46710,42.58317498890902,18.684185311193552,9.64765171832675,85.85708746216018,60.3353919767631,0.0,38.0,43.22631075942351,31.607830915182653,7.7642056923190355,89.21322798722711,68.95115571275582,0.0,36.0,35.89066695836509,25.49664966058316,9.497376769443155,69.54724634332742,55.82714351025526,0.0,8.0,25.146008113188103,-12.923645603989101
ADI-47301,61.810149073159934,13.224195501756292,7.814297341946901,152.45894480736914,70.32867607752212,0.0,34.0,31.296735406967503,13.975570246174264,10.789741329842066,68.72574328943044,43.32927692810301,0.0263157894736842,38.0,46.647848715949046,31.056822769276145,11.07025456775811,91.8781037474295,66.9975813772691,0.0,8.0,13.599882873965278,-0.7513747444179728
ADI-47187,37.81919546903788,18.834460260077144,9.817963327061491,79.74590620756068,52.47100298518832,0.0,36.0,47.14737377751581,22.29078408439981,10.519246421851598,95.97560068698886,73.58463330333332,0.0,36.0,47.52445258443668,37.76910381941002,8.82614866442977,91.49740721025776,65.79538178620035,0.0,8.0,20.562622172238477,-3.4563238243226664
