id,chain,npz,phys_xtc,pass_rate
ADI-47305,VH,16,3,0.1875
ADI-47305,VL,16,4,0.25
ADI-47306,VH,16,4,0.25
ADI-47306,VL,16,1,0.0625
ADI-47307,VH,16,4,0.25
ADI-47307,VL,16,2,0.125
ADI-47308,VH,16,6,0.375
ADI-47308,VL,16,5,0.3125
ADI-47309,VH,64,64,1.0
ADI-47309,VL,64,63,0.984375
ADI-47310,VH,16,3,0.1875
ADI-47310,VL,16,5,0.3125
ADI-47311,VH,16,6,0.375
ADI-47311,VL,16,2,0.125
ADI-47312,VH,16,8,0.5
ADI-47312,VL,16,4,0.25
ADI-47313,VH,16,1,0.0625
ADI-47313,VL,16,8,0.5
ADI-47316,VH,16,4,0.25
ADI-47316,VL,16,1,0.0625
ADI-47317,VH,16,5,0.3125
ADI-47317,VL,16,9,0.5625
