id,generator,extraction_status,error,corr_H_absPhi,corr_H_phi,area_frac_highH_highAbsPhi,area_frac_highH_positivePhi,area_frac_highH_negativePhi,largest_highH_highAbsPhi_patch_area_fraction,largest_highH_positivePhi_patch_area_fraction,largest_highH_negativePhi_patch_area_fraction,CDR_area_frac_highH_highAbsPhi,phi_finite_frac
ADI-45373,esmfold,SUCCESS,,-0.011326180437807146,-0.007479776730369295,0.030545577178410617,0.12323409235128255,0.07394993772215913,0.004135644708680408,0.006363506688582836,0.005180579842874283,0.043861743753731655,1.0
ADI-45375,esmfold,SUCCESS,,0.16262633077568375,-0.35832963550756025,0.05473396809988701,0.037175732163490335,0.16356696402521304,0.003274236115766299,0.0021321694506157567,0.004258347556902506,0.10509795838149405,1.0
ADI-45378,esmfold,SUCCESS,,-0.11327295268705163,-0.19414638657081465,0.03230853552147773,0.08345270458977666,0.11604111261803632,0.002199867121069762,0.004334882713072432,0.004418865782189765,0.09998244137973238,1.0
ADI-45379,esmfold,SUCCESS,,0.10284903134066747,-0.3063932516274846,0.040648550115538584,0.07536531085592682,0.12472309698353078,0.00238635047777088,0.0046301395810993805,0.002412029042967958,0.12469231122602736,1.0
ADI-45382,esmfold,SUCCESS,,-0.10568703645656935,-0.07164422547730141,0.027813185511339156,0.09896223783464511,0.1020047099383511,0.001951029561113218,0.003085226054367806,0.003958012144300963,0.036617895054539724,1.0
ADI-45383,esmfold,SUCCESS,,0.011663498121607692,-0.09398241276448349,0.0321068871246352,0.12328092308290634,0.07712388344878307,0.002067742545861853,0.003075106372244205,0.004072556551049414,0.09707778896415888,1.0
ADI-45388,esmfold,SUCCESS,,-0.0922399715186673,-0.0018455178841400533,0.03501719950741889,0.13027682817029318,0.06957371829283147,0.003111050380484054,0.0065382419958506825,0.003334283265272361,0.06733832299353158,1.0
ADI-45389,esmfold,SUCCESS,,-0.029403803026357818,-0.04502477078617272,0.03449083653452626,0.11255647582318318,0.08745951318076924,0.004116136562159346,0.004116136562159346,0.0021696342515863227,0.05990136334316476,1.0
ADI-45390,esmfold,SUCCESS,,0.014053270476476719,-0.0942505070863463,0.03229452876665838,0.07834042855376924,0.1205620521985135,0.0023556115559118045,0.003301185706507765,0.0034438214582153477,0.04144255401389709,1.0
ADI-45391,esmfold,SUCCESS,,-0.1579775800912655,-0.24879712715076563,0.026058422457765972,0.1141782548094392,0.0852235299465097,0.0022212950487866642,0.004409069883817538,0.002298008234889956,0.038589695913195526,1.0
ADI-45393,esmfold,SUCCESS,,-0.04626847428224585,-0.048334944030248385,0.024690989451601593,0.11768819823619357,0.08344352958107,0.0021090756556187227,0.0045219365931565714,0.007720503104376594,0.04614427417791522,1.0
ADI-45395,esmfold,SUCCESS,,0.043748013822212044,-0.005356572548871374,0.022936096617557106,0.12931376167045136,0.06962110472157221,0.002418239738139944,0.004611150970596949,0.004589295530451244,0.05713086344269291,1.0
ADI-45397,esmfold,SUCCESS,,-0.18631050730205123,-0.25682308069466064,0.028661935708437645,0.08102312113035844,0.11879989269605805,0.0011731933054473392,0.00434790621038088,0.00448390522997995,0.028974266293354138,1.0
ADI-45402,esmfold,SUCCESS,,-0.05503561351859245,-0.0498030426098786,0.03830411901163487,0.11446700334755572,0.08559180668557025,0.003170627374404704,0.003203007041964931,0.0031669384153101988,0.07298913431623687,1.0
ADI-45404,esmfold,SUCCESS,,0.004206538136930507,-0.09924867129911527,0.031806897335696256,0.09557799121370401,0.10363184215240775,0.0026742407455964297,0.0026742407455964297,0.006857401162755239,0.09199925441025203,1.0
