generator,feature,confound,spearman
abodybuilder2,log_softness_1_20,structure_confidence,0.4621527171372373
abodybuilder2,softness_fraction_first5,n_CA,-0.25484925102554845
abodybuilder2,softness_fraction_first5,n_edges,-0.27455479214455014
abodybuilder2,softness_fraction_first5,mean_degree,-0.15211245343410076
abodybuilder2,softness_fraction_first5,structure_confidence,-0.016810704488723068
abodybuilder2,spectral_slope_1_20,n_CA,-0.17172880511764713
abodybuilder2,spectral_slope_1_20,n_edges,-0.2407080916943717
abodybuilder2,spectral_slope_1_20,mean_degree,-0.24938759367219157
abodybuilder2,spectral_slope_1_20,structure_confidence,0.01040635777477883
abodybuilder2,lambda2_over_lambda1,n_CA,-0.2991090463469103
abodybuilder2,lambda2_over_lambda1,n_edges,-0.3959903242455203
abodybuilder2,lambda2_over_lambda1,mean_degree,-0.2780030137869883
abodybuilder2,lambda2_over_lambda1,structure_confidence,-0.30407733763770917
abodybuilder2,lambda5_over_lambda1,n_CA,-0.5570149775508277
abodybuilder2,lambda5_over_lambda1,n_edges,-0.527783638567303
abodybuilder2,lambda5_over_lambda1,mean_degree,-0.07949603977924395
abodybuilder2,lambda5_over_lambda1,structure_confidence,-0.3381274201088443
abodybuilder2,collectivity_mode1,n_CA,-0.6964060302897151
abodybuilder2,collectivity_mode1,n_edges,-0.7060405519398114
abodybuilder2,collectivity_mode1,mean_degree,-0.14463391632216824
abodybuilder2,collectivity_mode1,structure_confidence,-0.5294170569712366
abodybuilder2,collectivity_mean_modes1_5,n_CA,-0.7187429956635091
abodybuilder2,collectivity_mean_modes1_5,n_edges,-0.5590175190346418
abodybuilder2,collectivity_mean_modes1_5,mean_degree,0.23585820328402743
abodybuilder2,collectivity_mean_modes1_5,structure_confidence,-0.5211004383759803
abodybuilder2,collectivity_mean_modes1_10,n_CA,-0.7042799082824501
abodybuilder2,collectivity_mean_modes1_10,n_edges,-0.5758202924952808
abodybuilder2,collectivity_mean_modes1_10,mean_degree,0.16909347633546448
abodybuilder2,collectivity_mean_modes1_10,structure_confidence,-0.4944803436444305
boltz2,log_lambda_1,n_CA,0.13817145750631696
boltz2,log_lambda_1,n_edges,0.3990650224260056
boltz2,log_lambda_1,mean_degree,0.6679383407991801
boltz2,log_lambda_1,structure_confidence,-0.25293147398410554
boltz2,log_lambda_2,n_CA,-0.052262051759630675
boltz2,log_lambda_2,n_edges,0.1920872669407947
boltz2,log_lambda_2,mean_degree,0.5448824348265282
boltz2,log_lambda_2,structure_confidence,-0.14170393303520243
boltz2,log_lambda_3,n_CA,-0.020671935837780764
boltz2,log_lambda_3,n_edges,0.2345458346461079
boltz2,log_lambda_3,mean_degree,0.5734831069803619
boltz2,log_lambda_3,structure_confidence,-0.1495918781367698
