antibody_id,pair_hash,predictor,model,input,pdb_path,structure_hash,runtime_s,success,n_chains,chain_ids,vh_len,vl_len,error,mean_plddt,chain_lens.A,chain_lens.B
ADI-45472,22760aebdab18190730887008895247f,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/22760aebdab18190730887008895247f.pdb,33d80d13b9758c86cbb8c8567408cffe,4.999655028805137,True,2,"A,B",122,108,,74.453857421875,122,108
ADI-45461,24548cd2379bdc83b73e97c6cea1d839,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/24548cd2379bdc83b73e97c6cea1d839.pdb,2b683c9b6a17939c16526c8191a1b43c,5.628102391026914,True,2,"A,B",127,112,,72.01167297363281,127,112
ADI-38503,245c5e005bbe633d368424fd59fa1a63,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/245c5e005bbe633d368424fd59fa1a63.pdb,b98279b8d7a965a3e10feb8efa12c669,5.431390207260847,True,2,"A,B",121,111,,72.84798431396484,121,111
ADI-47246,246634e674e5609e63689d1cce770f75,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/246634e674e5609e63689d1cce770f75.pdb,7c99dc8160490f73ab36ba3fccec1342,4.545600030571222,True,2,"A,B",113,108,,72.1694107055664,113,108
ADI-47097,256426615fcf166b12204b59802948fd,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/256426615fcf166b12204b59802948fd.pdb,a9bd93496f82f8a18ff3469f8b9d1adc,5.057183930650353,True,2,"A,B",119,112,,72.92989349365234,119,112
ADI-47120,25eff3096e7bdbcec97430afedb78f5a,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/25eff3096e7bdbcec97430afedb78f5a.pdb,957e565ab3b43b7587c87d3a54a0d1a4,5.506967670284212,True,2,"A,B",124,110,,74.32177734375,124,110
ADI-47234,262511c136af4f65d502fd80d727bb6f,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/262511c136af4f65d502fd80d727bb6f.pdb,ecbef4db11e6c8c54cb68637500184ee,5.4411003068089485,True,2,"A,B",125,107,,74.1662368774414,125,107
ADI-47067,262fa787194a3d69938734309514a380,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/262fa787194a3d69938734309514a380.pdb,7c5e87c11139ef1a2d474466778857ab,5.511625358834863,True,2,"A,B",125,110,,72.7527084350586,125,110
ADI-47157,26f440a2a4deaf9c555f513d1374aa53,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/26f440a2a4deaf9c555f513d1374aa53.pdb,ee3c26a7a9b5eca50c04935a64550f69,5.478685533627868,True,2,"A,B",125,108,,71.65812683105469,125,108
ADI-46680,27631046c5fa099bec0f67e177cecd4b,ESMFold_native,esmfold_v1,VH:VL,/workspace_developability_acquisition/gate_b2/cache/structures/esmfold_native/27631046c5fa099bec0f67e177cecd4b.pdb,c2c03c0ffc62b16f2c0e7692892260fa,5.5026852283626795,True,2,"A,B",122,112,,73.69412994384766,122,112
