target,family,cv,mode,feature_dim,screen_model,base_MAE,cand_MAE,delta_MAE,boot_lo,boot_hi,p_improve,cand_Spearman,n,incumbent_id,subfamily,structure_source,molecular_scope,standalone_delta,reference_model,incremental_mae,incremental_delta,bootstrap_ci_low,bootstrap_ci_high,generator_robustness,artifact_status,runtime,verdict,notes
TmApp,S4_contact_graph,Shadow,INC_vs_PLM,22,Ridge,3.030945321708822,2.843932411473168,0.1870129102356541,0.0202153694991387,0.3605943175996868,0.985,0.5530046888989516,162,TmApp__META_performance__ridge_100.0,INC_vs_PLM,ESMFold_Fv,Fv,,TmApp__META_performance__ridge_100.0,2.843932411473168,0.1870129102356541,0.0202153694991387,0.3605943175996868,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,,
TmApp,S4_contact_graph,Shadow,INC_vs_INCUMBENT,22,Ridge,2.7134783500422097,2.7073118096296107,0.006166540412599,-0.055045890716674,0.0700006074625633,0.5575,0.5838561904100357,162,TmApp__META_performance__ridge_100.0,INC_vs_INCUMBENT,ESMFold_Fv,Fv,,TmApp__META_performance__ridge_100.0,2.7073118096296107,0.006166540412599,-0.055045890716674,0.0700006074625633,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,,
HIC,S4_contact_graph,Primary,STANDALONE_vs_median,22,Ridge,0.5181666666666666,0.5476583167770348,-0.0294916501103682,-0.0857380018739245,0.0245226736314029,0.141,0.2863887138094536,162,HIC__SIMPLE_blend_seq_surf_adv,STANDALONE_vs_median,ESMFold_Fv,Fv,-0.0294916501103682,HIC__SIMPLE_blend_seq_surf_adv,,,-0.0857380018739245,0.0245226736314029,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,,
HIC,S4_contact_graph,Primary,INC_vs_PLM,22,Ridge,0.5220492329835269,0.5273664320663528,-0.0053171990828259,-0.0288000412205258,0.0171634966303115,0.331,0.3876381899005469,162,HIC__SIMPLE_blend_seq_surf_adv,INC_vs_PLM,ESMFold_Fv,Fv,,HIC__SIMPLE_blend_seq_surf_adv,0.5273664320663528,-0.0053171990828259,-0.0288000412205258,0.0171634966303115,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,,
HIC,S4_contact_graph,Primary,INC_vs_INCUMBENT,22,Ridge,0.4251776987709105,0.4456630572373583,-0.0204853584664478,-0.0557087918794099,0.0154254115404862,0.1225,0.627813367904835,162,HIC__SIMPLE_blend_seq_surf_adv,INC_vs_INCUMBENT,ESMFold_Fv,Fv,,HIC__SIMPLE_blend_seq_surf_adv,0.4456630572373583,-0.0204853584664478,-0.0557087918794099,0.0154254115404862,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,NO_SIGNAL,
HIC,S4_contact_graph,Shadow,STANDALONE_vs_median,22,Ridge,0.5176481481481482,0.5555176443485635,-0.0378694962004153,-0.0901695660392109,0.019622946815462,0.095,0.2533008157696204,162,HIC__SIMPLE_blend_seq_surf_adv,STANDALONE_vs_median,ESMFold_Fv,Fv,-0.0378694962004153,HIC__SIMPLE_blend_seq_surf_adv,,,-0.0901695660392109,0.019622946815462,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,,
HIC,S4_contact_graph,Shadow,INC_vs_PLM,22,Ridge,0.5233988520074129,0.5420885122545641,-0.0186896602471512,-0.0422509157997942,0.005343750166287,0.0665,0.3450970099518755,162,HIC__SIMPLE_blend_seq_surf_adv,INC_vs_PLM,ESMFold_Fv,Fv,,HIC__SIMPLE_blend_seq_surf_adv,0.5420885122545641,-0.0186896602471512,-0.0422509157997942,0.005343750166287,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,,
HIC,S4_contact_graph,Shadow,INC_vs_INCUMBENT,22,Ridge,0.4251776987709105,0.44653901280107,-0.0213613140301595,-0.0574584661365206,0.0151123779879649,0.1195,0.6251049701766983,162,HIC__SIMPLE_blend_seq_surf_adv,INC_vs_INCUMBENT,ESMFold_Fv,Fv,,HIC__SIMPLE_blend_seq_surf_adv,0.44653901280107,-0.0213613140301595,-0.0574584661365206,0.0151123779879649,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,,
TmApp,S1_STRONGLY_EXPOSED_AROMATIC,Primary,STANDALONE_vs_median,1280,PCA32_Ridge,3.438271604938272,3.2406212298666235,0.1976503750716483,-0.0032814533545303,0.4065488381341383,0.971,0.2829206508750855,162,TmApp__META_performance__ridge_100.0,STANDALONE_vs_median,ESMFold_Fv,Fv,0.1976503750716483,TmApp__META_performance__ridge_100.0,,,-0.0032814533545303,0.4065488381341383,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,,
TmApp,S1_STRONGLY_EXPOSED_AROMATIC,Primary,INC_vs_PLM,1280,PCA32_Ridge,3.02851273324092,3.435660717413472,-0.4071479841725525,-0.7337434070336339,-0.0948695626133452,0.005,0.346032644626997,162,TmApp__META_performance__ridge_100.0,INC_vs_PLM,ESMFold_Fv,Fv,,TmApp__META_performance__ridge_100.0,3.435660717413472,-0.4071479841725525,-0.7337434070336339,-0.0948695626133452,NOT_TESTED_ESMFOLD_ONLY,PENDING_FULL_AUDIT,,,
