fold,model,train_mae,val_mae,gap,seed_mae_sd,weight_norm_mean,n_params,pred_sd_over_true_sd
2,M3_MULTIPLICATIVE_R1,0.24814845141733904,0.6985045560438526,-0.4503561046265136,0.02286265837620425,4.138651992522803,112,0.9750151689552328
2,M3_MULTIPLICATIVE_R2,0.12849567915148744,0.4974128381393397,-0.36891715898785227,0.04281728824310536,5.532966317100443,159,0.918145702809722
2,M3_MULTIPLICATIVE_R4,0.03176239957331999,0.6083282800272286,-0.5765658804539087,0.0642214819943901,6.230077815907632,253,1.036009186865416
2,M4_FILM_R1,0.21338330955460952,0.5916588367879658,-0.37827552723335633,0.0014520604365061648,5.309417169530048,176,0.6580982159812961
2,M4_FILM_R2,0.10218897429833276,0.6516545692646947,-0.5494655949663619,0.014166900413890586,6.343995583958102,255,0.7750754273587342
2,M4_FILM_R4,0.04491968766741289,0.5462530401566579,-0.5013333524892449,0.031111579610585197,7.431849760907902,413,0.7722263277638298
2,M4_ADD_ONLY_R2,0.34324152236239885,0.501732750418534,-0.1584912280561352,0.00016884197246324606,2.9209017630520604,159,0.5867395493467946
2,B0_PLM_ONLY,0.4133253434645736,0.5494523400503362,-0.13612699658576255,,,33,0.31583106330979177
2,B1_CURRENT_CONCAT,0.36663637770164265,0.4757984569808853,-0.10916207927924265,,,48,0.3903121405250883
2,M2_FULL_BILINEAR_ELASTICNET,0.38386317051567426,0.5432421857962089,-0.1593790152805346,,,528,0.43369414111570365
3,M3_MULTIPLICATIVE_R1,0.29311044125738517,0.5046808745785963,-0.21157043332121117,0.004267197334564293,3.564706936824856,112,0.7713727287688151
3,M3_MULTIPLICATIVE_R2,0.19122707600770752,0.6174122516488156,-0.42618517564110814,0.01977741568923529,5.291164514586891,159,1.2213331766188114
3,M3_MULTIPLICATIVE_R4,0.03541321480238394,0.6880609702065303,-0.6526477554041464,0.03885140625361416,6.569194997402254,253,1.448331534266647
3,M4_FILM_R1,0.2998909234039787,0.5083102156223861,-0.20841929221840738,0.007508429878041096,3.911703254773908,176,0.820180202794508
3,M4_FILM_R2,0.13908057898091383,0.5901211911482851,-0.45104061216737124,0.017236998034191972,6.659167138793123,255,0.9371357255460784
3,M4_FILM_R4,0.03840802851971465,0.7459267936430434,-0.7075187651233287,0.030862054165497987,7.373289852608053,413,1.3885118736167743
3,M4_ADD_ONLY_R2,0.3462958883373749,0.49241060237307405,-0.14611471403569914,0.0001469431583688257,2.665593969115806,159,0.7961822303109024
3,B0_PLM_ONLY,0.426476998455062,0.4647313219993639,-0.038254323544301916,,,33,0.41286490753260185
3,B1_CURRENT_CONCAT,0.3810235464971833,0.3856728165080971,-0.0046492700109138085,,,48,0.5328655181010302
3,M2_FULL_BILINEAR_ELASTICNET,0.2791283145281297,0.46240170692149585,-0.18327339239336615,,,528,0.4820359077246656
4,M3_MULTIPLICATIVE_R1,0.25782939967156215,0.8215603428482499,-0.5637309431766877,0.009566633229855105,3.4723185234348186,112,0.9620649492604559
4,M3_MULTIPLICATIVE_R2,0.15022894516888025,0.8694892843171541,-0.7192603391482739,0.03779800202197804,5.002480284255041,159,1.020372729820364
4,M3_MULTIPLICATIVE_R4,0.05275638796490094,0.7949817479138093,-0.7422253599489084,0.04548882638057496,6.245534507187182,253,1.004052260395601
4,M4_FILM_R1,0.2564242022115474,0.8256992521138211,-0.5692750499022737,0.0014249726575786337,3.815735950160213,176,0.9994724544413027
4,M4_FILM_R2,0.14710833104303156,0.737818491816628,-0.5907101607735964,0.06284433683370295,5.769085850462531,255,0.9545299656919621
4,M4_FILM_R4,0.05189024392169572,0.8223689677724506,-0.7704787238507549,0.02809460309314186,6.990909813663291,413,1.06308941475039
4,M4_ADD_ONLY_R2,0.3167374840945053,0.6130966664692391,-0.2963591823747338,0.00018013035204596085,3.002872737249474,159,0.7984989494798362
4,B0_PLM_ONLY,0.4148613954832379,0.5406681829165474,-0.12580678743330947,,,33,0.3398335299366054
4,B1_CURRENT_CONCAT,0.35750609136965655,0.5218720592167141,-0.16436596784705754,,,48,0.49790954712691476
4,M2_FULL_BILINEAR_ELASTICNET,0.42373843479779505,0.5496362508076967,-0.1258978160099017,,,528,0.3297350770940281
