representation,model,target,split,cv_spearman,cv_pearson,cv_mae,cv_rmse,public_spearman,private_spearman,feature_class,best_params
FUSION_esm2_ABB_SURFACE,ElasticNet,TmApp,shadow_1,0.5086738996770425,0.48886319650599214,3.3113587955306896,4.105980205679965,0.24270641487578487,0.47377853671663356,PARTICIPANT_LEGAL,"{""model__alpha"": 1, ""model__l1_ratio"": 0.2}"
FUSION_A2_ABB_SURFACE,Ridge,TmApp,shadow_1,0.32301369178229367,0.3008022727767874,3.6112113528064653,4.459860942313703,0.13228583023800558,0.41626860625514106,PARTICIPANT_LEGAL,"{""model__alpha"": 10000}"
FUSION_A2_ABB_SURFACE,ElasticNet,TmApp,shadow_1,0.3694978309085093,0.3513628817448244,3.461964029705118,4.358374039522934,0.1624462991440234,0.4430978203897643,PARTICIPANT_LEGAL,"{""model__alpha"": 1, ""model__l1_ratio"": 0.2}"
FUSION_esm2_ABB_SURFACE,Ridge,PSR,shadow_2,-0.022122076392152044,0.07706554744095738,0.06091921463109778,0.10020815514381144,0.2985801156031988,0.22386024409676528,PARTICIPANT_LEGAL,"{""model__alpha"": 1000}"
FUSION_esm2_ABB_SURFACE,ElasticNet,PSR,shadow_2,-0.002677449233713737,0.10378410785150143,0.053289571391424186,0.09265639353035938,0.2528296383331435,0.10123055996693534,PARTICIPANT_LEGAL,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.2}"
FUSION_A2_ABB_SURFACE,Ridge,PSR,shadow_2,0.061845180803021,0.10766305894787662,0.07022632451524631,0.10754145863659492,0.27812739617689275,0.24010501301037826,PARTICIPANT_LEGAL,"{""model__alpha"": 1000}"
FUSION_A2_ABB_SURFACE,ElasticNet,PSR,shadow_2,0.07392654424762038,0.09170637340168424,0.072669539227883,0.10994470791561343,0.23947804391560912,0.2105224338308515,PARTICIPANT_LEGAL,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.2}"
FUSION_esm2_ABB_SURFACE,Ridge,HIC,shadow_2,0.5172895532466824,0.4479020646377274,0.5277399347960531,0.7627752256266674,0.545849211961075,0.5755589065820718,PARTICIPANT_LEGAL,"{""model__alpha"": 1000}"
FUSION_esm2_ABB_SURFACE,ElasticNet,HIC,shadow_2,0.5239411988869722,0.4632355848358507,0.5040249323347837,0.7381389657700339,0.511006062369946,0.635896763630069,PARTICIPANT_LEGAL,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.8}"
FUSION_A2_ABB_SURFACE,Ridge,HIC,shadow_2,0.43017309068783033,0.3586421728693693,0.498228066749097,0.7697871402977244,0.46411975678262146,0.6824012764146172,PARTICIPANT_LEGAL,"{""model__alpha"": 100}"
FUSION_A2_ABB_SURFACE,ElasticNet,HIC,shadow_2,0.4294316739852019,0.4221517732316357,0.5313084233288492,0.7663245030228523,0.4647789949613184,0.6956445728184877,PARTICIPANT_LEGAL,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.2}"
FUSION_esm2_ABB_SURFACE,Ridge,TmApp,shadow_2,0.4178617476712058,0.3886538652780333,3.476734274920943,4.542008023722211,0.4900588609134579,0.3174613448023713,PARTICIPANT_LEGAL,"{""model__alpha"": 1000}"
FUSION_esm2_ABB_SURFACE,ElasticNet,TmApp,shadow_2,0.35203165856047985,0.33313490014458114,3.76451874715329,4.806195523183704,0.4136983822902358,0.20159682280821067,PARTICIPANT_LEGAL,"{""model__alpha"": 0.001, ""model__l1_ratio"": 0.2}"
FUSION_A2_ABB_SURFACE,Ridge,TmApp,shadow_2,0.3327683915864973,0.340890750443497,3.545448536958263,4.59190687350348,0.33833565913058383,0.4170553432959344,PARTICIPANT_LEGAL,"{""model__alpha"": 10000}"
FUSION_A2_ABB_SURFACE,ElasticNet,TmApp,shadow_2,0.37100934654557366,0.36862991275466067,3.4786778251737323,4.491142638631238,0.34211747419411537,0.36947008412123944,PARTICIPANT_LEGAL,"{""model__alpha"": 1, ""model__l1_ratio"": 0.5}"
FUSION_esm2_ABB_SURFACE,Ridge,PSR,shadow_3,0.07017909259724438,0.08363140991146027,0.0393991204369622,0.06294688837075683,0.14012980994907415,0.2270099910053391,PARTICIPANT_LEGAL,"{""model__alpha"": 1000}"
FUSION_esm2_ABB_SURFACE,ElasticNet,PSR,shadow_3,-0.014012763805131336,0.04488622862140517,0.04978963319808933,0.07271671465235247,0.08768093877511512,0.23150447767047572,PARTICIPANT_LEGAL,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.2}"
FUSION_A2_ABB_SURFACE,Ridge,PSR,shadow_3,0.026923808568125037,-0.016196626202157515,0.045934326301101745,0.06970985069615465,0.09147362593897895,0.26797896560677653,PARTICIPANT_LEGAL,"{""model__alpha"": 10}"
FUSION_A2_ABB_SURFACE,ElasticNet,PSR,shadow_3,-0.009395872640845859,-0.002549847489912436,0.042796587015639945,0.06571270324616045,0.19667079095772835,0.3220280488362396,PARTICIPANT_LEGAL,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.2}"
FUSION_esm2_ABB_SURFACE,Ridge,HIC,shadow_3,0.4495821693241075,0.38206225326692395,0.5454434731641109,0.7853959727016128,0.485696178677931,0.5597820168406209,PARTICIPANT_LEGAL,"{""model__alpha"": 10}"
FUSION_esm2_ABB_SURFACE,ElasticNet,HIC,shadow_3,0.45933035108137255,0.4517610548252689,0.49156331700179645,0.7238269984749737,0.5432392869599231,0.6105386716745701,PARTICIPANT_LEGAL,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.8}"
FUSION_A2_ABB_SURFACE,Ridge,HIC,shadow_3,0.43978341802738835,0.4246372017470603,0.4898127961007965,0.739490881770253,0.4985466715263212,0.5788472023530755,PARTICIPANT_LEGAL,"{""model__alpha"": 10000}"
FUSION_A2_ABB_SURFACE,ElasticNet,HIC,shadow_3,0.4129815621167235,0.33626490504715656,0.5253754350050728,0.7925275004982527,0.5233953286158104,0.606464054190378,PARTICIPANT_LEGAL,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.8}"
FUSION_esm2_ABB_SURFACE,Ridge,TmApp,shadow_3,0.385078536805562,0.3488003264602341,3.469673330824721,4.493926520741683,0.32283548323511524,0.5052629667233768,PARTICIPANT_LEGAL,"{""model__alpha"": 10000}"
FUSION_esm2_ABB_SURFACE,ElasticNet,TmApp,shadow_3,0.3496086839729967,0.32330892583392074,3.556064431591233,4.658904302327803,0.42858627225007667,0.53839991799458,PARTICIPANT_LEGAL,"{""model__alpha"": 1, ""model__l1_ratio"": 0.2}"
FUSION_A2_ABB_SURFACE,Ridge,TmApp,shadow_3,0.1210193638608032,0.1109901578887282,3.930175426178343,5.104852203072917,0.32710492502764477,0.5635799721520293,PARTICIPANT_LEGAL,"{""model__alpha"": 1000}"
FUSION_A2_ABB_SURFACE,ElasticNet,TmApp,shadow_3,0.08205024303578765,0.005517981728287672,4.373079062969294,5.819601825264852,0.40163405252390333,0.49634922755163974,PARTICIPANT_LEGAL,"{""model__alpha"": 0.01, ""model__l1_ratio"": 0.2}"
