experiment_id,target,branch,residual_feature_family,residual_lambda,hyperparameters,Primary_MAE,Primary_fold_SD,nested,delta_vs_stage4_primary
HIC__RESID_STRUCT_SURFACE_CHEM__Ridge10.0__lam1.0,HIC,residual_model,STRUCT_SURFACE_CHEM,1.0,"{""alpha"": 10.0}",0.5919972151236648,0.1022441536885602,True,0.15472549796973006
HIC__RESID_STRUCT_SURFACE_CHEM__Ridge100.0__lam0.25,HIC,residual_model,STRUCT_SURFACE_CHEM,0.25,"{""alpha"": 100.0}",0.4387311323181246,0.04915674860691908,True,0.0014594151641899034
HIC__RESID_STRUCT_SURFACE_CHEM__Ridge100.0__lam0.5,HIC,residual_model,STRUCT_SURFACE_CHEM,0.5,"{""alpha"": 100.0}",0.44928727404498414,0.05405470951103618,True,0.01201555689104944
HIC__RESID_STRUCT_SURFACE_CHEM__Ridge100.0__lam1.0,HIC,residual_model,STRUCT_SURFACE_CHEM,1.0,"{""alpha"": 100.0}",0.5020068624261369,0.07346604765573214,True,0.0647351452722022
HIC__RESID_ADV_SURFACE_PATCH__Ridge1.0__lam0.25,HIC,residual_model,ADV_SURFACE_PATCH,0.25,"{""alpha"": 1.0}",0.43596430518589996,0.03884926318435461,True,-0.001307411968034744
HIC__RESID_ADV_SURFACE_PATCH__Ridge1.0__lam0.5,HIC,residual_model,ADV_SURFACE_PATCH,0.5,"{""alpha"": 1.0}",0.4434589215273303,0.03206813479249504,True,0.006187204373395594
HIC__RESID_ADV_SURFACE_PATCH__Ridge1.0__lam1.0,HIC,residual_model,ADV_SURFACE_PATCH,1.0,"{""alpha"": 1.0}",0.4837298940356674,0.04413091560485504,True,0.046458176881732705
HIC__RESID_ADV_SURFACE_PATCH__Ridge10.0__lam0.25,HIC,residual_model,ADV_SURFACE_PATCH,0.25,"{""alpha"": 10.0}",0.4350885831075715,0.04018985158421056,True,-0.002183134046363222
HIC__RESID_ADV_SURFACE_PATCH__Ridge10.0__lam0.5,HIC,residual_model,ADV_SURFACE_PATCH,0.5,"{""alpha"": 10.0}",0.439792246541817,0.0349811822962755,True,0.0025205293878822754
HIC__RESID_ADV_SURFACE_PATCH__Ridge10.0__lam1.0,HIC,residual_model,ADV_SURFACE_PATCH,1.0,"{""alpha"": 10.0}",0.4679867911215422,0.041383389233284426,True,0.030715073967607476
HIC__RESID_ADV_SURFACE_PATCH__Ridge100.0__lam0.25,HIC,residual_model,ADV_SURFACE_PATCH,0.25,"{""alpha"": 100.0}",0.43510464334445137,0.04102586311712893,True,-0.002167073809483333
HIC__RESID_ADV_SURFACE_PATCH__Ridge100.0__lam0.5,HIC,residual_model,ADV_SURFACE_PATCH,0.5,"{""alpha"": 100.0}",0.4366239807975816,0.037892861927337665,True,-0.0006477363563531235
HIC__RESID_ADV_SURFACE_PATCH__Ridge100.0__lam1.0,HIC,residual_model,ADV_SURFACE_PATCH,1.0,"{""alpha"": 100.0}",0.45182258786053475,0.03690399165408677,True,0.01455087070660005
HIC__RESID_ADV_ELECTROSTATICS__Ridge1.0__lam0.25,HIC,residual_model,ADV_ELECTROSTATICS,0.25,"{""alpha"": 1.0}",0.45118685896927335,0.04782756731615661,True,0.01391514181533865
HIC__RESID_ADV_ELECTROSTATICS__Ridge1.0__lam0.5,HIC,residual_model,ADV_ELECTROSTATICS,0.5,"{""alpha"": 1.0}",0.47159483232368254,0.0586395677756238,True,0.03432311516974784
HIC__RESID_ADV_ELECTROSTATICS__Ridge1.0__lam1.0,HIC,residual_model,ADV_ELECTROSTATICS,1.0,"{""alpha"": 1.0}",0.5253252707842204,0.08685590616948453,True,0.08805355363028572
HIC__RESID_ADV_ELECTROSTATICS__Ridge10.0__lam0.25,HIC,residual_model,ADV_ELECTROSTATICS,0.25,"{""alpha"": 10.0}",0.4489645625922473,0.047463916484551616,True,0.011692845438312616
HIC__RESID_ADV_ELECTROSTATICS__Ridge10.0__lam0.5,HIC,residual_model,ADV_ELECTROSTATICS,0.5,"{""alpha"": 10.0}",0.465737198379211,0.05582336749777851,True,0.028465481225276312
HIC__RESID_ADV_ELECTROSTATICS__Ridge10.0__lam1.0,HIC,residual_model,ADV_ELECTROSTATICS,1.0,"{""alpha"": 10.0}",0.5112523687174128,0.07564548680619149,True,0.07398065156347805
HIC__RESID_ADV_ELECTROSTATICS__Ridge100.0__lam0.25,HIC,residual_model,ADV_ELECTROSTATICS,0.25,"{""alpha"": 100.0}",0.4451582493117556,0.04671631334445612,True,0.007886532157820925
HIC__RESID_ADV_ELECTROSTATICS__Ridge100.0__lam0.5,HIC,residual_model,ADV_ELECTROSTATICS,0.5,"{""alpha"": 100.0}",0.45584651131579673,0.05064244323639578,True,0.01857479416186203
HIC__RESID_ADV_ELECTROSTATICS__Ridge100.0__lam1.0,HIC,residual_model,ADV_ELECTROSTATICS,1.0,"{""alpha"": 100.0}",0.4859295021852562,0.05797343487910022,True,0.04865778503132151
HIC__RESID_ADV_PROPKA__Ridge1.0__lam0.25,HIC,residual_model,ADV_PROPKA,0.25,"{""alpha"": 1.0}",0.445155957599846,0.04482847384990134,True,0.007884240445911295
HIC__RESID_ADV_PROPKA__Ridge1.0__lam0.5,HIC,residual_model,ADV_PROPKA,0.5,"{""alpha"": 1.0}",0.45783607313870256,0.04765861374731514,True,0.020564355984767857
HIC__RESID_ADV_PROPKA__Ridge1.0__lam1.0,HIC,residual_model,ADV_PROPKA,1.0,"{""alpha"": 1.0}",0.4960418589854935,0.05878068986473498,True,0.05877014183155882
HIC__RESID_ADV_PROPKA__Ridge10.0__lam0.25,HIC,residual_model,ADV_PROPKA,0.25,"{""alpha"": 10.0}",0.44345272196534063,0.04392698152388391,True,0.006181004811405932
HIC__RESID_ADV_PROPKA__Ridge10.0__lam0.5,HIC,residual_model,ADV_PROPKA,0.5,"{""alpha"": 10.0}",0.4538877029167716,0.04490269160192731,True,0.016615985762836905
HIC__RESID_ADV_PROPKA__Ridge10.0__lam1.0,HIC,residual_model,ADV_PROPKA,1.0,"{""alpha"": 10.0}",0.48396999447930195,0.04593079512328989,True,0.04669827732536724
HIC__RESID_ADV_PROPKA__Ridge100.0__lam0.25,HIC,residual_model,ADV_PROPKA,0.25,"{""alpha"": 100.0}",0.4412841068439491,0.044533638587457396,True,0.004012389690014384
HIC__RESID_ADV_PROPKA__Ridge100.0__lam0.5,HIC,residual_model,ADV_PROPKA,0.5,"{""alpha"": 100.0}",0.4488229351771268,0.045399626772502255,True,0.011551218023192089
HIC__RESID_ADV_PROPKA__Ridge100.0__lam1.0,HIC,residual_model,ADV_PROPKA,1.0,"{""alpha"": 100.0}",0.4736265228536198,0.045386507126251606,True,0.03635480569968508
HIC__RESID_COMPACT_SURF_PATCH__Ridge1.0__lam0.25,HIC,residual_model,COMPACT_SURF_PATCH,0.25,"{""alpha"": 1.0}",0.452291194369413,0.04741765023713443,True,0.015019477215478305
HIC__RESID_COMPACT_SURF_PATCH__Ridge1.0__lam0.5,HIC,residual_model,COMPACT_SURF_PATCH,0.5,"{""alpha"": 1.0}",0.5025959444322439,0.0572260955943789,True,0.06532422727830917
HIC__RESID_COMPACT_SURF_PATCH__Ridge1.0__lam1.0,HIC,residual_model,COMPACT_SURF_PATCH,1.0,"{""alpha"": 1.0}",0.6600666082645413,0.07389815774840114,True,0.22279489111060663
HIC__RESID_COMPACT_SURF_PATCH__Ridge10.0__lam0.25,HIC,residual_model,COMPACT_SURF_PATCH,0.25,"{""alpha"": 10.0}",0.44503344512736476,0.04988930931843104,True,0.007761727973430055
HIC__RESID_COMPACT_SURF_PATCH__Ridge10.0__lam0.5,HIC,residual_model,COMPACT_SURF_PATCH,0.5,"{""alpha"": 10.0}",0.4740723426239904,0.05462664983701128,True,0.03680062547005569
HIC__RESID_COMPACT_SURF_PATCH__Ridge10.0__lam1.0,HIC,residual_model,COMPACT_SURF_PATCH,1.0,"{""alpha"": 10.0}",0.5827321055656035,0.07889119807928492,True,0.1454603884116688
HIC__RESID_COMPACT_SURF_PATCH__Ridge100.0__lam0.25,HIC,residual_model,COMPACT_SURF_PATCH,0.25,"{""alpha"": 100.0}",0.43671477011608517,0.049516017192120995,True,-0.0005569470378495311
HIC__RESID_COMPACT_SURF_PATCH__Ridge100.0__lam0.5,HIC,residual_model,COMPACT_SURF_PATCH,0.5,"{""alpha"": 100.0}",0.4475357846887559,0.052026880293627537,True,0.010264067534821175
HIC__RESID_COMPACT_SURF_PATCH__Ridge100.0__lam1.0,HIC,residual_model,COMPACT_SURF_PATCH,1.0,"{""alpha"": 100.0}",0.49159697930439905,0.06539066112073215,True,0.05432526215046435
