experiment_code,experiment_id,family,representation,topology,annotation,notes,cv_primary_mae,cv_shadow_mae,cv_mean_mae,public_mae,private_mae,test_overall_mae,abs_PS,abs_pub_priv,is_factorial_200,is_surfaceish,provenance
EXP-H109,TRF_HIC_ESM2_ARCH4_SURFACE_PLUS_HSP_BM_R5_PROMOTED_V3,TRANSFORMER,,,,ESM2 + SURFACE + P1 BM-R5,0.4600910251287766,0.4542262043423123,0.4571586147355445,0.399742896562741,0.4028054687123239,0.4012741826375325,0.005864820786464275,0.0030625721495829428,False,True,retrospective_historical
EXP-H042,SVR_HIC_ALONE_ESM2_RASA_P1_SVR,LINEAR,,,,CLASSICAL_FEATURE_REFINEMENT; no ensemble; CV-selected then postcomp evaluated | prior_reproduction_status=PASS,0.4554649380071217,0.4636813355012391,0.4595731367541804,0.4589141339097766,0.4350763884092253,0.446995261159501,0.0082163974941174,0.02383774550055129,False,True,retrospective_historical
EXP-H023,XGB_HIC_ESM2_SEQ_AROMATIC,XGBOOST,,,,overall_derivation=authoritative_overall_test_mae local_solution_check pub=0.446864 priv=0.456237 overall=0.451551 | prior_reproduction_status=PASS,0.4595205302768282,0.4600007806000885,0.4597606554384583,0.4468639876754196,0.4562370774068949,0.4515505325411573,0.0004802503232602673,0.00937308973147527,False,False,retrospective_historical
EXP-H032,TRF_HIC_ESM2_FULL_HONLY_FUS_CONTINUOUS_SURFACE,TRANSFORMER,,,,Phase2A historical Transformer backfill; representation_status=HISTORICAL_UNAVAILABLE; representation_aggregation_future=UNDECIDED; group=phase1_fus | prior_reproduction_status=PASS,0.4475720075128499,0.4723787205700029,0.4599753640414264,0.429567148750211,0.4784063694329908,0.4539867590916009,0.024806713057152985,0.048839220682779794,False,True,retrospective_historical
EXP-H110,TRF_HIC_ESM2_ARCH4_HSP_FP_R5_PROMOTED_V3,TRANSFORMER,,,,ESM2 + P2 FP-R5 HSP alone,0.4593489172664689,0.470324082315704,0.4648364997910864,0.4081838636987003,0.4260147132402586,0.4170992884694794,0.01097516504923507,0.01783084954155828,False,True,retrospective_historical
EXP-H037,SVR_HIC_ALONE_ESM2_GLOBAL_SVR,LINEAR,,,,CLASSICAL_FEATURE_REFINEMENT; no ensemble; CV-selected then postcomp evaluated | prior_reproduction_status=PASS,0.4610648929426544,0.4689388916562481,0.4650018922994512,0.4675292299081999,0.454961261581923,0.4612452457450615,0.007873998713593677,0.01256796832627688,False,False,retrospective_historical
EXP-H103,TRF_HIC_SCRATCH_ARCH2_SURFACE_PLUS_HSP_BM_R5_PROMOTED_V3,TRANSFORMER,,,,Scratch + SURFACE + P1 BM-R5,0.4409347164483718,0.4892801464693046,0.4651074314588382,0.4018727199413157,0.4132900501769266,0.4075813850591212,0.048345430020932834,0.011417330235610923,False,True,retrospective_historical
EXP-H102,TRF_HIC_SCRATCH_ARCH2_HSP_BM_R5_PROMOTED_V3,TRANSFORMER,,,,Scratch + P1 BM-R5 HSP alone,0.4776913112593286,0.4615745178505226,0.4696329145549256,0.4755986840518904,0.4266101140151789,0.4511043990335346,0.016116793408806007,0.048988570036711476,False,True,retrospective_historical
EXP-H089,TRF_HIC_ESM2_ARCH4_F4_LATEFUSION_V3,TRANSFORMER,,,,EXP-H061 + F4 late fusion,0.4717065153710635,0.4678119069794076,0.4697592111752356,0.4018183804735727,0.4391924267992561,0.4205054036364143,0.003894608391655896,0.03737404632568336,False,False,retrospective_historical
EXP-H090,TRF_HIC_SCRATCH_ARCH2_F1_LATEFUSION_V3,TRANSFORMER,,,,EXP-H071 + F1 late fusion,0.4575707557113082,0.4854537234836154,0.4715122395974618,0.405876104849356,0.4128748083232361,0.4093754565862961,0.0278829677723072,0.006998703473880097,False,True,retrospective_historical
EXP-H139,TRF_HIC_ESM2_GLOBAL_F1_TOKEN_ATTN_V3,TRANSFORMER,,,,H061 + global F1_SURFACE 2-token attention,0.4798935166818124,0.4662688719667033,0.4730811943242579,0.4102734368406697,0.4162414627075194,0.4132574497740945,0.013624644715109102,0.005968025866849691,False,True,retrospective_historical
EXP-H105,TRF_HIC_SCRATCH_ARCH2_SURFACE_PLUS_HSP_FP_R5_PROMOTED_V3,TRANSFORMER,,,,Scratch + SURFACE + P2 FP-R5,0.461215431307569,0.4854651138399854,0.4733402725737772,0.40358410230095,0.4143752454592858,0.4089796738801179,0.02424968253241644,0.010791143158335792,False,True,retrospective_historical
EXP-H136,TRF_HIC_SCRATCH_GLOBAL_F1_TOKEN_ATTN_V3,TRANSFORMER,,,,H071 + global F1_SURFACE 2-token attention,0.4773227519282587,0.4704219815289531,0.4738723667286059,0.4095449833811065,0.4267773755862388,0.4181611794836726,0.006900770399305589,0.017232392205132285,False,True,retrospective_historical
EXP-H100,TRF_HIC_ESM2_ARCH4_SURFACE_STATIC_SAP_KD_CHAIN9_V3,TRANSFORMER,,,,H061 ESM2 ARCH-4 + SURFACE + STATIC_SAP_KD SAP9 late fusion,0.474673456168469,0.4740126054551865,0.4743430308118278,0.4133675702883873,0.4049711693657768,0.409169369827082,0.0006608507132825348,0.008396400922610459,False,True,retrospective_historical
EXP-H106,TRF_HIC_SCRATCH_ARCH2_HSP_EIS_R8_PROMOTED_V3,TRANSFORMER,,,,Scratch + P3 EIS-R8 HSP alone,0.4724984294750072,0.4808270004178271,0.4766627149464172,0.4895328620628074,0.446706404886128,0.4681196334744678,0.008328570942819913,0.04282645717667938,False,True,retrospective_historical
EXP-H113,TRF_HIC_ESM2_ARCH4_SURFACE_PLUS_HSP_EIS_R8_PROMOTED_V3,TRANSFORMER,,,,ESM2 + SURFACE + P3 EIS-R8,0.4618328562136048,0.4933696299423405,0.4776012430779727,0.3903584432719666,0.4049454879760742,0.3976519656240205,0.0315367737287357,0.014587044704107599,False,True,retrospective_historical
EXP-H101,TRF_HIC_ESM2_ARCH4_F4_STATIC_SAP_KD_CHAIN9_V3,TRANSFORMER,,,,H061 ESM2 ARCH-4 + F4 + STATIC_SAP_KD SAP9 late fusion,0.4682044706462341,0.4897544041386357,0.478979437392435,0.4162709730171863,0.4265437850952148,0.4214073790562005,0.021549933492401585,0.010272812078028493,False,True,retrospective_historical
EXP-H112,TRF_HIC_ESM2_ARCH4_HSP_EIS_R8_PROMOTED_V3,TRANSFORMER,,,,ESM2 + P3 EIS-R8 HSP alone,0.4846343316914123,0.4748153643196011,0.4797248480055067,0.4619587820547599,0.4375726433271242,0.449765712690942,0.009818967371811205,0.024386138727635676,False,True,retrospective_historical
EXP-H096,TRF_HIC_SCRATCH_ARCH2_SURFACE_STATIC_SAP_KD_CHAIN9_V3,TRANSFORMER,,,,H071 Scratch + SURFACE + STATIC_SAP_KD SAP9 late fusion,0.4806062555195372,0.4807050141228569,0.480655634821197,0.4162601349442094,0.4232820136929734,0.4197710743185915,9.87586033197041e-05,0.007021878748764032,False,True,retrospective_historical
