experiment_code,representation,topology,annotation,representation_context,cv_primary_mae,cv_shadow_mae,cv_mean_mae,cv_worst_mae,abs_PS,public_mae,private_mae,test_overall_mae,public_private_delta,public_private_gap,test_minus_cv_mean,high_n_high,high_mae_high,high_mean_signed_error,high_obs_min,high_obs_max,high_pred_min,high_pred_max,provenance,internal_rank,external_rank,rank_change
EXP-H253,esm1b,XREG,IMGT,SEPARATE_CHAIN,0.5516201992741337,0.516404958701428,0.5340125789877809,0.5516201992741337,0.0352152405727057,0.496884435583044,0.486255776864511,0.4915701062237774,0.010628658718533024,0.010628658718533024,-0.04244247276400348,7,2.9745389840262275,-2.9745389840262275,11.643,13.856,9.141739463806152,9.708393859863282,prospective_relative_to_factorial_freeze,103.0,162.0,59.0
EXP-H254,esm1b,XREG,REGION,SEPARATE_CHAIN,0.5188682080963511,0.5371255597244075,0.5279968839103792,0.5371255597244075,0.0182573516280563,0.48965335148940853,0.4990957664207175,0.494374558955063,-0.009442414931308984,0.009442414931308984,-0.03362232495531625,7,2.918916937691825,-2.918916937691825,11.643,13.856,9.169779205322266,9.93328399658203,prospective_relative_to_factorial_freeze,75.0,174.0,99.0
EXP-H255,esm1b,XREG,FULL,SEPARATE_CHAIN,0.5294107244044175,0.534069514333466,0.5317401193689417,0.534069514333466,0.0046587899290484,0.49899252121536813,0.47183762604513296,0.48541507363025055,0.02715489517023517,0.02715489517023517,-0.04632504573869117,7,3.0664925340924936,-3.0664925340924936,11.643,13.856,9.084990882873536,9.401187896728516,prospective_relative_to_factorial_freeze,90.0,136.0,46.0
EXP-H256,esm1b,FUSE,BASE,SEPARATE_CHAIN,0.5224568892584908,0.514878712595245,0.5186678009268679,0.5224568892584908,0.0075781766632457,0.4966016157173816,0.4662272839016385,0.48141444980951004,0.030374331815743116,0.030374331815743116,-0.03725335111735789,7,3.0826420004708432,-3.0826420004708432,11.643,13.856,9.130767250061036,9.678937721252442,prospective_relative_to_factorial_freeze,37.0,103.0,66.0
EXP-H257,esm1b,FUSE,IMGT,SEPARATE_CHAIN,0.5550608107013466,0.5078180912159107,0.5314394509586287,0.5550608107013466,0.0472427194854359,0.4966266488911194,0.45745918754295095,0.4770429182170351,0.03916746134816845,0.03916746134816845,-0.05439653274159356,7,2.984342783246722,-2.984342783246722,11.643,13.856,9.093818855285644,9.693395805358886,prospective_relative_to_factorial_freeze,87.0,78.0,-9.0
EXP-H258,esm1b,FUSE,REGION,SEPARATE_CHAIN,0.5118253545407896,0.5397959510426462,0.5258106527917179,0.5397959510426462,0.0279705965018566,0.48243284955436805,0.4695060501098633,0.4759694498321157,0.012926799444504755,0.012926799444504755,-0.049841202959602204,7,2.9093811209542406,-2.9093811209542406,11.643,13.856,9.116320610046388,9.691133880615237,prospective_relative_to_factorial_freeze,66.0,71.0,5.0
EXP-H259,esm1b,FUSE,FULL,SEPARATE_CHAIN,0.541543768423575,0.5461270392618062,0.5438354038426906,0.5461270392618062,0.0045832708382311,0.4964337888176059,0.46473995905746635,0.4805868739375362,0.03169382976013957,0.03169382976013957,-0.0632485299051544,7,2.9869087393624447,-2.9869087393624447,11.643,13.856,9.211523818969727,9.62074394226074,prospective_relative_to_factorial_freeze,157.0,97.0,-60.0
EXP-H260,esm2,SEP,BASE,SEPARATE_CHAIN,0.5256212784566997,0.5152693622730397,0.5204453203648697,0.5256212784566997,0.01035191618366,0.4888471091941552,0.45969395842375577,0.47427053380895545,0.029153150770399427,0.029153150770399427,-0.04617478655591423,7,3.020841861179897,-3.020841861179897,11.643,13.856,9.173619079589844,9.496676826477051,prospective_relative_to_factorial_freeze,42.0,63.0,21.0
EXP-H261,esm2,SEP,IMGT,SEPARATE_CHAIN,0.5658397953363112,0.51756657447344,0.5417031849048757,0.5658397953363112,0.0482732208628712,0.5138321740421249,0.4784443324524676,0.49613825324729627,0.0353878415896573,0.0353878415896573,-0.04556493165757941,7,2.9758084880283895,-2.9758084880283895,11.643,13.856,9.158861923217774,9.64247703552246,prospective_relative_to_factorial_freeze,148.0,184.0,36.0
EXP-H262,esm2,SEP,REGION,SEPARATE_CHAIN,0.4993597003324532,0.5214865460807895,0.5104231232066214,0.5214865460807895,0.0221268457483362,0.47744298317991674,0.47140186931468836,0.47442242624730246,0.006041113865228376,0.006041113865228376,-0.036000696959318956,7,2.94648046875,-2.94648046875,11.643,13.856,9.074447059631348,9.817206573486327,prospective_relative_to_factorial_freeze,19.0,64.0,45.0
EXP-H263,esm2,SEP,FULL,SEPARATE_CHAIN,0.5154787663589289,0.519656977429802,0.5175678718943655,0.519656977429802,0.0041782110708731,0.48520382445535526,0.45914490339491104,0.4721743639251331,0.026058921060444218,0.026058921060444218,-0.04539350796923236,7,2.960602369035993,-2.960602369035993,11.643,13.856,9.11663818359375,9.55837860107422,prospective_relative_to_factorial_freeze,32.0,50.0,18.0
EXP-H264,esm2,JOINT,BASE,SEPARATE_CHAIN,0.5315724886670525,0.5441943298151464,0.5378834092410995,0.5441943298151464,0.0126218411480938,0.48710090147418766,0.45571805167492524,0.4714094765745565,0.031382849799262424,0.031382849799262424,-0.06647393266654295,7,2.911215309143066,-2.911215309143066,11.643,13.856,9.175617218017578,9.660590171813965,prospective_relative_to_factorial_freeze,129.0,47.0,-82.0
EXP-H265,esm2,JOINT,IMGT,SEPARATE_CHAIN,0.5200151574405623,0.486946645854432,0.5034809016474971,0.5200151574405623,0.0330685115861302,0.47660338309959116,0.4553676949960215,0.4659855390478064,0.021235688103569683,0.021235688103569683,-0.037495362599690774,7,2.9474860229492186,-2.9474860229492186,11.643,13.856,9.068728828430176,9.736968421936036,prospective_relative_to_factorial_freeze,5.0,25.0,20.0
EXP-H266,esm2,JOINT,REGION,SEPARATE_CHAIN,0.4872318209424431,0.5018144907539274,0.4945231558481852,0.5018144907539274,0.0145826698114842,0.46966020372178824,0.46239318254258904,0.4660266931321886,0.007267021179199196,0.007267021179199196,-0.028496462715996596,7,2.8252709971836643,-2.8252709971836643,11.643,13.856,9.211765480041503,9.955928993225095,prospective_relative_to_factorial_freeze,1.0,26.0,25.0
EXP-H267,esm2,JOINT,FULL,SEPARATE_CHAIN,0.5333507351345486,0.5143243510870285,0.5238375431107885,0.5333507351345486,0.0190263840475201,0.47298808034261064,0.4629162805816271,0.4679521804621189,0.010071799760983546,0.010071799760983546,-0.055885362648669556,7,2.871896270751953,-2.871896270751953,11.643,13.856,9.195743560791016,9.80540351867676,prospective_relative_to_factorial_freeze,55.0,35.0,-20.0
EXP-H268,esm2,REG-SEP,BASE,SEPARATE_CHAIN,0.5189972279866537,0.5104604469581887,0.5147288374724213,0.5189972279866537,0.008536781028465,0.4724612968350634,0.47377339718665584,0.4731173470108595,-0.00131210035159246,0.00131210035159246,-0.04161149046156176,7,2.987469554356166,-2.987469554356166,11.643,13.856,9.155320358276366,9.693523979187011,prospective_relative_to_factorial_freeze,28.0,53.0,25.0
EXP-H269,esm2,REG-SEP,IMGT,SEPARATE_CHAIN,0.5219366237970046,0.5323866049213174,0.527161614359161,0.5323866049213174,0.0104499811243128,0.49340966024516547,0.4742184747766565,0.48381406751091094,0.019191185468508953,0.019191185468508953,-0.04334754684825004,7,3.1179733450753346,-3.1179733450753346,11.643,13.856,9.073875617980956,9.46941967010498,prospective_relative_to_factorial_freeze,71.0,126.0,55.0
EXP-H270,esm2,REG-SEP,REGION,SEPARATE_CHAIN,0.5762421809066961,0.5043415497202932,0.5402918653134947,0.5762421809066961,0.0719006311864028,0.5204757455896449,0.4729670376247828,0.49672139160721385,0.04750870796486212,0.04750870796486212,-0.043570473706280866,7,2.8255904235839844,-2.8255904235839844,11.643,13.856,9.170646858215331,9.772583198547364,prospective_relative_to_factorial_freeze,142.0,186.0,44.0
