representation,contrast,arm_a,arm_b,metric,scope,value_a,value_b,delta
ablang1,FULL_vs_SHAM,FULL35,SHAM35,public,external,0.37234936297381377,0.4657212313428338,-0.09337186836902
ablang1,FULL_vs_SHAM,FULL35,SHAM35,private,external,0.40795626275333363,0.4704142726380147,-0.06245800988468109
ablang1,FULL_vs_SHAM,FULL35,SHAM35,test,external,0.3901528128635737,0.4680677519904243,-0.0779149391268506
ablang1,FULL_vs_ARO,FULL35,ARO_ONLY35,cv_primary,internal,0.4756654593856246,0.5469314383518549,-0.07126597896623027
ablang1,FULL_vs_ARO,FULL35,ARO_ONLY35,cv_shadow,internal,0.5166966467492374,0.503261871855936,0.013434774893301471
ablang1,FULL_vs_ARO,FULL35,ARO_ONLY35,cv_mean,internal,0.496181053067431,0.5250966551038954,-0.028915602036464372
ablang1,FULL_vs_ARO,FULL35,ARO_ONLY35,public,external,0.37234936297381377,0.44251762738639927,-0.0701682644125855
ablang1,FULL_vs_ARO,FULL35,ARO_ONLY35,private,external,0.40795626275333363,0.44782476929087717,-0.039868506537543535
ablang1,FULL_vs_ARO,FULL35,ARO_ONLY35,test,external,0.3901528128635737,0.4451711983386382,-0.055018385475064546
ablang1,FULL_vs_HYDRO,FULL35,HYDRO_ONLY35,cv_primary,internal,0.4756654593856246,0.5079083423849977,-0.03224288299937311
ablang1,FULL_vs_HYDRO,FULL35,HYDRO_ONLY35,cv_shadow,internal,0.5166966467492374,0.4903136303748613,0.026383016374376123
ablang1,FULL_vs_HYDRO,FULL35,HYDRO_ONLY35,cv_mean,internal,0.496181053067431,0.4991109863799295,-0.0029299333124985227
ablang1,FULL_vs_HYDRO,FULL35,HYDRO_ONLY35,public,external,0.37234936297381377,0.40916890914351833,-0.036819546169704565
ablang1,FULL_vs_HYDRO,FULL35,HYDRO_ONLY35,private,external,0.40795626275333363,0.43818777494077316,-0.030231512187439524
ablang1,FULL_vs_HYDRO,FULL35,HYDRO_ONLY35,test,external,0.3901528128635737,0.4236783420421458,-0.0335255291785721
ablingua,ARO_vs_SHAM,ARO_ONLY35,SHAM35,cv_primary,internal,0.47571155204301996,0.49513655302259657,-0.019425000979576612
ablingua,ARO_vs_SHAM,ARO_ONLY35,SHAM35,cv_shadow,internal,0.503078109976686,0.5327797420642995,-0.02970163208761345
ablingua,ARO_vs_SHAM,ARO_ONLY35,SHAM35,cv_mean,internal,0.489394831009853,0.513958147543448,-0.02456331653359506
ablingua,ARO_vs_SHAM,ARO_ONLY35,SHAM35,public,external,0.392706697723012,0.44583160871340877,-0.05312491099039679
ablingua,ARO_vs_SHAM,ARO_ONLY35,SHAM35,private,external,0.44232592311906205,0.48076274937759206,-0.03843682625853001
ablingua,ARO_vs_SHAM,ARO_ONLY35,SHAM35,test,external,0.41751631042103693,0.4632971790455004,-0.045780868624463456
ablingua,HYDRO_vs_SHAM,HYDRO_ONLY35,SHAM35,cv_primary,internal,0.48438186800921407,0.49513655302259657,-0.010754685013382503
ablingua,HYDRO_vs_SHAM,HYDRO_ONLY35,SHAM35,cv_shadow,internal,0.47873442925347226,0.5327797420642995,-0.054045312810827195
ablingua,HYDRO_vs_SHAM,HYDRO_ONLY35,SHAM35,cv_mean,internal,0.48155814863134316,0.513958147543448,-0.03239999891210488
ablingua,HYDRO_vs_SHAM,HYDRO_ONLY35,SHAM35,public,external,0.4152649912893036,0.44583160871340877,-0.030566617424105158
ablingua,HYDRO_vs_SHAM,HYDRO_ONLY35,SHAM35,private,external,0.43990078697675544,0.48076274937759206,-0.040861962400836616
ablingua,HYDRO_vs_SHAM,HYDRO_ONLY35,SHAM35,test,external,0.42758288913302944,0.4632971790455004,-0.03571428991247094
ablingua,FULL_vs_SHAM,FULL35,SHAM35,cv_primary,internal,0.47927375840552056,0.49513655302259657,-0.015862794617076015
ablingua,FULL_vs_SHAM,FULL35,SHAM35,cv_shadow,internal,0.4697127017268428,0.5327797420642995,-0.06306704033745664
ablingua,FULL_vs_SHAM,FULL35,SHAM35,cv_mean,internal,0.4744932300661817,0.513958147543448,-0.039464917477266326
ablingua,FULL_vs_SHAM,FULL35,SHAM35,public,external,0.3764778889785578,0.44583160871340877,-0.069353719734851
ablingua,FULL_vs_SHAM,FULL35,SHAM35,private,external,0.42976332883481627,0.48076274937759206,-0.050999420542775786
ablingua,FULL_vs_SHAM,FULL35,SHAM35,test,external,0.403120608906687,0.4632971790455004,-0.06017657013881339
ablingua,FULL_vs_ARO,FULL35,ARO_ONLY35,cv_primary,internal,0.47927375840552056,0.47571155204301996,0.0035622063625005973
ablingua,FULL_vs_ARO,FULL35,ARO_ONLY35,cv_shadow,internal,0.4697127017268428,0.503078109976686,-0.03336540824984319
ablingua,FULL_vs_ARO,FULL35,ARO_ONLY35,cv_mean,internal,0.4744932300661817,0.489394831009853,-0.014901600943671267
ablingua,FULL_vs_ARO,FULL35,ARO_ONLY35,public,external,0.3764778889785578,0.392706697723012,-0.016228808744454204
ablingua,FULL_vs_ARO,FULL35,ARO_ONLY35,private,external,0.42976332883481627,0.44232592311906205,-0.012562594284245776
ablingua,FULL_vs_ARO,FULL35,ARO_ONLY35,test,external,0.403120608906687,0.41751631042103693,-0.014395701514349935
ablingua,FULL_vs_HYDRO,FULL35,HYDRO_ONLY35,cv_primary,internal,0.47927375840552056,0.48438186800921407,-0.005108109603693511
ablingua,FULL_vs_HYDRO,FULL35,HYDRO_ONLY35,cv_shadow,internal,0.4697127017268428,0.47873442925347226,-0.009021727526629442
ablingua,FULL_vs_HYDRO,FULL35,HYDRO_ONLY35,cv_mean,internal,0.4744932300661817,0.48155814863134316,-0.007064918565161449
ablingua,FULL_vs_HYDRO,FULL35,HYDRO_ONLY35,public,external,0.3764778889785578,0.4152649912893036,-0.038787102310745836
ablingua,FULL_vs_HYDRO,FULL35,HYDRO_ONLY35,private,external,0.42976332883481627,0.43990078697675544,-0.01013745814193917
ablingua,FULL_vs_HYDRO,FULL35,HYDRO_ONLY35,test,external,0.403120608906687,0.42758288913302944,-0.024462280226342448
