kind,representation,annotation,topology,scheme,delta_mae,ci95_lo,ci95_hi,code_x,code_a,code_base,family
topology_gain_vs_A,ablang2_paired,REGION,D,primary,-0.01504194000620901,-0.21499483026104207,0.1829292203173225,EXP-T206,EXP-T202,,
topology_gain_vs_A,ablang2_paired,REGION,D,shadow,-0.045219327196662766,-0.36831561135657037,0.2773553983664805,EXP-T206,EXP-T202,,
topology_gain_vs_A,ablang2_paired,FULL,B1,primary,-0.20786516166027685,-0.4221863840833122,0.005467280635127281,EXP-T113,EXP-T110,,
topology_gain_vs_A,ablang2_paired,FULL,B1,shadow,0.0027810320442105516,-0.21731968985663522,0.23265072916760854,EXP-T113,EXP-T110,,
topology_gain_vs_A,ablang2_paired,FULL,B2,primary,0.03782941088264367,-0.16210904298005285,0.23157339979101105,EXP-T115,EXP-T110,,
topology_gain_vs_A,ablang2_paired,FULL,B2,shadow,0.03155972045144917,-0.19481711976322127,0.24615020222134062,EXP-T115,EXP-T110,,
topology_gain_vs_A,ablang2_paired,FULL,C,primary,-0.17969913247190875,-0.41238137704354744,0.04557009979530617,EXP-T121,EXP-T110,,
topology_gain_vs_A,ablang2_paired,FULL,C,shadow,-0.02820471775384597,-0.23924861130891023,0.1775188775710117,EXP-T121,EXP-T110,,
topology_gain_vs_A,ablang2_paired,FULL,D,primary,0.020384282241632908,-0.2409972385123924,0.26909368774037296,EXP-T149,EXP-T110,,
topology_gain_vs_A,ablang2_paired,FULL,D,shadow,0.09125728371702595,-0.12525051199359657,0.3041649883176073,EXP-T149,EXP-T110,,
topology_gain_vs_A,ablang2_unpaired,BASE,B1,primary,0.05455725870014704,-0.1638005804132532,0.2511604185457581,EXP-T213,EXP-T212,,
topology_gain_vs_A,ablang2_unpaired,BASE,B1,shadow,0.20972861772702064,-0.0919899387124144,0.4988543781233422,EXP-T213,EXP-T212,,
topology_gain_vs_A,ablang2_unpaired,BASE,B2,primary,-0.08175167036645206,-0.3068251215381387,0.1500189528053189,EXP-T214,EXP-T212,,
