kind,family,annotation,topology,scheme,contrast,ci95_lo,ci95_hi,note
pairing_x_annotation,ablang2,REGION,C,shadow,0.049601590191876446,-0.29436555320833935,0.3876970179287002,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,ablang2,REGION,D,primary,0.271036100976261,-0.09241765634513205,0.6202205375388811,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,ablang2,REGION,D,shadow,0.04089962994610826,-0.25423139289573377,0.3385496416209655,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,ablang2,FULL,A,primary,-0.021497726440429688,-0.34143433570861825,0.319062935275796,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,ablang2,FULL,A,shadow,-0.1673037211100261,-0.5404356991803204,0.2033518432099141,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,ablang2,FULL,B1,primary,-0.27985407982343524,-0.598498582251278,0.01549531206672549,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,ablang2,FULL,B1,shadow,0.09046241383493682,-0.21519376201394164,0.43203877048727896,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,ablang2,FULL,B2,primary,0.12473546722788866,-0.22332332399156363,0.48016713931236726,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,ablang2,FULL,B2,shadow,-0.05088897987648293,-0.3973170816162486,0.29941175131150183,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,ablang2,FULL,C,primary,0.0876961225344811,-0.2897840170212732,0.44264219072129957,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,ablang2,FULL,C,shadow,0.17816392875012058,-0.11329713868506161,0.48055383128884377,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,ablang2,FULL,D,primary,0.4192850795792944,0.03807449223082742,0.8248378747775224,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,ablang2,FULL,D,shadow,0.09064398871527778,-0.2442107135866895,0.42249423015264803,annotation_gain_paired - annotation_gain_unpaired
pairing_x_topology,currab,BASE,B1,primary,0.2834950670783902,0.019930866618215304,0.5336099130135994,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,currab,BASE,B1,shadow,0.3009314595917124,0.006564814367412008,0.5896427354694883,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,currab,BASE,B2,primary,-0.006861792670355903,-0.3468015600133825,0.3243424392040863,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,currab,BASE,B2,shadow,0.06488510414406105,-0.184534630952058,0.31574711152064927,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,currab,BASE,C,primary,0.1062581333113305,-0.14423262219370148,0.3540261221520692,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,currab,BASE,C,shadow,0.2167717733500916,-0.0341485223652404,0.47826693440661,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,currab,BASE,D,primary,-0.06972812134542583,-0.3426999816188106,0.1901063342153289,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,currab,BASE,D,shadow,0.03439785521707413,-0.2192156326623611,0.29373649432335364,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,currab,IMGT,B1,primary,-0.01188784469792868,-0.22718291047178665,0.20225877702971995,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,currab,IMGT,B1,shadow,-0.09126293512038239,-0.3347122039323971,0.14587234332237706,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,currab,IMGT,B2,primary,0.03740574401101953,-0.18156199749605148,0.2600781211146602,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,currab,IMGT,B2,shadow,-0.1715996353714554,-0.4248053362340103,0.08389526119938594,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,currab,IMGT,C,primary,0.012110509990174137,-0.19391343328687868,0.22902256765483334,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,currab,IMGT,C,shadow,-0.10036583888677894,-0.36593518080534754,0.15030753936296593,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,currab,IMGT,D,primary,0.015959892743899497,-0.17267620121991192,0.21373510007505048,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,currab,IMGT,D,shadow,-0.30132576271339695,-0.5760050455729167,-0.041109063890245934,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,currab,REGION,B1,primary,-0.04641737761320891,-0.31675845487618154,0.22588383003517368,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,currab,REGION,B1,shadow,-0.21040567939664112,-0.5102210645322448,0.08675396942797983,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,currab,REGION,B2,primary,-0.16168679131401908,-0.39109579015661167,0.06961678869930278,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,currab,REGION,B2,shadow,-0.09641800397708088,-0.3015683739273635,0.1003128663993174,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,currab,REGION,C,primary,0.10071340019320268,-0.193979251531907,0.4045699078359722,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,currab,REGION,C,shadow,0.1615040390579789,-0.12985076139002666,0.46634820302327473,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,currab,REGION,D,primary,0.15349771947036556,-0.14726229184939538,0.46663342699592497,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,currab,REGION,D,shadow,-0.31961584679874366,-0.6226244690977496,-0.03137061036663306,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,currab,FULL,B1,primary,0.010506053029755059,-0.23513230688777967,0.25817784380029746,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,currab,FULL,B1,shadow,-0.08809416971088924,-0.31583101425641846,0.15929425498585617,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,currab,FULL,B2,primary,0.13147361190230758,-0.0835030655802032,0.34653259030094846,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,currab,FULL,B2,shadow,0.09666668927228009,-0.15872039088496456,0.36075782187191036,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,currab,FULL,C,primary,0.021078816166630498,-0.1974073745586254,0.24561197198467485,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,currab,FULL,C,shadow,-0.17700122315206646,-0.47150695235640916,0.11049772721749748,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,currab,FULL,D,primary,-0.16066214479046104,-0.4204267054428289,0.10178611425705895,topology_gain_paired - topology_gain_unpaired
pairing_x_topology,currab,FULL,D,shadow,0.2267773239700882,-0.0522284030914307,0.4927285453419623,topology_gain_paired - topology_gain_unpaired
pairing_x_annotation,currab,IMGT,A,primary,-0.010138099576220144,-0.2902268468597789,0.2533978886074487,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,currab,IMGT,A,shadow,0.2928340346724898,0.03989628568107691,0.5616422706180149,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,currab,IMGT,B1,primary,-0.305521011352539,-0.5353293748549472,-0.08938894683932079,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,currab,IMGT,B1,shadow,-0.099360360039605,-0.3749801376719534,0.180595874786377,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,currab,IMGT,B2,primary,0.034129437105155286,-0.23388410556463546,0.3030100563426076,annotation_gain_paired - annotation_gain_unpaired
pairing_x_annotation,currab,IMGT,B2,shadow,0.05634929515697338,-0.20466570795318226,0.3189597565450785,annotation_gain_paired - annotation_gain_unpaired
