topology,annotation,rep1,rep2,scheme,did,ci95_lo,ci95_hi,note
A,IMGT,ablang2_unpaired,esm1b,primary,0.19215270619333522,-0.13901479509141712,0.5165482827174808,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablang2_unpaired,esm1b,shadow,-0.1930690812475888,-0.5541303534566621,0.15819631329289163,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablang2_unpaired,esm2,primary,0.14157985169210546,-0.2353603810439875,0.5318282198022906,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablang2_unpaired,esm2,shadow,-0.3570195657235605,-0.7593751677760371,0.002515884681984094,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablang2_unpaired,esmc600m,primary,-0.17209740626959158,-0.5173230394904996,0.15777336285438018,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablang2_unpaired,esmc600m,shadow,0.022437860936294324,-0.3165379806801125,0.37548073015095274,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablang2_unpaired,currab_paired,primary,-0.0071101953953872496,-0.32671496308880094,0.2838917467329237,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablang2_unpaired,currab_paired,shadow,-0.16278890915858898,-0.5063718065803433,0.18774354605027163,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablang2_unpaired,currab_unpaired,primary,-0.017248294971607393,-0.33475458533675584,0.2835733702153334,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablang2_unpaired,currab_unpaired,shadow,0.13004512551390085,-0.2509849100937079,0.5414162571047555,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablang1,esm1b,primary,0.26561711158281487,-0.09737972330164026,0.622481917157585,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablang1,esm1b,shadow,-0.29635511798623165,-0.5881675802631143,-0.019655619138553657,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablang1,esm2,primary,0.21504425708158512,-0.18945402157159505,0.6043110288219686,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablang1,esm2,shadow,-0.4603056024622034,-0.8285073398072043,-0.09813917595663219,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablang1,esmc600m,primary,-0.09863300088011193,-0.3965681564660721,0.19999628714573212,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablang1,esmc600m,shadow,-0.08084817580234857,-0.4001556584864487,0.24648466934392466,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablang1,currab_paired,primary,0.0663542099940924,-0.21123193163930618,0.3273963710408152,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablang1,currab_paired,shadow,-0.26607494589723185,-0.5275621272899486,-0.017568510550039884,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablang1,currab_unpaired,primary,0.05621611041787226,-0.24685537667922058,0.36687036325902117,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablang1,currab_unpaired,shadow,0.026759088775257962,-0.2384582843309568,0.2770853219208894,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,esm1b,esm2,primary,-0.050572854501229746,-0.40384351000373747,0.2939159475726844,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,esm1b,esm2,shadow,-0.1639504844759717,-0.4987958513660194,0.14041158534862377,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,esm1b,esmc600m,primary,-0.36425011246292677,-0.707435225263054,-0.006786076816512052,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,esm1b,esmc600m,shadow,0.2155069421838831,-0.15089529944054875,0.5803735903751702,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,esm1b,currab_paired,primary,-0.19926290158872248,-0.5202134515032355,0.12801697577959234,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,esm1b,currab_paired,shadow,0.03028017208899981,-0.2570204781897274,0.31459881229165154,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,esm1b,currab_unpaired,primary,-0.20940100116494262,-0.4848601082224905,0.0667631202273896,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,esm1b,currab_unpaired,shadow,0.3231142067614896,0.03563187681598424,0.6192176789413264,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,esm2,esmc600m,primary,-0.31367725796169704,-0.6777118017644057,0.0710375579786889,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,esm2,esmc600m,shadow,0.3794574266598548,-0.045098357730441616,0.8338910297111225,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,esm2,currab_paired,primary,-0.14869004708749273,-0.4975876307781832,0.20518573360678588,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,esm2,currab_paired,shadow,0.19423065656497152,-0.17305020285241404,0.5544896437798014,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,esm2,currab_unpaired,primary,-0.15882814666371287,-0.49552007251315644,0.17298432750466403,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,esm2,currab_unpaired,shadow,0.4870646912374613,0.1737044587547396,0.8264588638588232,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,esmc600m,currab_paired,primary,0.16498721087420432,-0.15558789571126294,0.46449253294203013,DiD=annot_gain(r1)-annot_gain(r2)
