experiment_code,scheme,fold,seed,initial_lr,eta_min,epoch,optimizer_step,train_loss,val_loss,val_mae,learning_rate,best_val_mae_so_far,best_epoch_so_far,epochs_since_improvement,is_best,stopped_early,numerical_failure
EXP-T085,primary,0,101,1e-05,1.0000000000000001e-07,18,126,0.49601727936949047,0.5020272930463155,3.340349139589252,9.824559221366101e-06,3.3403294881184897,17,1,False,False,False
EXP-T085,primary,0,101,1e-05,1.0000000000000001e-07,19,133,0.47875965386629105,0.5046632488568624,3.340584726044626,9.803453744100868e-06,3.3403294881184897,17,2,False,False,False
EXP-T085,primary,0,101,1e-05,1.0000000000000001e-07,20,140,0.46666282455303837,0.5041463772455851,3.339397314823035,9.781175423251734e-06,3.339397314823035,20,0,True,False,False
EXP-T085,primary,0,101,1e-05,1.0000000000000001e-07,21,147,0.49770853349140715,0.5043081243832906,3.3385409730853457,9.757729755661012e-06,3.3385409730853457,21,0,True,False,False
EXP-T085,primary,0,101,1e-05,1.0000000000000001e-07,22,154,0.6026007405349186,0.5028923352559408,3.336904121167732,9.73312252619635e-06,3.336904121167732,22,0,True,False,False
EXP-T085,primary,0,101,1e-05,1.0000000000000001e-07,23,161,0.6063470755304609,0.5041215618451437,3.336598020611387,9.707359806323418e-06,3.336598020611387,23,0,True,False,False
EXP-T085,primary,0,101,1e-05,1.0000000000000001e-07,24,168,0.44931279927758233,0.5049539605776469,3.3360137939453125,9.680447952607845e-06,3.3360137939453125,24,0,True,False,False
EXP-T085,primary,0,101,1e-05,1.0000000000000001e-07,25,175,0.47455315185444696,0.5075521667798361,3.3362137765595405,9.652393605146845e-06,3.3360137939453125,24,1,False,False,False
EXP-T085,primary,0,101,1e-05,1.0000000000000001e-07,26,182,0.48244033062032293,0.5084928174813589,3.3357534697561553,9.62320368593087e-06,3.3357534697561553,26,0,True,False,False
EXP-T085,primary,0,101,1e-05,1.0000000000000001e-07,27,189,0.5428836260523114,0.5094930330912272,3.335233283765388,9.592885397135707e-06,3.335233283765388,27,0,True,False,False
EXP-T085,primary,0,101,1e-05,1.0000000000000001e-07,28,196,0.47337096907618353,0.5102701087792715,3.3346305615974194,9.561446219345455e-06,3.3346305615974194,28,0,True,False,False
EXP-T085,primary,0,101,1e-05,1.0000000000000001e-07,29,203,0.5077349543571472,0.5101429124673208,3.333603136467211,9.528893909706798e-06,3.333603136467211,29,0,True,False,False
EXP-T085,primary,0,101,1e-05,1.0000000000000001e-07,30,210,0.54996771471841,0.5095828076203665,3.332329952355587,9.495236500015048e-06,3.332329952355587,30,0,True,False,False
EXP-T085,primary,0,101,1e-05,1.0000000000000001e-07,31,217,0.6088026676859174,0.5088414947191874,3.331177451393821,9.460482294732422e-06,3.331177451393821,31,0,True,False,False
EXP-T085,primary,0,101,1e-05,1.0000000000000001e-07,32,224,0.5999598290239062,0.5106117924054464,3.3311799945253315,9.424639868939035e-06,3.331177451393821,31,1,False,False,False
EXP-T085,primary,0,101,1e-05,1.0000000000000001e-07,33,231,0.5239725879260472,0.5097351769606272,3.3296723799272017,9.387718066217125e-06,3.3296723799272017,33,0,True,False,False
EXP-T085,primary,0,101,1e-05,1.0000000000000001e-07,34,238,0.5533513852528164,0.5108182430267334,3.329004229921283,9.349725996469047e-06,3.329004229921283,34,0,True,False,False
