code,scheme,fold,split,block,feature,mae_normal,delta_mae_mean,delta_mae_sd,delta_mae_q025,delta_mae_q975,n_perm
EXP-H104,shadow,0,TEST_OOF,HSP_FEATURE,HSP_MAX,0.5112295536994933,-0.022602264444827967,0.021234250020137433,-0.06409516718983642,0.012357252418994907,100
EXP-H104,shadow,0,TEST_OOF,HSP_FEATURE,HSP_MEAN,0.5112295536994933,-0.020599348604679112,0.0070718453251016325,-0.03441004157066345,-0.00863340535759928,100
EXP-H104,shadow,0,TEST_OOF,HSP_FEATURE,HSP_SUM,0.5112295536994933,-0.007162604722976664,0.02769306834219175,-0.053409689193963994,0.05076872386932375,100
EXP-H104,shadow,1,TEST_OOF,HSP,,0.4690453812570281,0.1370583957949553,0.05833303194152078,0.017370999492298582,0.2381986469788986,100
EXP-H104,shadow,1,TEST_OOF,HSP_FEATURE,HSP_MAX,0.4690453812570281,0.0917843601088091,0.05455051966085413,-0.008545899373834764,0.17109996791030424,100
EXP-H104,shadow,1,TEST_OOF,HSP_FEATURE,HSP_MEAN,0.4690453812570281,0.03797158862952039,0.015659046491103203,0.007530248179580238,0.06570879872639984,100
EXP-H104,shadow,1,TEST_OOF,HSP_FEATURE,HSP_SUM,0.4690453812570281,-0.011196806927305226,0.032979358690580794,-0.07603611754215121,0.043567108870997726,100
EXP-H104,shadow,2,TEST_OOF,HSP,,0.49161053657531734,-0.004843290524482696,0.02244638574556753,-0.047484079760313,0.032274413478374495,100
EXP-H104,shadow,2,TEST_OOF,HSP_FEATURE,HSP_MAX,0.49161053657531734,-0.01970439844846722,0.021839016995212974,-0.054794933807849874,0.03016237447261818,100
EXP-H104,shadow,2,TEST_OOF,HSP_FEATURE,HSP_MEAN,0.49161053657531734,0.00462406193017962,0.011496686142451279,-0.01760896709561347,0.02590306550264364,100
EXP-H104,shadow,2,TEST_OOF,HSP_FEATURE,HSP_SUM,0.49161053657531734,0.009543217694759376,0.017042107410788224,-0.024877439510822278,0.035506070178747115,100
EXP-H104,shadow,3,TEST_OOF,HSP,,0.48784152507782,0.07282240652084342,0.038373516731395774,0.00430717151761049,0.14596853935718532,100
EXP-H104,shadow,3,TEST_OOF,HSP_FEATURE,HSP_MAX,0.48784152507782,0.05335951696395871,0.02446112427975354,0.012154789310693722,0.10240071862339965,100
EXP-H104,shadow,3,TEST_OOF,HSP_FEATURE,HSP_MEAN,0.48784152507782,-0.03130839408636097,0.010351869497535651,-0.05289385409951213,-0.011175804406404541,100
EXP-H104,shadow,3,TEST_OOF,HSP_FEATURE,HSP_SUM,0.48784152507782,0.02721230325937266,0.028118010948415054,-0.02797621055245408,0.08402598587870592,100
EXP-H104,shadow,4,TEST_OOF,HSP,,0.5136157120213364,0.04167737366185043,0.018524320946919904,2.4212397951062746e-05,0.07503570910945077,100
EXP-H104,shadow,4,TEST_OOF,HSP_FEATURE,HSP_MAX,0.5136157120213364,0.01608792587049078,0.00947513366491134,0.0004872936190981392,0.03522285186883173,100
EXP-H104,shadow,4,TEST_OOF,HSP_FEATURE,HSP_MEAN,0.5136157120213364,0.004985873156460855,0.00507070240828398,-0.0034031891967311267,0.014284685082869146,100
EXP-H104,shadow,4,TEST_OOF,HSP_FEATURE,HSP_SUM,0.5136157120213364,0.01980493133776115,0.010780523960524974,0.0007249863711269955,0.041897816022237105,100
EXP-H105,primary,0,TEST_OOF,SURFACE,,0.4350319776535033,0.15446586998701098,0.05568293124112897,0.033382760179042834,0.2567291718840599,100
EXP-H105,primary,0,TEST_OOF,HSP,,0.4350319776535033,0.01985436494827272,0.03923604017046451,-0.05467978880405425,0.08779768657088281,100
EXP-H105,primary,0,TEST_OOF,SURFACE_PLUS_HSP,,0.4350319776535033,0.20471575389146807,0.05677874763970234,0.09569209992289547,0.2977652867913246,100
EXP-H105,primary,1,TEST_OOF,SURFACE,,0.4173132157759234,0.1296857628446635,0.028508002348802016,0.07750491324338028,0.17937934827515556,100
EXP-H105,primary,1,TEST_OOF,HSP,,0.4173132157759234,0.03537294267134223,0.0165930946294136,0.003352315157109964,0.06729308242219856,100
EXP-H105,primary,1,TEST_OOF,SURFACE_PLUS_HSP,,0.4173132157759234,0.20416106802275671,0.04104807616079808,0.1155826863837963,0.27461858104936987,100
EXP-H105,primary,2,TEST_OOF,SURFACE,,0.4772860155972566,0.14856569291085914,0.0514359785279237,0.03255416888612702,0.23430894452297318,100
EXP-H105,primary,2,TEST_OOF,HSP,,0.4772860155972566,0.02475880349592729,0.024129356607067286,-0.024211121628501208,0.0626402046781597,100
EXP-H105,primary,2,TEST_OOF,SURFACE_PLUS_HSP,,0.4772860155972566,0.2376998632026442,0.060989044462890225,0.10676824374921394,0.3359611990784155,100
EXP-H105,primary,3,TEST_OOF,SURFACE,,0.41152191829681395,0.09096721915006632,0.026288361919342314,0.04438027381300931,0.13660977830290796,100
EXP-H105,primary,3,TEST_OOF,HSP,,0.41152191829681395,0.013103399860858908,0.006305281242240855,0.0016342176079750304,0.0271739661693573,100
EXP-H105,primary,3,TEST_OOF,SURFACE_PLUS_HSP,,0.41152191829681395,0.11009267349958417,0.03222487564968221,0.04809266785979269,0.17270869134664513,100
EXP-H105,primary,4,TEST_OOF,SURFACE,,0.5657937676906586,0.03709517582654949,0.05053789780391412,-0.06426096064448365,0.1258561404883861,100
EXP-H105,primary,4,TEST_OOF,HSP,,0.5657937676906586,-0.007881099696159367,0.022450857369724516,-0.05047964943647386,0.03476536449193954,100
EXP-H105,primary,4,TEST_OOF,SURFACE_PLUS_HSP,,0.5657937676906586,0.08624022192001338,0.06107547564063729,-0.032084804981947046,0.19733675174713128,100
EXP-H105,shadow,0,TEST_OOF,SURFACE,,0.45234568619728077,0.07016847926378256,0.05614869115308074,-0.04356615744829175,0.16587806796431534,100
EXP-H105,shadow,0,TEST_OOF,HSP,,0.45234568619728077,0.007323078269958551,0.02993229225475785,-0.049811830329894974,0.0696065118968487,100
EXP-H105,shadow,0,TEST_OOF,SURFACE_PLUS_HSP,,0.45234568619728077,0.11205554848194131,0.052815030285544975,-0.007283923941850655,0.20486197719573976,100
EXP-H105,shadow,1,TEST_OOF,SURFACE,,0.498279969880075,0.04978244560704088,0.02707708893482421,-0.0038608843601110484,0.09617690522742997,100
EXP-H105,shadow,1,TEST_OOF,HSP,,0.498279969880075,0.012916757972023636,0.008707332910324998,-0.002885277794346658,0.02817185883955508,100
EXP-H105,shadow,1,TEST_OOF,SURFACE_PLUS_HSP,,0.498279969880075,0.0702292831074108,0.028864377057363805,0.011773376834753792,0.12022290895057443,100
EXP-H105,shadow,2,TEST_OOF,SURFACE,,0.534965763092041,0.06560347662448875,0.05571024085864626,-0.04439301916956914,0.1608968929350374,100
EXP-H105,shadow,2,TEST_OOF,HSP,,0.534965763092041,0.01218873550176613,0.010027815936525145,-0.004791726493835535,0.03171411827206611,100
EXP-H105,shadow,2,TEST_OOF,SURFACE_PLUS_HSP,,0.534965763092041,0.0931674263954162,0.05439441774562414,-0.019499882590770852,0.1758533281862734,100
EXP-H105,shadow,3,TEST_OOF,SURFACE,,0.49261275529861454,0.08299861518383028,0.049694938701217,-0.019525218302011548,0.17813329621553423,100
EXP-H105,shadow,3,TEST_OOF,HSP,,0.49261275529861454,0.09625275220632556,0.04642647217144129,0.009381895679235452,0.17975921117067342,100
EXP-H105,shadow,3,TEST_OOF,SURFACE_PLUS_HSP,,0.49261275529861454,0.2165284104013443,0.055935353839283476,0.10374619508981696,0.30643246824145315,100
EXP-H105,shadow,4,TEST_OOF,SURFACE,,0.4498343905824603,0.09124674533266011,0.02178601089841321,0.047635962729020556,0.1262877506545096,100
EXP-H105,shadow,4,TEST_OOF,HSP,,0.4498343905824603,0.01740511339823402,0.0061899914669601985,0.004546592076619447,0.02770775139548557,100
EXP-H105,shadow,4,TEST_OOF,SURFACE_PLUS_HSP,,0.4498343905824603,0.11249326812281754,0.029821820551698488,0.0475605034221302,0.16059778551043896,100
EXP-H106,primary,0,TEST_OOF,HSP,,0.4449901852607727,0.035205749881267547,0.013647011733175857,0.008291710317134849,0.06027042046189303,100
EXP-H106,primary,0,TEST_OOF,HSP_FEATURE,HSP_MAX,0.4449901852607727,0.016419763548374176,0.011450026559333287,-0.005002620029449475,0.03713410758376121,100
EXP-H106,primary,0,TEST_OOF,HSP_FEATURE,HSP_MEAN,0.4449901852607727,0.006907484531402588,0.003172872172766517,0.0009808316826820374,0.012875610589981072,100
EXP-H106,primary,0,TEST_OOF,HSP_FEATURE,HSP_SUM,0.4449901852607727,0.013047414562702189,0.005417271201848569,0.0032821282744407653,0.02252190445661547,100
EXP-H106,primary,1,TEST_OOF,HSP,,0.47184852230187624,0.0674011374479352,0.02723269706592906,0.02279621091900455,0.12760044231992773,100
EXP-H106,primary,1,TEST_OOF,HSP_FEATURE,HSP_MAX,0.47184852230187624,0.03457153018835823,0.01812255699980896,-0.0006312947764540954,0.07070216988650235,100
EXP-H106,primary,1,TEST_OOF,HSP_FEATURE,HSP_MEAN,0.47184852230187624,0.003960712058327406,0.006755416499911431,-0.008145982540015018,0.015899392214688383,100
EXP-H106,primary,1,TEST_OOF,HSP_FEATURE,HSP_SUM,0.47184852230187624,0.01269626764933268,0.010340778569944383,-0.00461986577005098,0.03553709163087795,100
EXP-H106,primary,2,TEST_OOF,HSP,,0.49775456769538634,0.08304258956909191,0.04188616500104751,-0.0019392441373881767,0.17041442352063746,100
EXP-H106,primary,2,TEST_OOF,HSP_FEATURE,HSP_MAX,0.49775456769538634,0.026723126722393756,0.0357811055793803,-0.047632643485791645,0.09218239981911412,100
EXP-H106,primary,2,TEST_OOF,HSP_FEATURE,HSP_MEAN,0.49775456769538634,0.01530290893323493,0.011446534129571648,-0.006678594999602357,0.03604732580473923,100
EXP-H106,primary,2,TEST_OOF,HSP_FEATURE,HSP_SUM,0.49775456769538634,0.022910289745908804,0.017289836251649995,-0.009253238816694796,0.058364999771118156,100
EXP-H106,primary,3,TEST_OOF,HSP,,0.4545426688194275,0.06685980522871014,0.03213326867140529,-0.0043765749394894665,0.1246467869222164,100
EXP-H106,primary,3,TEST_OOF,HSP_FEATURE,HSP_MAX,0.4545426688194275,0.011749920790195425,0.01948417034821721,-0.02390293405056003,0.046249845749139776,100
