cv_scheme,fold,seed,head,a_h,ell_h_angstrom,initial_ell_angstrom,best_epoch
primary,3,303,3,0.004895764868706465,17.129501342773438,17.13593864440918,14
primary,4,303,0,0.003810407128185034,17.115734100341797,17.130462646484375,32
primary,4,303,1,0.006190797314047813,17.11540985107422,17.130462646484375,32
primary,4,303,2,-0.0006769271567463875,17.115625381469727,17.130462646484375,32
primary,4,303,3,0.0012543729972094297,17.115489959716797,17.130462646484375,32
shadow,0,101,0,-0.008372190408408642,17.10139274597168,17.11723518371582,34
shadow,0,101,1,0.004456075839698315,17.101634979248047,17.11723518371582,34
shadow,0,101,2,-0.0019854267593473196,17.10141944885254,17.11723518371582,34
shadow,0,101,3,0.0022573322057724,17.10144805908203,17.11723518371582,34
shadow,1,101,0,-0.000274753401754424,17.123239517211914,17.127897262573242,10
shadow,1,101,1,-0.0009217208134941757,17.123258590698242,17.127897262573242,10
shadow,1,101,2,0.001860812888480723,17.123226165771484,17.127897262573242,10
shadow,1,101,3,0.0012455664109438658,17.123218536376953,17.127897262573242,10
shadow,2,101,0,8.034397615119815e-05,17.10398292541504,17.127273559570312,50
shadow,2,101,1,-0.005325849633663893,17.10382652282715,17.127273559570312,50
shadow,2,101,2,0.009345284663140774,17.104991912841797,17.127273559570312,50
shadow,2,101,3,0.00288912421092391,17.104045867919922,17.127273559570312,50
shadow,3,101,0,-0.006956000812351704,17.062150955200195,17.101134300231934,83
shadow,3,101,1,0.00047888729022815824,17.06199836730957,17.101134300231934,83
shadow,3,101,2,0.005051238462328911,17.06232452392578,17.101134300231934,83
shadow,3,101,3,-0.002937720622867346,17.062780380249023,17.101134300231934,83
shadow,4,101,0,0.001539386692456901,17.116188049316406,17.120323181152344,9
shadow,4,101,1,0.0024257884360849857,17.11612892150879,17.120323181152344,9
shadow,4,101,2,0.00032907931017689407,17.116127014160156,17.120323181152344,9
shadow,4,101,3,0.00035199124249629676,17.11614227294922,17.120323181152344,9
shadow,0,202,0,0.0017074687639251351,17.09354019165039,17.11723518371582,51
shadow,0,202,1,-0.0028889146633446217,17.093502044677734,17.11723518371582,51
shadow,0,202,2,0.005875044967979193,17.09366798400879,17.11723518371582,51
shadow,0,202,3,-0.009233631193637848,17.09353256225586,17.11723518371582,51
shadow,1,202,0,-0.0017991079948842525,17.123268127441406,17.127897262573242,10
shadow,1,202,1,0.004792273510247469,17.12327766418457,17.127897262573242,10
shadow,1,202,2,0.0025624081026762724,17.12318992614746,17.127897262573242,10
shadow,1,202,3,-0.00019562954548746347,17.123226165771484,17.127897262573242,10
shadow,2,202,0,0.005106843076646328,17.09695816040039,17.127273559570312,65
shadow,2,202,1,0.0004283731977920979,17.09699058532715,17.127273559570312,65
shadow,2,202,2,0.011202500201761723,17.09796714782715,17.127273559570312,65
shadow,2,202,3,0.012658743187785149,17.097671508789062,17.127273559570312,65
shadow,3,202,0,0.011985454708337784,17.087228775024414,17.101134300231934,32
shadow,3,202,1,-0.0024810777977108955,17.086214065551758,17.101134300231934,32
shadow,3,202,2,-0.0028880536556243896,17.086116790771484,17.101134300231934,32
shadow,3,202,3,-0.007488171570003033,17.086002349853516,17.101134300231934,32
shadow,4,202,0,0.006162657868117094,17.115625381469727,17.120323181152344,10
shadow,4,202,1,-0.00164687295909971,17.115724563598633,17.120323181152344,10
shadow,4,202,2,0.007194751873612404,17.11575698852539,17.120323181152344,10
shadow,4,202,3,-0.00623025419190526,17.115528106689453,17.120323181152344,10
shadow,0,303,0,-0.008380281738936901,17.065950393676758,17.11723518371582,111
shadow,0,303,1,0.013351483270525932,17.06781005859375,17.11723518371582,111
shadow,0,303,2,0.0058960141614079475,17.066667556762695,17.11723518371582,111
shadow,0,303,3,0.0029873137827962637,17.06584358215332,17.11723518371582,111
shadow,1,303,0,-0.001504593761637807,17.124183654785156,17.127897262573242,8
shadow,1,303,1,0.0005053796339780092,17.124181747436523,17.127897262573242,8
shadow,1,303,2,-0.0007071220315992832,17.124177932739258,17.127897262573242,8
shadow,1,303,3,0.003839751472696662,17.12425422668457,17.127897262573242,8
shadow,2,303,0,0.005507640540599823,17.11814308166504,17.127273559570312,20
shadow,2,303,1,-0.0008065775618888438,17.117944717407227,17.127273559570312,20
shadow,2,303,2,0.003459414467215538,17.117998123168945,17.127273559570312,20
shadow,2,303,3,0.002176406094804406,17.11798858642578,17.127273559570312,20
shadow,3,303,0,0.0071573881432414055,17.08111000061035,17.101134300231934,44
shadow,3,303,1,-0.0007836043951101601,17.08066177368164,17.101134300231934,44
shadow,3,303,2,0.004610035568475723,17.08091926574707,17.101134300231934,44
shadow,3,303,3,0.003878229996189475,17.08054542541504,17.101134300231934,44
shadow,4,303,0,0.0017791239079087973,17.111547470092773,17.120323181152344,19
shadow,4,303,1,0.0002345899847568944,17.111465454101562,17.120323181152344,19
shadow,4,303,2,0.0009397247922606766,17.111495971679688,17.120323181152344,19
shadow,4,303,3,0.002110832603648305,17.111492156982422,17.120323181152344,19
full_dev,-1,101,0,-0.003183685941621661,17.10923957824707,17.118873596191406,17
full_dev,-1,101,1,0.001546718878671527,17.109134674072266,17.118873596191406,17
full_dev,-1,101,2,0.0020089989993721247,17.109357833862305,17.118873596191406,17
full_dev,-1,101,3,0.000887462287209928,17.109085083007812,17.118873596191406,17
full_dev,-1,202,0,0.004054198041558266,17.110361099243164,17.118873596191406,15
full_dev,-1,202,1,0.003011146327480674,17.11034393310547,17.118873596191406,15
full_dev,-1,202,2,0.0006154297734610736,17.110294342041016,17.118873596191406,15
full_dev,-1,202,3,-0.005024051759392023,17.11039924621582,17.118873596191406,15
full_dev,-1,303,0,-0.006949849426746368,17.10325813293457,17.118873596191406,27
full_dev,-1,303,1,-0.0055816215462982655,17.103492736816406,17.118873596191406,27
full_dev,-1,303,2,0.0031487017404288054,17.103639602661133,17.118873596191406,27
full_dev,-1,303,3,0.004715362563729286,17.103439331054688,17.118873596191406,27
