delta_mae,ci95_lo,ci95_hi,n,contrast,name,scheme,split,model_a,model_b,sign
0.037827762556664736,-0.19829312783700448,0.27389481980123637,162,MEAN_vs_CONCAT_SCRATCH_ARCH-7,mean_vs_concat,shadow,val,EXP-T102,EXP-T101,delta=MAE_a-MAE_b; negative => a better
-0.16252783787103348,-0.4871978341797252,0.13983072174919947,162,MEAN_vs_CONCAT_SCRATCH_ARCH-8,mean_vs_concat,primary,test,EXP-T104,EXP-T103,delta=MAE_a-MAE_b; negative => a better
-0.17286550262827938,-0.42665046644799504,0.09711065881046241,162,MEAN_vs_CONCAT_SCRATCH_ARCH-8,mean_vs_concat,primary,val,EXP-T104,EXP-T103,delta=MAE_a-MAE_b; negative => a better
-0.060884310875409915,-0.3685727978930061,0.26487831539577883,162,MEAN_vs_CONCAT_SCRATCH_ARCH-8,mean_vs_concat,shadow,test,EXP-T104,EXP-T103,delta=MAE_a-MAE_b; negative => a better
0.0054150805061246145,-0.2372099381906015,0.2575220943968972,162,MEAN_vs_CONCAT_SCRATCH_ARCH-8,mean_vs_concat,shadow,val,EXP-T104,EXP-T103,delta=MAE_a-MAE_b; negative => a better
0.08576722792637201,-0.06935793499887725,0.2566363028538079,162,ARCH6_vs_5_ABLINGUA_CONCAT,arch6_vs_5,primary,test,EXP-T084,EXP-T079,delta=MAE_a-MAE_b; negative => a better
0.06260838920687452,-0.06942680146959092,0.2042594179695035,162,ARCH6_vs_5_ABLINGUA_CONCAT,arch6_vs_5,primary,val,EXP-T084,EXP-T079,delta=MAE_a-MAE_b; negative => a better
-0.0025790650167582946,-0.13353793532760055,0.1347745542173032,162,ARCH6_vs_5_ABLINGUA_CONCAT,arch6_vs_5,shadow,test,EXP-T084,EXP-T079,delta=MAE_a-MAE_b; negative => a better
0.07362977958019869,-0.052954255798716605,0.19954286622412407,162,ARCH6_vs_5_ABLINGUA_CONCAT,arch6_vs_5,shadow,val,EXP-T084,EXP-T079,delta=MAE_a-MAE_b; negative => a better
0.2172441129331236,-0.046527126689016034,0.4903335995144312,162,ARCH6_vs_5_ABLINGUA_MEAN,arch6_vs_5,primary,test,EXP-T085,EXP-T083,delta=MAE_a-MAE_b; negative => a better
-0.04116936671881028,-0.2617961100590082,0.1859232461010963,162,ARCH6_vs_5_ABLINGUA_MEAN,arch6_vs_5,primary,val,EXP-T085,EXP-T083,delta=MAE_a-MAE_b; negative => a better
0.1119081944595149,-0.060261757579850556,0.3010369530430546,162,ARCH6_vs_5_ABLINGUA_MEAN,arch6_vs_5,shadow,test,EXP-T085,EXP-T083,delta=MAE_a-MAE_b; negative => a better
-0.013367829499421295,-0.1737720677882065,0.1488196066868157,162,ARCH6_vs_5_ABLINGUA_MEAN,arch6_vs_5,shadow,val,EXP-T085,EXP-T083,delta=MAE_a-MAE_b; negative => a better
0.044372770521375865,-0.24788923145812233,0.3263535764482284,162,ARCH6_vs_5_SCRATCH_CONCAT,arch6_vs_5,primary,test,EXP-T099,EXP-T097,delta=MAE_a-MAE_b; negative => a better
0.10849531197253569,-0.1597943871109574,0.39974477438279127,162,ARCH6_vs_5_SCRATCH_CONCAT,arch6_vs_5,primary,val,EXP-T099,EXP-T097,delta=MAE_a-MAE_b; negative => a better
-0.13904910617404517,-0.3436532102985147,0.06280590398811994,162,ARCH6_vs_5_SCRATCH_CONCAT,arch6_vs_5,shadow,test,EXP-T099,EXP-T097,delta=MAE_a-MAE_b; negative => a better
-0.015055103066526814,-0.2366270371425299,0.19551880212477668,162,ARCH6_vs_5_SCRATCH_CONCAT,arch6_vs_5,shadow,val,EXP-T099,EXP-T097,delta=MAE_a-MAE_b; negative => a better
0.15705224025396652,-0.10601573991186825,0.4175563135264828,162,ARCH6_vs_5_SCRATCH_MEAN,arch6_vs_5,primary,test,EXP-T100,EXP-T098,delta=MAE_a-MAE_b; negative => a better
-0.04751869484230324,-0.30521213154733917,0.2235351185739775,162,ARCH6_vs_5_SCRATCH_MEAN,arch6_vs_5,primary,val,EXP-T100,EXP-T098,delta=MAE_a-MAE_b; negative => a better
0.08546622005509741,-0.1454820821314682,0.30722723007202135,162,ARCH6_vs_5_SCRATCH_MEAN,arch6_vs_5,shadow,test,EXP-T100,EXP-T098,delta=MAE_a-MAE_b; negative => a better
-0.11151940145610291,-0.3486032515396307,0.13200896110063712,162,ARCH6_vs_5_SCRATCH_MEAN,arch6_vs_5,shadow,val,EXP-T100,EXP-T098,delta=MAE_a-MAE_b; negative => a better
-0.12321790059407547,-0.36394812501507023,0.10042322476704922,162,ARCH6_vs_8_ABLINGUA_CONCAT,arch6_vs_8,primary,test,EXP-T084,EXP-T088,delta=MAE_a-MAE_b; negative => a better
0.032535034933207994,-0.17284295941576547,0.2317808404380892,162,ARCH6_vs_8_ABLINGUA_CONCAT,arch6_vs_8,primary,val,EXP-T084,EXP-T088,delta=MAE_a-MAE_b; negative => a better
-0.0667947839807581,-0.23963635291582272,0.10705539562084047,162,ARCH6_vs_8_ABLINGUA_CONCAT,arch6_vs_8,shadow,test,EXP-T084,EXP-T088,delta=MAE_a-MAE_b; negative => a better
-0.031090630425347224,-0.19356644595110858,0.1275332556830511,162,ARCH6_vs_8_ABLINGUA_CONCAT,arch6_vs_8,shadow,val,EXP-T084,EXP-T088,delta=MAE_a-MAE_b; negative => a better
0.2669158747166764,0.006536988858823428,0.5294110863297075,162,ARCH6_vs_8_ABLINGUA_MEAN,arch6_vs_8,primary,test,EXP-T085,EXP-T089,delta=MAE_a-MAE_b; negative => a better
-0.0550435855064863,-0.3025932871265176,0.18016323807798781,162,ARCH6_vs_8_ABLINGUA_MEAN,arch6_vs_8,primary,val,EXP-T085,EXP-T089,delta=MAE_a-MAE_b; negative => a better
0.08554326752085745,-0.10436596222865728,0.28128174793573074,162,ARCH6_vs_8_ABLINGUA_MEAN,arch6_vs_8,shadow,test,EXP-T085,EXP-T089,delta=MAE_a-MAE_b; negative => a better
0.024755995950581117,-0.12420683966742621,0.17526585084420657,162,ARCH6_vs_8_ABLINGUA_MEAN,arch6_vs_8,shadow,val,EXP-T085,EXP-T089,delta=MAE_a-MAE_b; negative => a better
-0.052447118876892844,-0.34961800692993916,0.2125568907937883,162,ARCH6_vs_8_SCRATCH_CONCAT,arch6_vs_8,primary,test,EXP-T099,EXP-T103,delta=MAE_a-MAE_b; negative => a better
-0.12078669041763117,-0.3524729163558395,0.12876089943779834,162,ARCH6_vs_8_SCRATCH_CONCAT,arch6_vs_8,primary,val,EXP-T099,EXP-T103,delta=MAE_a-MAE_b; negative => a better
-0.2319912851592641,-0.5038251205726906,0.05608890321519634,162,ARCH6_vs_8_SCRATCH_CONCAT,arch6_vs_8,shadow,test,EXP-T099,EXP-T103,delta=MAE_a-MAE_b; negative => a better
0.03442039018795814,-0.21845508740272052,0.2895597834645966,162,ARCH6_vs_8_SCRATCH_CONCAT,arch6_vs_8,shadow,val,EXP-T099,EXP-T103,delta=MAE_a-MAE_b; negative => a better
0.05292120097595968,-0.20411723631399648,0.2947471418498474,162,ARCH6_vs_8_SCRATCH_MEAN,arch6_vs_8,primary,test,EXP-T100,EXP-T104,delta=MAE_a-MAE_b; negative => a better
0.013595628149715515,-0.26563104817896704,0.27326964390130676,162,ARCH6_vs_8_SCRATCH_MEAN,arch6_vs_8,primary,val,EXP-T100,EXP-T104,delta=MAE_a-MAE_b; negative => a better
0.09527178163881656,-0.20143857178864655,0.3905410966755431,162,ARCH6_vs_8_SCRATCH_MEAN,arch6_vs_8,shadow,test,EXP-T100,EXP-T104,delta=MAE_a-MAE_b; negative => a better
-0.012248074566876446,-0.2979109346130748,0.27208493432880915,162,ARCH6_vs_8_SCRATCH_MEAN,arch6_vs_8,shadow,val,EXP-T100,EXP-T104,delta=MAE_a-MAE_b; negative => a better
-0.13862904207206067,-0.30847459663579496,0.04097277264536156,162,ARCH7_vs_1_ABLINGUA_CONCAT,arch7_vs_1,primary,test,EXP-T086,EXP-T075,delta=MAE_a-MAE_b; negative => a better
