target,code,representation,architecture,merge,geometry,params,VAL_P,VAL_S,TEST_P,TEST_S,TEST_mean,TEST_worst,Public,Private,Overall
TmApp,EXP-T085,ABLINGUA,ARCH-6,mean,False,551297,2.9820462921519337,3.0475547696337286,3.5997145617449724,3.34499274359809,3.472353652671531,3.5997145617449724,3.4151270265932427,3.1538665112153974,3.28449676890432
TmApp,EXP-T086,ABLINGUA,ARCH-7,concat,False,567681,2.9215291812096114,3.0876136120454767,3.373514599270291,3.3381048838297525,3.3558097415500217,3.373514599270291,3.5580374635296104,3.2082882633915655,3.383162863460588
TmApp,EXP-T087,ABLINGUA,ARCH-7,mean,False,551297,2.974721979211878,3.0400681201322577,3.2353713895067755,3.2764338740596064,3.255902631783191,3.2764338740596064,3.5127148851936245,3.2646164976520295,3.388665691422827
TmApp,EXP-T088,ABLINGUA,ARCH-8,concat,False,567681,2.944349995365849,3.10955462043668,3.445308355637539,3.3312839460961614,3.38829615086685,3.445308355637539,3.509297396812909,3.258537094681351,3.3839172457471296
TmApp,EXP-T089,ABLINGUA,ARCH-8,mean,False,551297,3.03708987765842,3.0227987736831476,3.3327986870282964,3.259449476077233,3.2961240815527644,3.3327986870282964,3.425137272587529,3.0928515493133926,3.258994410950461
TmApp,EXP-T090,SCRATCH,ARCH-1,concat,False,340481,2.9563083884156782,2.941925190113209,3.421671596574195,3.679165357424889,3.5504184769995417,3.679165357424889,3.637910404911747,3.5281241899655185,3.5830172974386327
TmApp,EXP-T091,SCRATCH,ARCH-1,mean,False,324097,3.0327638225790894,2.9609189445589794,3.365534535160771,3.5994807113835843,3.482507623272178,3.5994807113835843,3.629707562481916,3.415604984613112,3.5226562735475135
TmApp,EXP-T092,SCRATCH,ARCH-2,,False,323969,2.902729034423828,2.954481572280695,3.1550709288797263,3.473059383439429,3.314065156159578,3.473059383439429,3.532927449544272,3.366273555049191,3.449600502296731
TmApp,EXP-T093,SCRATCH,ARCH-3,concat,False,340481,3.00295196344823,3.1374107172459733,3.3321027873474875,3.3081620298785928,3.3201324086130404,3.3321027873474875,3.4963952712070796,3.367937309359326,3.432166290283203
TmApp,EXP-T094,SCRATCH,ARCH-3,mean,False,324097,3.1032644201208046,3.1142101052366655,3.1879845136477623,3.407729254828559,3.2978568842381604,3.407729254828559,3.7377053343219524,3.417145792643229,3.577425563482591
TmApp,EXP-T095,SCRATCH,ARCH-4,concat,False,340481,2.962447272406684,3.108075789463373,3.308433108859592,3.495899624294705,3.4021663665771484,3.495899624294705,3.5968540615505638,3.51124909012406,3.554051575837312
TmApp,EXP-T096,SCRATCH,ARCH-4,mean,False,324097,3.040936835018205,3.103488498263889,3.2524133376133295,3.2638315271448204,3.258122432379075,3.2638315271448204,3.6185744108977134,3.460297968358169,3.5394361896279416
TmApp,EXP-T097,SCRATCH,ARCH-5,concat,False,406531,2.9237712813012395,3.070545997148679,3.3783709679120855,3.361811319986979,3.3700911439495322,3.3783709679120855,3.5839855712137108,3.428645654372227,3.5063156127929687
TmApp,EXP-T098,SCRATCH,ARCH-5,mean,False,390147,3.041302104055146,3.1257569112895447,3.2085319801613137,3.4036747496805075,3.3061033649209106,3.4036747496805075,3.590142878779658,3.352078454288436,3.471110666534047
TmApp,EXP-T099,SCRATCH,ARCH-6,concat,False,406529,3.032266593273775,3.0554908940821517,3.422743738433461,3.222762213812934,3.3227529761231978,3.422743738433461,3.5666286044650612,3.3749121771918404,3.4707703908284504
TmApp,EXP-T100,SCRATCH,ARCH-6,mean,False,390145,2.9937834092128424,3.0142375098334417,3.3655842204152804,3.4891409697356046,3.4273625950754427,3.4891409697356046,3.546044705237872,3.3171982659233943,3.4316214855806333
TmApp,EXP-T101,SCRATCH,ARCH-7,concat,False,406529,2.904491165537893,2.972051173080633,3.1903519807038485,3.491462990089699,3.340907485396774,3.491462990089699,3.545861524417076,3.283955185501664,3.41490835495937
TmApp,EXP-T102,SCRATCH,ARCH-7,mean,False,390145,2.9244007063500677,3.0098789356372975,3.2751123404797213,3.4288495852623457,3.3519809628710338,3.4288495852623457,3.6440275215808255,3.5003209243586038,3.5721742229697138
TmApp,EXP-T103,SCRATCH,ARCH-8,concat,False,406529,3.1530532836914062,3.021070503894194,3.475190857310354,3.454753498972198,3.464972178141276,3.475190857310354,3.6367347623095108,3.250704390914351,3.4437195766119313
TmApp,EXP-T104,SCRATCH,ARCH-8,mean,False,390145,2.980187781063127,3.0264855844003185,3.3126630194393205,3.3938691880967884,3.3532661037680542,3.3938691880967884,3.427792998890817,3.434862216902368,3.431327607896593
TmApp,EXP-T105,ABLINGUA,ARCH-6G,concat,True,567713,2.984887747117031,3.0253236087751976,3.352229742356289,3.3000287185480564,3.326129230452173,3.352229742356289,3.5349809905629095,3.2098129084080833,3.372396949485496
TmApp,EXP-T106,ABLINGUA,ARCH-6G,mean,True,551329,3.0208488511450495,3.089010262194975,3.35161680056725,3.2777009186921298,3.3146588596296898,3.35161680056725,3.574243333604601,3.284321208059052,3.4292822708318265
TmApp,EXP-T107,SCRATCH,ARCH-6G,concat,True,406561,2.9780379401312933,3.04408292417173,3.4090444541271823,3.2267480544102045,3.3178962542686934,3.4090444541271823,3.520080509892216,3.358319779384283,3.43920014463825
TmApp,EXP-T108,SCRATCH,ARCH-6G,mean,True,390177,2.9366627916877652,3.002687477771147,3.2860360793125483,3.2920527517059703,3.2890444155092595,3.2920527517059703,3.4788332432876405,3.3897983880690585,3.4343158156783504
TmApp,EXP-T109,ABLANG2,ARCH-1,concat,False,399233,2.930361971443082,2.9389143578800154,3.1965456597598982,3.30695496076419,3.251750310262044,3.30695496076419,3.1694367302788624,3.153754735876013,3.1615957330774376
TmApp,EXP-T110,ABLANG2,ARCH-1,mean,False,382849,2.8612359600302613,2.773900208649812,3.2029204191984952,3.280289826569734,3.2416051228841143,3.280289826569734,3.252445541193455,3.0645149230957034,3.1584802321445795
TmApp,EXP-T111,ABLANG2,ARCH-2,,False,382721,2.8150769928355275,2.914210755148052,3.122389546147099,3.3701139379430702,3.246251742045085,3.3701139379430702,3.2258069262092497,3.04632767100393,3.1360672986065903
TmApp,EXP-T112,ABLANG2,ARCH-3,concat,False,399233,2.787511495896328,2.8621881508532865,3.3635945025785468,3.18831017576618,3.2759523391723633,3.3635945025785468,3.0348896733036743,3.074753457528574,3.0548215654161237
TmApp,EXP-T113,ABLANG2,ARCH-3,mean,False,382849,2.7480899904981073,2.965465051156503,2.9950552575382186,3.2830708586139443,3.1390630580760814,3.2830708586139443,3.105441821063006,2.999122327639732,3.052282074351369
TmApp,EXP-T114,ABLANG2,ARCH-4,concat,False,399233,2.8455608744680148,2.913853539360894,3.1612379050549166,3.3587618462833357,3.259999875669126,3.3587618462833357,3.2163185590579184,3.1317171732584637,3.1740178661581915
TmApp,EXP-T115,ABLANG2,ARCH-4,mean,False,382849,2.806354758180218,2.8865294986300998,3.240749830081139,3.311849547021183,3.276299688551161,3.311849547021183,3.196675731517651,2.9866563302499265,3.091666030883789
TmApp,EXP-T116,ABLANG2,ARCH-6,concat,False,465281,2.832276732833297,2.9404371049669056,3.2651118996702593,3.4072274337580173,3.336169666714138,3.4072274337580173,3.3088433630672496,3.0744036639178245,3.1916235134925377
TmApp,EXP-T117,ABLANG2,ARCH-6,mean,False,448897,2.8141310656512224,2.9443941469545716,3.238223181830512,3.3408236797945,3.289523430812506,3.3408236797945,3.26920213110653,3.0779686539261437,3.1735853925163364
TmApp,EXP-T118,ABLANG2,ARCH-6G,concat,True,465313,2.828036743917583,2.975665787119924,3.217477233321578,3.381942419358242,3.2997098263399103,3.381942419358242,3.372871756847995,3.1206418072735818,3.2467567820607885
TmApp,EXP-T119,ABLANG2,ARCH-6G,mean,True,448929,2.8258171552493248,2.8690821094277466,3.3646619820300443,3.2835301999692565,3.3240960909996504,3.3646619820300443,3.304621124267578,3.119423035044728,3.2120220796561534
TmApp,EXP-T120,ABLANG2,ARCH-7,concat,False,465281,2.701889932891469,2.8702366204909335,3.108702129787869,3.2911669413248696,3.1999345355563693,3.2911669413248696,3.24088912775487,2.986559531129437,3.1137243294421535
TmApp,EXP-T121,ABLANG2,ARCH-7,mean,False,448897,2.720866662484628,2.8062878832404996,3.0232212867265864,3.252085108815888,3.137653197771237,3.252085108815888,3.2474344889322917,3.1936370378659102,3.220535763399101
TmApp,EXP-T122,ABLANG2,ARCH-8,concat,False,465281,2.817560596230589,2.8273312603985823,3.1770394407672646,3.526783601737317,3.3519115212522905,3.526783601737317,3.286962834110967,3.102298774248288,3.194630804179627
TmApp,EXP-T123,ABLANG2,ARCH-8,mean,False,448897,2.8195727783956643,2.8454886306951077,3.360183197775005,3.4918525366135587,3.4260178671942816,3.4918525366135587,3.2676993287639853,3.062342212818287,3.165020770791136
