code,scheme,fold,total,attention,ffn,norm,init_distance
EXP-T134,shadow,4,0.3653315603733063,0.47597983479499817,0.4422287046909332,0.03450224921107292,0.0
EXP-T135,primary,0,0.10181685537099838,0.15469765663146973,0.07572350651025772,0.0074639939703047276,0.0
EXP-T135,primary,1,0.1500443071126938,0.1780410259962082,0.22114668786525726,0.013580781407654285,0.0
EXP-T135,primary,2,0.23455014824867249,0.30434656143188477,0.2986313998699188,0.020347775891423225,0.0
EXP-T135,primary,3,0.08817879110574722,0.13372978568077087,0.06683968752622604,0.006766999140381813,0.0
EXP-T135,primary,4,0.4267142415046692,0.5501071810722351,0.5133495330810547,0.03816906362771988,0.0
EXP-T135,shadow,0,0.34373557567596436,0.4512993395328522,0.4125864803791046,0.031516123563051224,0.0
EXP-T135,shadow,1,0.11205047369003296,0.16919945180416107,0.08675790578126907,0.008187521249055862,0.0
EXP-T135,shadow,2,0.08062958717346191,0.11919592320919037,0.07141723483800888,0.007441442925482988,0.0
EXP-T135,shadow,3,0.08259552717208862,0.1233600303530693,0.06924955546855927,0.007068967912346125,0.0
EXP-T135,shadow,4,0.31554704904556274,0.41314366459846497,0.3847752809524536,0.029452890157699585,0.0
EXP-T136,primary,0,0.037574972957372665,0.04507213085889816,0.055264607071876526,0.003129389835521579,0.0
EXP-T136,primary,1,0.17880989611148834,0.20474036037921906,0.27261480689048767,0.016798824071884155,0.0
EXP-T136,primary,2,0.1623382866382599,0.18437127768993378,0.2501335144042969,0.015060803852975368,0.0
EXP-T136,primary,3,0.26922470331192017,0.3238181471824646,0.3823351263999939,0.024923669174313545,0.0
EXP-T136,primary,4,0.06427031755447388,0.0827166810631752,0.08536471426486969,0.005187269765883684,0.0
EXP-T136,shadow,0,0.22530494630336761,0.26357176899909973,0.33334824442863464,0.02048223838210106,0.0
EXP-T136,shadow,1,0.13182039558887482,0.147613987326622,0.20675824582576752,0.011886117979884148,0.0
EXP-T136,shadow,2,0.3952499032020569,0.4952782988548279,0.5091332793235779,0.04050053283572197,0.0
EXP-T136,shadow,3,0.022936679422855377,0.027372879907488823,0.03393208608031273,0.002079054480418563,0.0
EXP-T136,shadow,4,0.3912433087825775,0.4951946437358856,0.4961530268192291,0.03822433948516846,0.0
EXP-T137,primary,0,0.06562003493309021,0.08253750205039978,0.09048330783843994,0.004933016374707222,0.0
EXP-T137,primary,1,0.31688761711120605,0.3860592544078827,0.4367108643054962,0.03114604949951172,0.0
EXP-T137,primary,2,0.28406238555908203,0.3412145674228668,0.40218231081962585,0.02831173874437809,0.0
EXP-T137,primary,3,0.21054834127426147,0.24136368930339813,0.31897270679473877,0.01952420175075531,0.0
EXP-T137,primary,4,0.368159681558609,0.46882572770118713,0.466461718082428,0.03575022891163826,0.0
EXP-T137,shadow,0,0.06793569028377533,0.08965012431144714,0.08621697872877121,0.0050954692997038364,0.0
EXP-T137,shadow,1,0.0706590861082077,0.08775945007801056,0.09918135404586792,0.005690612830221653,0.0
EXP-T137,shadow,2,0.046036504209041595,0.056708481162786484,0.06541488319635391,0.003811412025243044,0.0
EXP-T137,shadow,3,0.030528925359249115,0.03677326440811157,0.04466693103313446,0.002634689910337329,0.0
EXP-T137,shadow,4,0.2870195209980011,0.34290727972984314,0.4084405303001404,0.029112698510289192,0.0
EXP-T138,primary,0,0.3182426393032074,0.4041255712509155,0.4099103808403015,0.03271724656224251,0.0
EXP-T138,primary,1,0.00800505094230175,0.00906204804778099,0.012537493370473385,0.0007452173158526421,0.0
EXP-T138,primary,2,0.08923046290874481,0.13226976990699768,0.07790976762771606,0.006916141603142023,0.0
EXP-T138,primary,3,0.07579760998487473,0.1117975264787674,0.06819293648004532,0.006044055800884962,0.0
EXP-T138,primary,4,0.2509051263332367,0.31868401169776917,0.3308708369731903,0.021848993375897408,0.0
EXP-T138,shadow,0,0.3027077317237854,0.3896261155605316,0.38232651352882385,0.030072776600718498,0.0
EXP-T138,shadow,1,0.22900743782520294,0.2922719419002533,0.3007095158100128,0.020429976284503937,0.0
EXP-T138,shadow,2,0.3301364481449127,0.42652425169944763,0.4099660813808441,0.03439636901021004,0.0
EXP-T138,shadow,3,0.3004354238510132,0.38698825240135193,0.3797767460346222,0.02926531992852688,0.0
EXP-T138,shadow,4,0.23456135392189026,0.30165472626686096,0.30377644300460815,0.020397096872329712,0.0
EXP-T139,primary,0,0.29488950967788696,0.3762262463569641,0.3795210123062134,0.027263658121228218,0.0
EXP-T139,primary,1,0.2751830220222473,0.3559039533138275,0.3481292724609375,0.02579558826982975,0.0
EXP-T139,primary,2,0.09874770045280457,0.14575155079364777,0.08778516948223114,0.008708544075489044,0.0
EXP-T139,primary,3,0.08196672052145004,0.12062859535217285,0.07437511533498764,0.0065269977785646915,0.0
EXP-T139,primary,4,0.3745896518230438,0.47764816880226135,0.4666025638580322,0.04023687168955803,0.0
EXP-T139,shadow,0,0.36950594186782837,0.4692225754261017,0.4653546214103699,0.04006973281502724,0.0
EXP-T139,shadow,1,0.21853633224964142,0.27179446816444397,0.2992202043533325,0.021433338522911072,0.0
