kind,plm,topology,scheme,model_a,model_b,delta_mae,ci95_lo,ci95_hi,note
DiD,ablingua_vs_ablang2,D,shadow,EXP-T151,EXP-T149,-0.06401000788182389,-0.3248666657341851,0.19762189241103179,DiD bootstrap
DiD,ablingua_vs_esm2,D,primary,EXP-T151,EXP-T156,0.3511196419044777,0.09871458712919258,0.6080701745586627,DiD bootstrap
DiD,ablingua_vs_esm2,D,shadow,EXP-T151,EXP-T156,0.17673647845232932,-0.10016513753820348,0.458201527301176,DiD bootstrap
DiD,ablang2_vs_esm2,D,primary,EXP-T149,EXP-T156,0.25903600527916426,-0.07867436644471722,0.5976585064405274,DiD bootstrap
DiD,ablang2_vs_esm2,D,shadow,EXP-T149,EXP-T156,0.24074648633415321,-0.031478690512386366,0.5193692531114744,DiD bootstrap
plm_main_effect,ablingua_vs_ablang2,A,primary,EXP-T080,EXP-T110,0.05732938978407118,-0.28472268669693557,0.3652856332284429,delta=MAE_p1-MAE_p2; negative => p1 better
plm_main_effect,ablingua_vs_ablang2,A,shadow,EXP-T080,EXP-T110,0.026382352099006558,-0.26845270910380803,0.3119175757890864,delta=MAE_p1-MAE_p2; negative => p1 better
plm_main_effect,ablingua_vs_esm2,A,primary,EXP-T080,EXP-T152,-0.22222535404158228,-0.45617762671576606,-0.003996200914736236,delta=MAE_p1-MAE_p2; negative => p1 better
plm_main_effect,ablingua_vs_esm2,A,shadow,EXP-T080,EXP-T152,-0.2624037471818335,-0.5623958269755046,0.050888195155579186,delta=MAE_p1-MAE_p2; negative => p1 better
plm_main_effect,ablang2_vs_esm2,A,primary,EXP-T110,EXP-T152,-0.27955474382565343,-0.6035288063096411,0.06213720050858855,delta=MAE_p1-MAE_p2; negative => p1 better
plm_main_effect,ablang2_vs_esm2,A,shadow,EXP-T110,EXP-T152,-0.2887860992808401,-0.6385010501484812,0.07131151858671206,delta=MAE_p1-MAE_p2; negative => p1 better
plm_main_effect,ablingua_vs_ablang2,B1,primary,EXP-T081,EXP-T113,0.436313111105083,0.06607683323047762,0.8099862958178108,delta=MAE_p1-MAE_p2; negative => p1 better
plm_main_effect,ablingua_vs_ablang2,B1,shadow,EXP-T081,EXP-T113,0.19674774452492041,-0.20010291970806357,0.5391486232663374,delta=MAE_p1-MAE_p2; negative => p1 better
plm_main_effect,ablingua_vs_esm2,B1,primary,EXP-T081,EXP-T153,0.07175247757523144,-0.18258684417347848,0.3343174192640515,delta=MAE_p1-MAE_p2; negative => p1 better
plm_main_effect,ablingua_vs_esm2,B1,shadow,EXP-T081,EXP-T153,0.04730980484573925,-0.2705307318840498,0.3456818415794843,delta=MAE_p1-MAE_p2; negative => p1 better
plm_main_effect,ablang2_vs_esm2,B1,primary,EXP-T113,EXP-T153,-0.3645606335298515,-0.6901759912938247,-0.04402724725228787,delta=MAE_p1-MAE_p2; negative => p1 better
plm_main_effect,ablang2_vs_esm2,B1,shadow,EXP-T113,EXP-T153,-0.14943793967918118,-0.4859834541509181,0.21136289172702347,delta=MAE_p1-MAE_p2; negative => p1 better
plm_main_effect,ablingua_vs_ablang2,B2,primary,EXP-T082,EXP-T115,0.0024980144736208,-0.31236167483859584,0.3247658023127799,delta=MAE_p1-MAE_p2; negative => p1 better
plm_main_effect,ablingua_vs_ablang2,B2,shadow,EXP-T082,EXP-T115,0.052288973772967304,-0.3091421886726662,0.40207850079477525,delta=MAE_p1-MAE_p2; negative => p1 better
plm_main_effect,ablingua_vs_esm2,B2,primary,EXP-T082,EXP-T154,-0.11736024456259644,-0.37148619522283105,0.12606344693972715,delta=MAE_p1-MAE_p2; negative => p1 better
plm_main_effect,ablingua_vs_esm2,B2,shadow,EXP-T082,EXP-T154,-0.014325459798177084,-0.34668844246569974,0.30735080507066437,delta=MAE_p1-MAE_p2; negative => p1 better
plm_main_effect,ablang2_vs_esm2,B2,primary,EXP-T115,EXP-T154,-0.11985825903621725,-0.45826305165702913,0.2061724079979788,delta=MAE_p1-MAE_p2; negative => p1 better
plm_main_effect,ablang2_vs_esm2,B2,shadow,EXP-T115,EXP-T154,-0.06661443357114438,-0.37813123184957625,0.23114608423209473,delta=MAE_p1-MAE_p2; negative => p1 better
plm_main_effect,ablingua_vs_ablang2,C,primary,EXP-T087,EXP-T121,0.212150102780189,-0.057384635784007924,0.5007445194103092,delta=MAE_p1-MAE_p2; negative => p1 better
plm_main_effect,ablingua_vs_ablang2,C,shadow,EXP-T087,EXP-T121,0.02434876524371861,-0.283544749978148,0.32247362784397454,delta=MAE_p1-MAE_p2; negative => p1 better
plm_main_effect,ablingua_vs_esm2,C,primary,EXP-T087,EXP-T155,-0.04781609994393812,-0.30429861633865923,0.20174255253356135,delta=MAE_p1-MAE_p2; negative => p1 better
plm_main_effect,ablingua_vs_esm2,C,shadow,EXP-T087,EXP-T155,-0.25923429889443483,-0.5286841839919856,0.0028187539842393383,delta=MAE_p1-MAE_p2; negative => p1 better
plm_main_effect,ablang2_vs_esm2,C,primary,EXP-T121,EXP-T155,-0.2599662027241271,-0.5511539612287356,0.0353663362102744,delta=MAE_p1-MAE_p2; negative => p1 better
plm_main_effect,ablang2_vs_esm2,C,shadow,EXP-T121,EXP-T155,-0.28358306413815343,-0.5585834350114987,-0.015473943286472046,delta=MAE_p1-MAE_p2; negative => p1 better
plm_main_effect,ablingua_vs_ablang2,D,primary,EXP-T151,EXP-T149,0.14941302640938464,-0.20085301104887032,0.4957050123332459,delta=MAE_p1-MAE_p2; negative => p1 better
plm_main_effect,ablingua_vs_ablang2,D,shadow,EXP-T151,EXP-T149,-0.03762765578281732,-0.3684747901963599,0.2951054484755903,delta=MAE_p1-MAE_p2; negative => p1 better
plm_main_effect,ablingua_vs_esm2,D,primary,EXP-T151,EXP-T156,0.12889428786289545,-0.1593122293919693,0.40875083546579605,delta=MAE_p1-MAE_p2; negative => p1 better
plm_main_effect,ablingua_vs_esm2,D,shadow,EXP-T151,EXP-T156,-0.0856672687295042,-0.4086811989913752,0.23618809558727127,delta=MAE_p1-MAE_p2; negative => p1 better
plm_main_effect,ablang2_vs_esm2,D,primary,EXP-T149,EXP-T156,-0.020518738546489196,-0.35114784476197797,0.3179174105326334,delta=MAE_p1-MAE_p2; negative => p1 better
plm_main_effect,ablang2_vs_esm2,D,shadow,EXP-T149,EXP-T156,-0.04803961294668688,-0.37006363456631886,0.2772019468707799,delta=MAE_p1-MAE_p2; negative => p1 better
