representation,plm_family,plm_source,content_mode,subdir,representation_context,paired_match_group,topology,annotation,annotation_mode,experiment_code,execution_status,reuse_source,raw_dim,config_path,primary_mae,shadow_mae,mean_ps,worst_ps,notes
ablang2_paired,ablang2,ablang2,frozen,ablang2,SEPARATE_CHAIN,ablang2,A,BASE,base,EXP-T192,COMPLETE,,480,experiments/configs/EXP-T192.yaml,3.1083966714364513,3.3224579375467185,3.215427304491585,3.3224579375467185,ASSET AUDIT: historical ablang2 bundle uses SEPARATE_CHAIN formats (<H>| / |<L>) with ablang2-paired checkpoint; name retains historical label.
ablang2_paired,ablang2,ablang2,frozen,ablang2,SEPARATE_CHAIN,ablang2,B1,BASE,base,EXP-T193,COMPLETE,,480,experiments/configs/EXP-T193.yaml,3.3245756361219616,3.1927486937723044,3.258662164947133,3.3245756361219616,ASSET AUDIT: historical ablang2 bundle uses SEPARATE_CHAIN formats (<H>| / |<L>) with ablang2-paired checkpoint; name retains historical label.
ablang2_paired,ablang2,ablang2,frozen,ablang2,SEPARATE_CHAIN,ablang2,B2,BASE,base,EXP-T194,COMPLETE,,480,experiments/configs/EXP-T194.yaml,3.1978090780752675,3.3904436605947987,3.294126369335033,3.3904436605947987,ASSET AUDIT: historical ablang2 bundle uses SEPARATE_CHAIN formats (<H>| / |<L>) with ablang2-paired checkpoint; name retains historical label.
ablang2_paired,ablang2,ablang2,frozen,ablang2,SEPARATE_CHAIN,ablang2,C,BASE,base,EXP-T195,COMPLETE,,480,experiments/configs/EXP-T195.yaml,3.0005480448404946,3.2798375494686174,3.140192797154556,3.2798375494686174,ASSET AUDIT: historical ablang2 bundle uses SEPARATE_CHAIN formats (<H>| / |<L>) with ablang2-paired checkpoint; name retains historical label.
ablang2_paired,ablang2,ablang2,frozen,ablang2,SEPARATE_CHAIN,ablang2,D,BASE,base,EXP-T196,COMPLETE,,480,experiments/configs/EXP-T196.yaml,3.026977798085154,3.025294127287688,3.0261359626864213,3.026977798085154,ASSET AUDIT: historical ablang2 bundle uses SEPARATE_CHAIN formats (<H>| / |<L>) with ablang2-paired checkpoint; name retains historical label.
ablang2_paired,ablang2,ablang2,frozen,ablang2,SEPARATE_CHAIN,ablang2,A,IMGT,imgt,EXP-T197,COMPLETE,,480,experiments/configs/EXP-T197.yaml,3.1239954395058716,3.3498072447600187,3.236901342132945,3.3498072447600187,ASSET AUDIT: historical ablang2 bundle uses SEPARATE_CHAIN formats (<H>| / |<L>) with ablang2-paired checkpoint; name retains historical label.
ablang2_paired,ablang2,ablang2,frozen,ablang2,SEPARATE_CHAIN,ablang2,B1,IMGT,imgt,EXP-T198,COMPLETE,,480,experiments/configs/EXP-T198.yaml,3.093828507411627,3.4031589884816866,3.248493747946657,3.4031589884816866,ASSET AUDIT: historical ablang2 bundle uses SEPARATE_CHAIN formats (<H>| / |<L>) with ablang2-paired checkpoint; name retains historical label.
ablang2_paired,ablang2,ablang2,frozen,ablang2,SEPARATE_CHAIN,ablang2,B2,IMGT,imgt,EXP-T199,COMPLETE,,480,experiments/configs/EXP-T199.yaml,3.2303553216251326,3.249221519187645,3.2397884204063887,3.249221519187645,ASSET AUDIT: historical ablang2 bundle uses SEPARATE_CHAIN formats (<H>| / |<L>) with ablang2-paired checkpoint; name retains historical label.
ablang2_paired,ablang2,ablang2,frozen,ablang2,SEPARATE_CHAIN,ablang2,C,IMGT,imgt,EXP-T200,COMPLETE,,480,experiments/configs/EXP-T200.yaml,3.2003595799575617,3.45411432525258,3.327236952605071,3.45411432525258,ASSET AUDIT: historical ablang2 bundle uses SEPARATE_CHAIN formats (<H>| / |<L>) with ablang2-paired checkpoint; name retains historical label.
ablang2_paired,ablang2,ablang2,frozen,ablang2,SEPARATE_CHAIN,ablang2,D,IMGT,imgt,EXP-T201,COMPLETE,,480,experiments/configs/EXP-T201.yaml,3.264004601372613,3.3063135971257718,3.285159099249192,3.3063135971257718,ASSET AUDIT: historical ablang2 bundle uses SEPARATE_CHAIN formats (<H>| / |<L>) with ablang2-paired checkpoint; name retains historical label.
ablang2_paired,ablang2,ablang2,frozen,ablang2,SEPARATE_CHAIN,ablang2,A,REGION,region,EXP-T202,COMPLETE,,480,experiments/configs/EXP-T202.yaml,3.0853090874942732,3.181393446745696,3.1333512671199846,3.181393446745696,ASSET AUDIT: historical ablang2 bundle uses SEPARATE_CHAIN formats (<H>| / |<L>) with ablang2-paired checkpoint; name retains historical label.
ablang2_paired,ablang2,ablang2,frozen,ablang2,SEPARATE_CHAIN,ablang2,B1,REGION,region,EXP-T203,COMPLETE,,480,experiments/configs/EXP-T203.yaml,3.0563618459819275,3.3485583081657504,3.202460077073839,3.3485583081657504,ASSET AUDIT: historical ablang2 bundle uses SEPARATE_CHAIN formats (<H>| / |<L>) with ablang2-paired checkpoint; name retains historical label.
ablang2_paired,ablang2,ablang2,frozen,ablang2,SEPARATE_CHAIN,ablang2,B2,REGION,region,EXP-T204,COMPLETE,,480,experiments/configs/EXP-T204.yaml,3.2124495565155406,3.075349148408866,3.1438993524622036,3.2124495565155406,ASSET AUDIT: historical ablang2 bundle uses SEPARATE_CHAIN formats (<H>| / |<L>) with ablang2-paired checkpoint; name retains historical label.
ablang2_paired,ablang2,ablang2,frozen,ablang2,SEPARATE_CHAIN,ablang2,C,REGION,region,EXP-T205,COMPLETE,,480,experiments/configs/EXP-T205.yaml,3.004970974392361,2.9838466408811968,2.9944088076367787,3.004970974392361,ASSET AUDIT: historical ablang2 bundle uses SEPARATE_CHAIN formats (<H>| / |<L>) with ablang2-paired checkpoint; name retains historical label.
ablang2_paired,ablang2,ablang2,frozen,ablang2,SEPARATE_CHAIN,ablang2,D,REGION,region,EXP-T206,COMPLETE,,480,experiments/configs/EXP-T206.yaml,3.0702671474880643,3.136174119549033,3.1032206335185486,3.136174119549033,ASSET AUDIT: historical ablang2 bundle uses SEPARATE_CHAIN formats (<H>| / |<L>) with ablang2-paired checkpoint; name retains historical label.
