model_a,model_b,target,scheme,split,delta_mae,ci95_lo,ci95_hi,sign
EXP-H089,EXP-H088,HIC,primary,test,-0.06888372407136142,-0.13883514778937817,0.0011545665458395293,delta=MAE_a-MAE_b; negative => a better
EXP-H089,EXP-H088,HIC,shadow,test,-0.07723470141563894,-0.1352210486953642,-0.020949851595325267,delta=MAE_a-MAE_b; negative => a better
EXP-H090,EXP-H071,HIC,primary,test,-0.07085899555535967,-0.13523347576164896,-0.007360631392914589,delta=MAE_a-MAE_b; negative => a better
EXP-H090,EXP-H071,HIC,shadow,test,0.010507126984772826,-0.0495556527749992,0.07420532805360379,delta=MAE_a-MAE_b; negative => a better
EXP-H091,EXP-H071,HIC,primary,test,-0.005484364686188902,-0.06318603810675365,0.05301227161854866,delta=MAE_a-MAE_b; negative => a better
EXP-H091,EXP-H071,HIC,shadow,test,0.04391200656655389,-0.0009753499242994785,0.08747395160227632,delta=MAE_a-MAE_b; negative => a better
EXP-H092,EXP-H071,HIC,primary,test,0.009484801210003176,-0.034670704805115186,0.05117863877496607,delta=MAE_a-MAE_b; negative => a better
EXP-H092,EXP-H071,HIC,shadow,test,0.040941895002200225,-0.005509531271899157,0.08964006682501893,delta=MAE_a-MAE_b; negative => a better
EXP-H093,EXP-H071,HIC,primary,test,-0.03004776057490599,-0.09058483031355306,0.026802938458948978,delta=MAE_a-MAE_b; negative => a better
EXP-H093,EXP-H071,HIC,shadow,test,0.030922535036816988,-0.024822650059358565,0.09621491066143825,delta=MAE_a-MAE_b; negative => a better
EXP-H093,EXP-H090,HIC,primary,test,0.04081123498045368,-0.006923927590876527,0.08779593297346155,delta=MAE_a-MAE_b; negative => a better
EXP-H093,EXP-H090,HIC,shadow,test,0.020415408052044164,-0.02843523494814643,0.07140678038067279,delta=MAE_a-MAE_b; negative => a better
EXP-H093,EXP-H091,HIC,primary,test,-0.024563395888717088,-0.07484514922507013,0.026872884085148922,delta=MAE_a-MAE_b; negative => a better
EXP-H093,EXP-H091,HIC,shadow,test,-0.0129894715297369,-0.06057653928686074,0.042185027316764455,delta=MAE_a-MAE_b; negative => a better
EXP-H093,EXP-H092,HIC,primary,test,-0.039532561784909166,-0.09036746534889142,0.01109212240642949,delta=MAE_a-MAE_b; negative => a better
EXP-H093,EXP-H092,HIC,shadow,test,-0.010019359965383237,-0.0632728852507509,0.04603217077490718,delta=MAE_a-MAE_b; negative => a better
