representation,annotation,topology,delta_P,delta_S,delta_mean,both_improve,code_x,code_sep
esm1b,IMGT,JOINT,-0.00521290513026873,0.0276728799608017,0.011229987415266596,False,EXP-H245,EXP-H241
esm1b,IMGT,REG-SEP,0.06067600725903921,-0.018179220929558038,0.021248393164740698,False,EXP-H249,EXP-H241
esm1b,IMGT,XREG,0.01337787614045316,-0.002292051527235328,0.005542912306608971,False,EXP-H253,EXP-H241
esm1b,IMGT,FUSE,0.01681848756766602,-0.01087891901275262,0.002969784277456755,False,EXP-H257,EXP-H241
esm1b,REGION,JOINT,0.024266080361825426,0.0012553398697464635,0.012760710115785834,False,EXP-H246,EXP-H242
esm1b,REGION,REG-SEP,0.00851296469606,-0.033671380125446015,-0.01257920771469312,False,EXP-H250,EXP-H242
esm1b,REGION,XREG,-0.022611856060263502,0.010980774114161429,-0.005815540973051148,False,EXP-H254,EXP-H242
esm1b,REGION,FUSE,-0.02965470961582506,0.013651165432400192,-0.008001772091712489,False,EXP-H258,EXP-H242
esm1b,FULL,JOINT,-0.04808390219417624,-0.023018694559733044,-0.0355512983769547,True,EXP-H247,EXP-H243
esm1b,FULL,REG-SEP,-0.09554679427912205,-0.007943450174213829,-0.05174512222666805,True,EXP-H251,EXP-H243
esm1b,FULL,XREG,-0.08215163332150299,0.002219798994653077,-0.03996591716342501,False,EXP-H255,EXP-H243
esm1b,FULL,FUSE,-0.0700185893023455,0.014277323922993301,-0.027870632689676156,False,EXP-H259,EXP-H243
esm2,BASE,JOINT,0.005951210210352831,0.028924967542106717,0.017438088876229774,False,EXP-H264,EXP-H260
esm2,BASE,REG-SEP,-0.0066240504700459946,-0.004808915314850948,-0.005716482892448416,True,EXP-H268,EXP-H260
esm2,BASE,XREG,0.004158170299765507,-0.006367448170979784,-0.001104638935607194,False,EXP-H272,EXP-H260
esm2,BASE,FUSE,0.016897351158989715,0.004277635221128118,0.010587493190058916,False,EXP-H276,EXP-H260
esm2,IMGT,JOINT,-0.045824637895748976,-0.03061992861900803,-0.03822228325737853,True,EXP-H265,EXP-H261
esm2,IMGT,REG-SEP,-0.043903171539306673,0.014820030447877386,-0.0145415705457147,False,EXP-H269,EXP-H261
esm2,IMGT,XREG,-0.004981197781033009,0.03083106071566344,0.012924931467315215,False,EXP-H273,EXP-H261
esm2,IMGT,FUSE,-0.04607536118118838,0.043782110379065875,-0.001146625401061252,False,EXP-H277,EXP-H261
esm2,REGION,JOINT,-0.012127879390010143,-0.019672055326862115,-0.015899967358436184,True,EXP-H266,EXP-H262
esm2,REGION,REG-SEP,0.07688248057424285,-0.017144996360496267,0.02986874210687329,False,EXP-H270,EXP-H262
esm2,REGION,XREG,0.028508709518997755,-0.013395213280195106,0.007556748119401213,False,EXP-H274,EXP-H262
esm2,REGION,FUSE,0.027519574153570536,0.022185144542176016,0.02485235934787322,False,EXP-H278,EXP-H262
esm2,FULL,JOINT,0.017871968775619695,-0.005332626342773539,0.006269671216422967,False,EXP-H267,EXP-H263
esm2,FULL,REG-SEP,0.0026866351940013633,-0.027212582482231906,-0.012262973644115327,False,EXP-H271,EXP-H263
esm2,FULL,XREG,0.009401145181538229,-0.007618124361391421,0.0008915104100732929,False,EXP-H275,EXP-H263
esm2,FULL,FUSE,0.018887881620430647,-0.025141576837610313,-0.0031268476085899444,False,EXP-H279,EXP-H263
esmc600m,BASE,JOINT,0.0015745692782931364,-0.005050256611388526,-0.0017378436665477226,False,EXP-H284,EXP-H280
esmc600m,BASE,REG-SEP,0.014158223422957028,-0.024785776208948396,-0.005313776392995684,False,EXP-H288,EXP-H280
esmc600m,BASE,XREG,0.020622647085307477,0.0032054412276656397,0.011914044156486558,False,EXP-H292,EXP-H280
esmc600m,BASE,FUSE,0.011074001736111061,-0.0006696796652712056,0.005202161035419928,False,EXP-H296,EXP-H280
esmc600m,IMGT,JOINT,0.005870827521807009,-0.007527559492323088,-0.0008283659852580394,False,EXP-H285,EXP-H281
esmc600m,IMGT,REG-SEP,0.08107760017300836,0.016360410902235167,0.04871900553762176,False,EXP-H289,EXP-H281
esmc600m,IMGT,XREG,0.004463807235529527,-0.03183478009259255,-0.013685486428531513,False,EXP-H293,EXP-H281
esmc600m,IMGT,FUSE,0.03870931154415935,0.009870134518470186,0.024289723031314825,False,EXP-H297,EXP-H281
esmc600m,REGION,JOINT,-0.03363292124241957,0.030212151421440958,-0.0017103849104893598,False,EXP-H286,EXP-H282
esmc600m,REGION,REG-SEP,-0.02591099576596856,0.018959589593204318,-0.0034757030863821203,False,EXP-H290,EXP-H282
esmc600m,REGION,XREG,-0.01674494335975163,0.01741418198008593,0.0003346193101672057,False,EXP-H294,EXP-H282
esmc600m,REGION,FUSE,-0.035409035482524276,-0.008143301033679384,-0.021776168258101802,True,EXP-H298,EXP-H282
esmc600m,FULL,JOINT,-0.018316091184262806,-0.003022721514289728,-0.010669406349276267,True,EXP-H287,EXP-H283
esmc600m,FULL,REG-SEP,0.013028813538727979,0.0004790922565224287,0.006753952897625259,False,EXP-H291,EXP-H283
esmc600m,FULL,XREG,0.00859260836942699,0.00344058006192427,0.006016594215675686,False,EXP-H295,EXP-H283
esmc600m,FULL,FUSE,-0.0012353717191718738,0.011897437766746122,0.005331033023787235,False,EXP-H299,EXP-H283
currab_unpaired,BASE,JOINT,-0.004725635575659637,-0.04058113489033255,-0.022653385232996204,True,EXP-H304,EXP-H300
currab_unpaired,BASE,REG-SEP,-0.013691348746970977,-0.05482852017437967,-0.03425993446067532,True,EXP-H308,EXP-H300
currab_unpaired,BASE,XREG,-0.009167980523757002,-0.013451365482659905,-0.011309673003208509,True,EXP-H312,EXP-H300
currab_unpaired,BASE,FUSE,-0.013316395559428651,-0.03418104454323101,-0.023748720051329886,True,EXP-H316,EXP-H300
currab_unpaired,IMGT,JOINT,-0.025654214552890964,0.009240948005958871,-0.008206633273466046,False,EXP-H305,EXP-H301
currab_unpaired,IMGT,REG-SEP,-0.013211812525619648,-0.02167519538785201,-0.017443503956735773,True,EXP-H309,EXP-H301
currab_unpaired,IMGT,XREG,-0.004953252910095851,-0.03063203750421961,-0.01779264520715773,True,EXP-H313,EXP-H301
currab_unpaired,IMGT,FUSE,-0.02028828317147713,-0.01074001641921063,-0.015514149795343934,True,EXP-H317,EXP-H301
currab_unpaired,REGION,JOINT,-0.0017170125231331657,-0.04156956576123638,-0.02164328914218483,True,EXP-H306,EXP-H302
currab_unpaired,REGION,REG-SEP,-0.0016134042151180195,-0.011243991993091673,-0.006428698104104846,True,EXP-H310,EXP-H302
currab_unpaired,REGION,XREG,-0.00901198342405718,-0.0385969476582092,-0.023804465541133246,True,EXP-H314,EXP-H302
currab_unpaired,REGION,FUSE,0.013962751412097352,-0.025881425410141046,-0.005959336999021847,False,EXP-H318,EXP-H302
currab_unpaired,FULL,JOINT,0.061396815123381576,-0.011862625451735442,0.024767094835823178,False,EXP-H307,EXP-H303
currab_unpaired,FULL,REG-SEP,0.016424274397485172,-0.002633156011134008,0.006895559193175638,False,EXP-H311,EXP-H303
currab_unpaired,FULL,XREG,0.022164771091790936,-0.011819562982629872,0.005172604054580532,False,EXP-H315,EXP-H303
currab_unpaired,FULL,FUSE,0.003966528009485382,0.008088575857657099,0.006027551933571296,False,EXP-H319,EXP-H303
currab_paired,BASE,JOINT,0.0057094720440146185,-0.032387458895459575,-0.013338993425722423,False,EXP-H324,EXP-H320
currab_paired,BASE,REG-SEP,0.02324792833681466,-0.0206198455433787,0.0013140413967180908,False,EXP-H328,EXP-H320
currab_paired,BASE,XREG,0.001667512823034234,0.006069437050525095,0.0038684749367796645,False,EXP-H332,EXP-H320
currab_paired,BASE,FUSE,0.015053570453031573,-0.0181941815599983,-0.0015703055534832533,False,EXP-H336,EXP-H320
currab_paired,IMGT,JOINT,0.05783851293869968,0.00627546183268235,0.03205698738569096,False,EXP-H325,EXP-H321
currab_paired,IMGT,REG-SEP,-0.008902829488118491,-0.020587910452006808,-0.014745369970062705,True,EXP-H329,EXP-H321
currab_paired,IMGT,XREG,0.0030594037844812183,0.01918175219312135,0.011120577988801283,False,EXP-H333,EXP-H321
currab_paired,IMGT,FUSE,0.010663307896366825,-0.012574946321087022,-0.0009558192123602094,False,EXP-H337,EXP-H321
currab_paired,REGION,JOINT,0.019597138063407127,0.007894129293936292,0.013745633678671765,False,EXP-H326,EXP-H322
currab_paired,REGION,REG-SEP,0.005669234570161663,-0.0031722999855324785,0.0012484672923146478,False,EXP-H330,EXP-H322
currab_paired,REGION,XREG,-0.004218600049430976,0.013961365217044053,0.004871382583806594,False,EXP-H334,EXP-H322
currab_paired,REGION,FUSE,0.009614614934096988,0.004269675360785596,0.006942145147441403,False,EXP-H338,EXP-H322
currab_paired,FULL,JOINT,-0.01792341406551412,-0.010140787995891798,-0.01403210103070296,True,EXP-H327,EXP-H323
currab_paired,FULL,REG-SEP,-0.020331084263177535,0.022679399984854243,0.0011741578608384096,False,EXP-H331,EXP-H323
currab_paired,FULL,XREG,-0.010955128234109712,-0.010402141429759815,-0.010678634831934763,True,EXP-H335,EXP-H323
currab_paired,FULL,FUSE,-0.013143214331732933,0.0027595396630558655,-0.005191837334338478,False,EXP-H339,EXP-H323
