representation,topology,annotation,delta_primary,delta_shadow,delta_mean,code_x,code_base,scheme_note
ablang1,C,IMGT,-0.041009997144158206,0.03835600393789784,-0.0013269966031299596,EXP-T239,EXP-T234,
ablang1,C,REGION,-0.1447061138388559,-0.06672795613606786,-0.10571703498746166,EXP-T244,EXP-T234,
ablang1,C,FULL,-0.16859923468695825,-0.10712030198838951,-0.13785976833767366,EXP-T157,EXP-T234,
ablang1,C,INTERACTION_FULL_IMGT_REGION,0.01711687629605585,,,EXP-T157,EXP-T234,primary
ablang1,C,INTERACTION_FULL_IMGT_REGION,,-0.0787483497902195,,EXP-T157,EXP-T234,shadow
ablang1,C,INTERACTION_FULL_IMGT_REGION,,,-0.030815736747082045,EXP-T157,EXP-T234,mean
ablang1,D,IMGT,-0.18432226298767818,0.006199047889238418,-0.08906160754921943,EXP-T240,EXP-T235,
ablang1,D,REGION,-0.12336066917136845,0.038170661455319,-0.042595003858024505,EXP-T245,EXP-T235,
ablang1,D,FULL,0.019840734976309893,0.05534975028332356,0.03759524262981673,EXP-T230,EXP-T235,
ablang1,D,INTERACTION_FULL_IMGT_REGION,0.3275236671353565,,,EXP-T230,EXP-T235,primary
ablang1,D,INTERACTION_FULL_IMGT_REGION,,0.010980040938766145,,EXP-T230,EXP-T235,shadow
ablang1,D,INTERACTION_FULL_IMGT_REGION,,,0.16925185403706067,EXP-T230,EXP-T235,mean
esm1b,A,IMGT,-0.19877181818455814,0.20299388744212976,0.002111034628785813,EXP-T255,EXP-T250,
esm1b,A,REGION,-0.19151282604829767,0.042848822511272644,-0.07433200176851251,EXP-T260,EXP-T250,
esm1b,A,FULL,-0.1977548952455872,0.07512634183153688,-0.06131427670702516,EXP-T246,EXP-T250,
esm1b,A,INTERACTION_FULL_IMGT_REGION,0.1925297489872686,,,EXP-T246,EXP-T250,primary
esm1b,A,INTERACTION_FULL_IMGT_REGION,,-0.17071636812186552,,EXP-T246,EXP-T250,shadow
esm1b,A,INTERACTION_FULL_IMGT_REGION,,,0.010906690432701538,EXP-T246,EXP-T250,mean
esm1b,B1,IMGT,0.014903127411265427,0.1827966901991105,0.09884990880518796,EXP-T256,EXP-T251,
esm1b,B1,REGION,0.12886167455602626,0.09064935754846681,0.1097555160522461,EXP-T261,EXP-T251,
esm1b,B1,FULL,0.012932271133234696,0.09412904433262259,0.05353065773292798,EXP-T247,EXP-T251,
esm1b,B1,INTERACTION_FULL_IMGT_REGION,-0.130832530834057,,,EXP-T247,EXP-T251,primary
esm1b,B1,INTERACTION_FULL_IMGT_REGION,,-0.1793170034149547,,EXP-T247,EXP-T251,shadow
esm1b,B1,INTERACTION_FULL_IMGT_REGION,,,-0.15507476712450607,EXP-T247,EXP-T251,mean
esm1b,B2,IMGT,-0.08238356790424906,0.0024613274468308077,-0.039961120228709124,EXP-T257,EXP-T252,
esm1b,B2,REGION,-0.2379717885712047,-0.026186295497565126,-0.13207904203438492,EXP-T262,EXP-T252,
esm1b,B2,FULL,-0.12491673599054787,-0.05063699792932663,-0.08777686695993747,EXP-T248,EXP-T252,
esm1b,B2,INTERACTION_FULL_IMGT_REGION,0.1954386204849059,,,EXP-T248,EXP-T252,primary
esm1b,B2,INTERACTION_FULL_IMGT_REGION,,-0.026912029878592314,,EXP-T248,EXP-T252,shadow
esm1b,B2,INTERACTION_FULL_IMGT_REGION,,,0.08426329530315657,EXP-T248,EXP-T252,mean
esm1b,C,IMGT,0.21442022441345943,0.18967901630166129,0.20204962035756058,EXP-T258,EXP-T253,
esm1b,C,REGION,0.2140671765362776,0.12066306596920784,0.16736512125274272,EXP-T263,EXP-T253,
esm1b,C,FULL,0.14869397952232832,-0.04313975204656151,0.05277711373788385,EXP-T158,EXP-T253,
esm1b,C,INTERACTION_FULL_IMGT_REGION,-0.2797934214274087,,,EXP-T158,EXP-T253,primary
esm1b,C,INTERACTION_FULL_IMGT_REGION,,-0.35348183431743063,,EXP-T158,EXP-T253,shadow
esm1b,C,INTERACTION_FULL_IMGT_REGION,,,-0.31663762787241945,EXP-T158,EXP-T253,mean
esm1b,D,IMGT,0.010628735577618897,-0.005862341986762054,0.0023831967954279776,EXP-T259,EXP-T254,
esm1b,D,REGION,0.013989177750952653,-0.020390781355493104,-0.0032008018022700035,EXP-T264,EXP-T254,
esm1b,D,FULL,-0.048179956130039336,0.14364386193546252,0.04773195290271204,EXP-T249,EXP-T254,
esm1b,D,INTERACTION_FULL_IMGT_REGION,-0.07279786945861089,,,EXP-T249,EXP-T254,primary
