annotation,topology,rep1,rep2,scheme,did,ci95_lo,ci95_hi,note
BASE,B1,ablang1,esm2,shadow,-0.1547078968566141,-0.443722786726775,0.1341387972419645,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang1,esmc600m,primary,-0.05074545777874229,-0.26702559141465176,0.16842756801181352,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang1,esmc600m,shadow,0.10036572114920911,-0.14168728251516077,0.3582815005455487,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang1,currab_paired,primary,-0.4079116538718895,-0.7461546544675474,-0.0849454444131736,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang1,currab_paired,shadow,-0.2867776611704885,-0.5813886795514897,0.005345874951209332,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang1,currab_unpaired,primary,-0.12441658679349923,-0.37575577865412213,0.11997543146580796,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang1,currab_unpaired,shadow,0.014153798421223959,-0.26112897248915673,0.2847823254856061,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,esm1b,esm2,primary,-0.1248911869378738,-0.40506890732565054,0.14437940267868982,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,esm1b,esm2,shadow,-0.2119986922652633,-0.495077778969282,0.09024264429822332,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,esm1b,esmc600m,primary,-0.15125696158703467,-0.3670791319858881,0.07685991923014322,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,esm1b,esmc600m,shadow,0.0430749257405599,-0.2379507235538812,0.34384468396504714,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,esm1b,currab_paired,primary,-0.5084231576801818,-0.8598165512084961,-0.1424209541744658,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,esm1b,currab_paired,shadow,-0.3440684565791377,-0.6159010987222931,-0.06826734896059415,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,esm1b,currab_unpaired,primary,-0.2249280906017916,-0.4699688887890474,0.03430925416357696,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,esm1b,currab_unpaired,shadow,-0.04313699698742525,-0.3191113283604752,0.2351619379020023,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,esm2,esmc600m,primary,-0.02636577464916088,-0.304708159411395,0.2675586723986965,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,esm2,esmc600m,shadow,0.25507361800582323,-0.07041588948096758,0.5836972248407052,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,esm2,currab_paired,primary,-0.383531970742308,-0.7882326738333997,0.011406619460494476,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,esm2,currab_paired,shadow,-0.13206976431387438,-0.47096533245510525,0.20298156031855802,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,esm2,currab_unpaired,primary,-0.10003690366391782,-0.4315566828221451,0.25001895810350944,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,esm2,currab_unpaired,shadow,0.16886169527783806,-0.1276631502457607,0.4905374615280713,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,esmc600m,currab_paired,primary,-0.35716619609314715,-0.6067139802155671,-0.10743711259629987,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,esmc600m,currab_paired,shadow,-0.3871433823196976,-0.7099759820066852,-0.09099268677793897,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,esmc600m,currab_unpaired,primary,-0.07367112901475695,-0.23555446789588458,0.09395799165890538,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,esmc600m,currab_unpaired,shadow,-0.08621192272798514,-0.3497934359091299,0.16390645356825842,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,currab_paired,currab_unpaired,primary,0.2834950670783902,0.019930866618215304,0.5336099130135994,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,currab_paired,currab_unpaired,shadow,0.3009314595917124,0.006564814367412008,0.5896427354694883,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,scratch,ablingua,primary,-0.08007489899058401,-0.40184566179911296,0.22482517442585448,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,scratch,ablingua,shadow,-0.0495695420253424,-0.36881113170105734,0.26041822197996495,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B2,scratch,ablang2_paired,primary,-0.12809233017909674,-0.549092545332732,0.2931530181272531,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
