number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,state
14,0.5153663853774836,2026-08-29 11:03:29.754751,2026-08-29 11:03:33.692082,0 days 00:00:03.937331,0.8437513070070772,0.5818209323833301,4,10,3.903417583796874e-05,0.5620812533768056,0.5974700424693208,COMPLETE
15,0.5261104354858398,2026-08-29 11:03:33.837729,2026-08-29 11:03:36.521804,0 days 00:00:02.684075,0.35986931527073096,1.124362049095999,3,25,0.0035403124014031727,0.04077450524071546,0.7581963638937873,COMPLETE
16,0.5509377099496348,2026-08-29 11:03:36.664223,2026-08-29 11:03:40.967579,0 days 00:00:04.303356,0.9164801386848573,0.31451422939038104,5,18,10.961164178915908,0.14651537985613777,0.9031380913551502,COMPLETE
17,0.5262508933926805,2026-08-29 11:03:41.122680,2026-08-29 11:03:44.530712,0 days 00:00:03.408032,0.7232097831873207,0.9915155365502835,4,9,0.04337207907263229,0.00765803395447657,0.6651003092200767,COMPLETE
18,0.5742385466304826,2026-08-29 11:03:44.682080,2026-08-29 11:03:47.372293,0 days 00:00:02.690213,0.610730929087323,1.4550386736280951,3,25,0.0008448628811703399,280.58604761736916,0.7337703632159027,COMPLETE
19,0.5210323004075038,2026-08-29 11:03:47.575042,2026-08-29 11:03:51.035606,0 days 00:00:03.460564,0.7670621078199055,0.26139557797549035,2,19,0.012439328366123733,0.766146517898533,0.8347801743558125,COMPLETE
20,0.5211480847582405,2026-08-29 11:03:51.256841,2026-08-29 11:03:55.038237,0 days 00:00:03.781396,0.9308766377798278,0.8141647327637452,5,30,7.204354336928277e-05,0.08300572543251454,0.7975642999423681,COMPLETE
21,0.5066925291367519,2026-08-29 11:03:55.193788,2026-08-29 11:03:58.976197,0 days 00:00:03.782409,0.5818338403463077,0.5013038677339063,5,13,0.0005258562721035909,0.0015435262824816727,0.6527254206353169,COMPLETE
22,0.5056963578212409,2026-08-29 11:03:59.176227,2026-08-29 11:04:03.444997,0 days 00:00:04.268770,0.5963109818267341,0.3342353729575923,5,12,0.001358204023356765,0.001138021185081253,0.6284861998713698,COMPLETE
23,0.5605339613549504,2026-08-29 11:04:03.624258,2026-08-29 11:04:07.825839,0 days 00:00:04.201581,0.5648125141992523,0.32046254394081153,5,6,0.0017186846026895405,0.0017487867710812561,0.6193512298475439,COMPLETE
24,0.5182680694674268,2026-08-29 11:04:07.951735,2026-08-29 11:04:11.724115,0 days 00:00:03.772380,0.6587765101963641,0.33675097425521316,5,12,0.005145639728518254,0.0011568234758785004,0.6657588091516594,COMPLETE
25,0.5235378960032522,2026-08-29 11:04:11.877151,2026-08-29 11:04:16.203983,0 days 00:00:04.326832,0.4182361367268035,0.09660297580710583,5,12,0.06131568354788002,0.006579359083081759,0.556412147714533,COMPLETE
26,0.5318079578729322,2026-08-29 11:04:16.336991,2026-08-29 11:04:19.643665,0 days 00:00:03.306674,0.8026223493975434,1.3020986613566703,5,18,0.18367059272976746,0.0010331449866586237,0.5965993521555046,COMPLETE
27,0.5204988899701907,2026-08-29 11:04:19.885936,2026-08-29 11:04:23.585726,0 days 00:00:03.699790,0.5649652133554045,0.5118667261034299,4,7,2.8382049364312705,0.004520844216996327,0.6372406966549209,COMPLETE
28,0.5122889141506618,2026-08-29 11:04:23.801113,2026-08-29 11:04:26.856657,0 days 00:00:03.055544,0.672161501086346,0.8503197200249346,5,26,8.784339054025779e-05,0.012193663825045026,0.6995286888426828,COMPLETE
29,0.5184189156426323,2026-08-29 11:04:26.993347,2026-08-29 11:04:29.911986,0 days 00:00:02.918639,0.5360824727192224,0.41885128175943975,5,12,0.000972645085190499,1.9077962344455857,0.5908672652803427,COMPLETE
30,0.5601568648726851,2026-08-29 11:04:30.086960,2026-08-29 11:04:32.910036,0 days 00:00:02.823076,0.4432023474167781,0.7544172839200023,4,6,2.159194120811522e-05,0.028970249526753287,0.6550494474145846,COMPLETE
31,0.516337281356623,2026-08-29 11:04:33.057218,2026-08-29 11:04:36.086276,0 days 00:00:03.029058,0.539034735223698,2.427261608161486,4,9,0.012239787651250132,0.011340620228682916,0.7245271045769893,COMPLETE
32,0.526997144345884,2026-08-29 11:04:36.394761,2026-08-29 11:04:40.351427,0 days 00:00:03.956666,0.510014972660895,0.18171110187019918,5,16,0.0005192045308804198,0.29735690509853463,0.8897771736223502,COMPLETE
33,0.5050521535520199,2026-08-29 11:04:40.576772,2026-08-29 11:04:43.837014,0 days 00:00:03.260242,0.5691277924102212,0.7353273516421099,2,13,0.00329362026180475,0.07034266847154592,0.6905471476138714,COMPLETE
34,0.5152537173047477,2026-08-29 11:04:44.036285,2026-08-29 11:04:46.993540,0 days 00:00:02.957255,0.579726837042733,0.7284787239607693,2,13,0.002183476639778194,0.06656650901949775,0.6843235159005066,COMPLETE
35,0.5196384585345233,2026-08-29 11:04:47.139833,2026-08-29 11:04:51.092400,0 days 00:00:03.952567,0.6676216941944759,0.49913074870604157,3,11,0.009555142332204256,0.0036880795063809215,0.6403191312086417,COMPLETE
36,0.506581430270348,2026-08-29 11:04:51.288858,2026-08-29 11:04:55.107340,0 days 00:00:03.818482,0.47614828124208675,0.006209711141745913,2,20,0.023408294538320773,0.001916296835427217,0.7723643096570656,COMPLETE
37,0.518963602843108,2026-08-29 11:04:55.303892,2026-08-29 11:04:58.864012,0 days 00:00:03.560120,0.46164863743697776,0.040586779968073694,2,27,0.24146394292137702,2.4179371555683584,0.776745217014755,COMPLETE
38,0.5158705106664586,2026-08-29 11:04:59.008229,2026-08-29 11:05:02.215502,0 days 00:00:03.207273,0.41106692091734826,0.17978790748788886,2,20,0.02570832596958604,11.825631368067047,0.721827667305878,COMPLETE
39,0.5067164614171157,2026-08-29 11:05:02.356749,2026-08-29 11:05:05.802563,0 days 00:00:03.445814,0.46684583638508775,0.9250360574566958,2,17,0.0236059630811717,0.025026584527941858,0.769325924199717,COMPLETE
