number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_depth,params_l2_leaf_reg,params_random_strength,params_rsm,state
13,0.49562337643202997,2026-08-29 11:12:17.589281,2026-08-29 11:12:38.738207,0 days 00:00:21.148926,0.8778638062599977,6,0.060607871222563156,0.328538692806907,0.45482944523938496,COMPLETE
14,0.4899582522036801,2026-08-29 11:12:38.860380,2026-08-29 11:12:45.831825,0 days 00:00:06.971445,0.07631768799013333,4,0.02973843824539276,0.27712334582275644,0.7561115264085033,COMPLETE
15,0.5069983132867587,2026-08-29 11:12:45.974912,2026-08-29 11:13:36.734427,0 days 00:00:50.759515,0.42235649094717986,7,0.1735209539398991,0.6206502749510565,0.8967900133805202,COMPLETE
16,0.48431712364825885,2026-08-29 11:13:36.860794,2026-08-29 11:13:46.166086,0 days 00:00:09.305292,1.6677310047678298,3,0.183442149415183,0.8115306569013742,0.6091362535478906,COMPLETE
17,0.48581144852277786,2026-08-29 11:13:46.353228,2026-08-29 11:13:58.067738,0 days 00:00:11.714510,1.1359252062508949,5,2.9108692580438196,0.20892826417824173,0.7450797977909442,COMPLETE
18,0.48672975611773145,2026-08-29 11:13:58.279641,2026-08-29 11:14:05.501590,0 days 00:00:07.221949,0.7888431688693968,4,0.024534160911090928,0.44451173305454944,0.4749614553928153,COMPLETE
19,0.48769215771201385,2026-08-29 11:14:05.628338,2026-08-29 11:14:34.666279,0 days 00:00:29.037941,0.3994787050670202,6,0.024236479665131934,0.16241766306810168,0.8775388354937582,COMPLETE
20,0.49092567889037014,2026-08-29 11:14:34.800908,2026-08-29 11:14:56.023372,0 days 00:00:21.222464,1.1230946890870896,5,0.3239714239107177,0.7862816817262895,0.7245598358425572,COMPLETE
21,0.4793254050697405,2026-08-29 11:14:56.194333,2026-08-29 11:15:06.969581,0 days 00:00:10.775248,1.596070981821354,4,0.07816447970849102,0.0006933352967030126,0.6416109077274562,COMPLETE
22,0.4841055493280404,2026-08-29 11:15:07.109116,2026-08-29 11:15:14.535623,0 days 00:00:07.426507,1.662168216712237,4,0.06802428825102358,0.04879246658369199,0.5752410158494939,COMPLETE
23,0.48160749134445285,2026-08-29 11:15:14.668479,2026-08-29 11:15:20.274601,0 days 00:00:05.606122,1.5166785022916451,3,0.14235349480227488,0.38616628206228515,0.6736994533575217,COMPLETE
24,0.48640582402546223,2026-08-29 11:15:20.472043,2026-08-29 11:15:27.339432,0 days 00:00:06.867389,1.8026782090136484,4,0.031328356116289376,0.16602676167985198,0.5334106472266503,COMPLETE
25,0.48783625714827933,2026-08-29 11:15:27.541777,2026-08-29 11:15:42.498823,0 days 00:00:14.957046,1.4012592447594407,5,0.10270387079157381,0.5509593137794779,0.8111801882517877,COMPLETE
26,0.48551968205416945,2026-08-29 11:15:42.669258,2026-08-29 11:15:47.743086,0 days 00:00:05.073828,1.2760216345827353,3,0.3968197150638493,0.23465210832453104,0.6198645758446077,COMPLETE
27,0.4950475302271369,2026-08-29 11:15:47.906245,2026-08-29 11:16:08.624297,0 days 00:00:20.718052,1.7801890550975625,6,0.017786357016323945,0.497141789022245,0.39735343822753866,COMPLETE
28,0.4883960623851062,2026-08-29 11:16:08.755685,2026-08-29 11:16:18.311345,0 days 00:00:09.555660,0.2633991312227033,4,1.7837062300827915,0.7798195051189447,0.7021764940805231,COMPLETE
29,0.4844655374682015,2026-08-29 11:16:18.514906,2026-08-29 11:16:27.452955,0 days 00:00:08.938049,0.5758893573036015,5,0.039581715755918796,0.00042508359358194335,0.5229394928370253,COMPLETE
30,0.5042964748087656,2026-08-29 11:16:27.596059,2026-08-29 11:17:05.031451,0 days 00:00:37.435392,0.5768270189850505,7,0.10724530695003737,0.32875587001830897,0.5587406254536242,COMPLETE
31,0.47383847447321753,2026-08-29 11:17:05.181169,2026-08-29 11:17:12.567114,0 days 00:00:07.385945,1.585275067839062,4,0.07959742120377618,0.12672013887396505,0.6364020417520005,COMPLETE
32,0.49636432694133403,2026-08-29 11:17:12.684033,2026-08-29 11:17:18.724129,0 days 00:00:06.040096,1.445796972528818,4,0.46414454539742583,0.16437855341212085,0.6434217028796253,COMPLETE
33,0.48245579166187474,2026-08-29 11:17:18.872970,2026-08-29 11:17:29.751943,0 days 00:00:10.878973,1.2875346033365087,4,0.016111661875942804,0.10613699124520243,0.596762273235419,COMPLETE
34,0.4933465393440928,2026-08-29 11:17:29.925639,2026-08-29 11:17:44.399925,0 days 00:00:14.474286,1.8451237228468549,5,0.042477635547207356,0.3857028777546566,0.6613216147184313,COMPLETE
35,0.4846296335268639,2026-08-29 11:17:44.529651,2026-08-29 11:17:51.117876,0 days 00:00:06.588225,0.9936457550114406,4,0.6576311847811375,0.295618730075772,0.4881017186867628,COMPLETE
36,0.48451797831646254,2026-08-29 11:17:51.288714,2026-08-29 11:17:57.173198,0 days 00:00:05.884484,1.6439074854304347,3,0.285670881259269,0.14108313437141815,0.7631719131036987,COMPLETE
37,0.48245988680199176,2026-08-29 11:17:57.348657,2026-08-29 11:18:22.117032,0 days 00:00:24.768375,1.2396569516879286,5,0.10523204798372214,0.4806833686909797,0.8316703445377724,COMPLETE
38,0.4984120655271554,2026-08-29 11:18:22.275177,2026-08-29 11:19:28.123534,0 days 00:01:05.848357,1.490135651407533,7,0.2331443164262041,0.24927065449219502,0.7127473482729316,COMPLETE
39,0.49697718084845294,2026-08-29 11:19:28.239625,2026-08-29 11:19:33.582945,0 days 00:00:05.343320,1.9746322456502612,3,0.01722663950728268,1.763821278884588,0.425260127249925,COMPLETE
