number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_depth,params_l2_leaf_reg,params_random_strength,params_rsm,state
12,0.4831386543361862,2026-08-29 11:34:48.482692,2026-08-29 11:34:55.818568,0 days 00:00:07.335876,1.0374012767105976,3,0.5011014080105427,0.03642090401509221,0.9119750219010729,COMPLETE
13,0.49535482774924117,2026-08-29 11:34:56.041020,2026-08-29 11:35:03.858712,0 days 00:00:07.817692,1.4081133981632434,4,1.4049090025244984,0.5783667503987533,0.45482944523938496,COMPLETE
14,0.4830099445698465,2026-08-29 11:35:04.000454,2026-08-29 11:35:12.068989,0 days 00:00:08.068535,1.6556965815770566,4,3.643634472458341,0.028276729410192738,0.6745858799264083,COMPLETE
15,0.4941907899253371,2026-08-29 11:35:12.226421,2026-08-29 11:35:24.322994,0 days 00:00:12.096573,1.6714645393506975,4,6.67391459804928,0.36390934874035563,0.6879456504581731,COMPLETE
16,0.5001916599732584,2026-08-29 11:35:24.485312,2026-08-29 11:35:35.721427,0 days 00:00:11.236115,1.6677310047678298,4,4.447633541440603,0.820583605191615,0.7082375407026865,COMPLETE
17,0.48386966031919937,2026-08-29 11:35:35.890075,2026-08-29 11:35:48.909229,0 days 00:00:13.019154,1.6131914968529166,4,25.75942997613783,0.3889411657932567,0.6058045412444124,COMPLETE
18,0.48476649798069144,2026-08-29 11:35:49.038472,2026-08-29 11:36:00.133522,0 days 00:00:11.095050,1.4281307885190695,5,2.4803732693438123,0.1401641788393876,0.4940131154597195,COMPLETE
19,0.47787058583939673,2026-08-29 11:36:00.308665,2026-08-29 11:36:10.553337,0 days 00:00:10.244672,1.7878209026762861,3,0.3186535596924977,0.4965226736952061,0.7108426788400719,COMPLETE
20,0.48645181592494097,2026-08-29 11:36:10.801851,2026-08-29 11:36:19.533753,0 days 00:00:08.731902,1.852768504671281,3,0.3595965165267652,0.8362965240690914,0.7294104018287532,COMPLETE
21,0.4887909559913522,2026-08-29 11:36:19.715971,2026-08-29 11:36:25.767563,0 days 00:00:06.051592,1.5621644951290694,3,0.1247193820553803,0.4497938882833122,0.647930984717019,COMPLETE
22,0.4743799657781301,2026-08-29 11:36:25.919229,2026-08-29 11:36:39.957940,0 days 00:00:14.038711,1.7908053297384285,4,2.1387550493577487,0.18294244652509783,0.7524975819187079,COMPLETE
23,0.4932716321761335,2026-08-29 11:36:40.248193,2026-08-29 11:36:47.138430,0 days 00:00:06.890237,1.8106494375216227,3,0.5757593884509221,0.4986889999040968,0.751254144253256,COMPLETE
24,0.486287115639276,2026-08-29 11:36:47.316279,2026-08-29 11:37:14.559339,0 days 00:00:27.243060,1.2965363110680552,4,0.04072166421137204,0.7463650964749144,0.8632303000415087,COMPLETE
25,0.4778438620925936,2026-08-29 11:37:14.743160,2026-08-29 11:37:27.731409,0 days 00:00:12.988249,0.8980143937856025,3,2.0060113876345107,0.21148932755972366,0.561163081318344,COMPLETE
26,0.4830525004132637,2026-08-29 11:37:27.892325,2026-08-29 11:37:41.933575,0 days 00:00:14.041250,0.8847378563299946,4,12.273840485625223,0.24530546954021293,0.5724653691575969,COMPLETE
27,0.4800222573808675,2026-08-29 11:37:42.151809,2026-08-29 11:37:59.866625,0 days 00:00:17.714816,0.8270909856911364,5,1.7696513180467133,0.146081618330818,0.4201508071406662,COMPLETE
28,0.49211445984203256,2026-08-29 11:38:00.156269,2026-08-29 11:38:08.093053,0 days 00:00:07.936784,1.128226516325673,4,0.8494479553064896,0.3144102976974773,0.5648125141992524,COMPLETE
29,0.4757552797492926,2026-08-29 11:38:08.293665,2026-08-29 11:38:17.146973,0 days 00:00:08.853308,0.4764200969903193,3,11.720347723741039,0.1731073592929689,0.5133510483342298,COMPLETE
30,0.49066901535211604,2026-08-29 11:38:17.308110,2026-08-29 11:38:38.595108,0 days 00:00:21.286998,0.07260665764748736,5,13.409252591771626,0.7006374357194554,0.509625326316405,COMPLETE
31,0.4800566207145603,2026-08-29 11:38:38.724898,2026-08-29 11:38:48.878972,0 days 00:00:10.154074,0.39597130124419144,3,51.74290740250092,0.15713979031689673,0.5428886745275648,COMPLETE
32,0.4758559407032337,2026-08-29 11:38:49.061535,2026-08-29 11:38:57.496444,0 days 00:00:08.434909,0.5098746000417748,3,3.2289718117872197,0.18126957299536972,0.6260251319810975,COMPLETE
33,0.4774976713502515,2026-08-29 11:38:57.709331,2026-08-29 11:39:10.421016,0 days 00:00:12.711685,0.23431092797022357,4,11.53767552989846,0.3527560119490444,0.6313678732559582,COMPLETE
34,0.4905331480612616,2026-08-29 11:39:10.602462,2026-08-29 11:39:19.191386,0 days 00:00:08.588924,0.6955639739041151,3,2.966055335585188,0.12101060516670237,0.7606699489659634,COMPLETE
35,0.48289911054350726,2026-08-29 11:39:19.479235,2026-08-29 11:39:28.054367,0 days 00:00:08.575132,0.5382744998849469,4,5.557304544326684,0.295618730075772,0.6091195856781766,COMPLETE
36,0.4692130165975823,2026-08-29 11:39:28.241992,2026-08-29 11:39:41.047072,0 days 00:00:12.805080,0.46032301505374973,3,1.0359557900714857,0.46138287021298285,0.8111472136588443,COMPLETE
37,0.4809480107392618,2026-08-29 11:39:41.268270,2026-08-29 11:40:00.179857,0 days 00:00:18.911587,0.23038450688193174,5,0.6735630290089641,0.9127910173223958,0.8316703445377724,COMPLETE
38,0.48364240965546634,2026-08-29 11:40:00.339279,2026-08-29 11:40:12.602453,0 days 00:00:12.263174,0.3957714450005636,3,1.0483616867130647,0.5463157075576521,0.8812825595147649,COMPLETE
39,0.5018008010744746,2026-08-29 11:40:12.765537,2026-08-29 11:40:50.500512,0 days 00:00:37.734975,1.9787178497141147,6,27.334963475262008,0.42980619332065945,0.769944503081064,COMPLETE
