number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,state
18,0.4868952942365481,2026-08-29 11:25:42.089472,2026-08-29 11:25:45.649704,0 days 00:00:03.560232,0.5446818105385237,1.3712378246553496,3,10,0.00011525782284759366,0.00935696925881539,0.6277861135774299,COMPLETE
19,0.4921828855820644,2026-08-29 11:25:45.828397,2026-08-29 11:25:49.573281,0 days 00:00:03.744884,0.5977710384283621,1.2699920447652138,3,12,8.89325254827665e-05,0.008581773407602657,0.6220001839645417,COMPLETE
20,0.5318800555099675,2026-08-29 11:25:49.742977,2026-08-29 11:25:53.230378,0 days 00:00:03.487401,0.8479446650850113,0.3938415858195651,2,6,0.0014652964108124054,0.0045901413654945026,0.9161479563160387,COMPLETE
21,0.5086119453053416,2026-08-29 11:25:53.436359,2026-08-29 11:25:57.962085,0 days 00:00:04.525726,0.5926568133683319,1.2242232002262718,3,13,8.349270811765501e-05,0.02097453175244684,0.6234621444547714,COMPLETE
22,0.5109867007408613,2026-08-29 11:25:58.109233,2026-08-29 11:26:01.833677,0 days 00:00:03.724444,0.629843427148863,1.1770391680972303,3,11,8.705017931663417e-05,0.004683054482215285,0.5887651261122336,COMPLETE
23,0.5045861821115752,2026-08-29 11:26:01.979298,2026-08-29 11:26:05.713303,0 days 00:00:03.734005,0.4320947379406632,0.6668037956738163,3,6,0.0002876772070504167,0.04682970460799348,0.6595555255939045,COMPLETE
24,0.5014108943703733,2026-08-29 11:26:05.861192,2026-08-29 11:26:08.655234,0 days 00:00:02.794042,0.5554589334185778,2.2970259529127475,3,17,4.231761360938841e-05,0.0013598021032992123,0.594339920298986,COMPLETE
25,0.5114243635012778,2026-08-29 11:26:08.776097,2026-08-29 11:26:12.441816,0 days 00:00:03.665719,0.6913565910378117,1.4695038998828134,2,20,0.0016720859702467688,0.20810591771490017,0.6771981494655327,COMPLETE
26,0.4945005581231765,2026-08-29 11:26:12.591117,2026-08-29 11:26:16.462733,0 days 00:00:03.871616,0.5832538057243682,0.7774320283085336,3,13,0.005734017417825698,0.008858734625636815,0.7390674600504417,COMPLETE
27,0.5197018983158065,2026-08-29 11:26:16.616977,2026-08-29 11:26:19.943189,0 days 00:00:03.326212,0.5283420654691005,1.2099738906772308,4,7,3.340327129065522e-05,0.04108905023832735,0.8250853541138281,COMPLETE
28,0.49039348654099446,2026-08-29 11:26:20.076874,2026-08-29 11:26:24.730610,0 days 00:00:04.653736,0.7521341656416035,0.30517943528596103,3,11,0.0006051801194555827,0.006909018194803308,0.595602566925145,COMPLETE
29,0.51511669921875,2026-08-29 11:26:24.980371,2026-08-29 11:26:27.936023,0 days 00:00:02.955652,0.7981593864486809,0.2811409607376587,2,10,0.006120950536318642,0.021738476268344124,0.5801473009093526,COMPLETE
30,0.513539574375859,2026-08-29 11:26:28.083891,2026-08-29 11:26:33.755191,0 days 00:00:05.671300,0.9052605148670598,0.22414496880031343,2,19,0.0007735000272115034,0.0022545108150784127,0.6550494474145846,COMPLETE
31,0.5013465718869808,2026-08-29 11:26:33.877775,2026-08-29 11:26:37.893390,0 days 00:00:04.015615,0.7559940199360442,0.56391250575067,3,12,0.00018360696208257973,0.009232962771084832,0.6021031650191789,COMPLETE
32,0.4993185617423352,2026-08-29 11:26:38.047906,2026-08-29 11:26:41.963923,0 days 00:00:03.916017,0.6630706914092764,1.0241686302043171,3,15,0.00016475305298088095,0.007852788315102785,0.6493338776207275,COMPLETE
33,0.49629926323596335,2026-08-29 11:26:42.084851,2026-08-29 11:26:45.442432,0 days 00:00:03.357581,0.47659539746255164,2.169188393120864,3,8,3.468792638366147e-05,0.026537059066171216,0.7128684291024635,COMPLETE
34,0.5137948631945951,2026-08-29 11:26:45.567313,2026-08-29 11:26:48.035704,0 days 00:00:02.468391,0.6107070485474666,1.7039773850876698,3,14,0.0005800591618497818,0.0937996089956009,0.6131805588673422,COMPLETE
35,0.5020288112310715,2026-08-29 11:26:48.181985,2026-08-29 11:26:51.656343,0 days 00:00:03.474358,0.7226456345572294,0.81747350901873,2,11,0.0034362297950156434,0.006558287553409153,0.6735773673095491,COMPLETE
36,0.5259379044991951,2026-08-29 11:26:51.796649,2026-08-29 11:26:54.711352,0 days 00:00:02.914703,0.5189600192009107,0.25106367586983125,3,5,0.0010090599563598406,0.20761376026716294,0.7925575042607398,COMPLETE
37,0.4945525102968569,2026-08-29 11:26:54.834277,2026-08-29 11:27:01.193275,0 days 00:00:06.358998,0.42944349399692155,0.06789157664209625,4,1,0.01639670300183387,0.00256677511893175,0.7180394342086394,COMPLETE
38,0.5266567906509211,2026-08-29 11:27:01.315763,2026-08-29 11:27:05.829317,0 days 00:00:04.513554,0.9295241222624663,1.633682666392367,3,11,0.00018919590499756947,0.013322468326836635,0.5547848467574955,COMPLETE
39,0.5122156424816743,2026-08-29 11:27:06.186026,2026-08-29 11:27:09.887374,0 days 00:00:03.701348,0.6766278004198993,1.9979136658412144,2,16,0.0026621518673127656,0.10001205843084758,0.8618210490703075,COMPLETE
