number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,state
24,3.325943134449146,2026-08-29 11:54:22.460514,2026-08-29 11:54:23.904336,0 days 00:00:01.443822,0.4214063107664894,2.4585249548587624,2,5,0.005803716048707574,0.1827267176085017,0.7406447300894679,COMPLETE
25,3.371341469847126,2026-08-29 11:54:24.342651,2026-08-29 11:54:25.623944,0 days 00:00:01.281293,0.5458572335608998,2.2187386535828715,2,1,0.001012955129110928,1.5782295645484181,0.6587869866796682,COMPLETE
26,3.2668765032732927,2026-08-29 11:54:25.835213,2026-08-29 11:54:26.924576,0 days 00:00:01.089363,0.510276332009108,2.7148923498229753,2,4,0.007854504124606955,0.012125816229245688,0.7793901736974214,COMPLETE
27,3.299655678831501,2026-08-29 11:54:27.149927,2026-08-29 11:54:28.905172,0 days 00:00:01.755245,0.3526924945805632,2.7112945010220644,2,9,0.010644466749625882,0.005700577930138627,0.8122640380861473,COMPLETE
28,3.4228584383740834,2026-08-29 11:54:29.376512,2026-08-29 11:54:30.651879,0 days 00:00:01.275367,0.36638834093338124,2.704993208671215,3,11,0.020526659050315903,0.001091762523565762,0.8212645145246508,COMPLETE
29,3.2852564682195218,2026-08-29 11:54:30.846709,2026-08-29 11:54:32.123337,0 days 00:00:01.276628,0.5102085090506258,2.685187315258947,2,9,0.08780942787756545,0.006298324728869671,0.7999276746124269,COMPLETE
30,3.3506272869345586,2026-08-29 11:54:32.339111,2026-08-29 11:54:33.999038,0 days 00:00:01.659927,0.5107076569674319,2.1574340484952494,3,12,0.1146538227226306,0.011585430668310854,0.7957367243672702,COMPLETE
31,3.2910513230312017,2026-08-29 11:54:34.153974,2026-08-29 11:54:35.613929,0 days 00:00:01.459955,0.4509906400640081,2.717684860254539,2,9,0.10180203895335353,0.0032955884632543063,0.828461401578753,COMPLETE
32,3.3397613337010514,2026-08-29 11:54:35.746902,2026-08-29 11:54:36.940429,0 days 00:00:01.193527,0.46629062132888804,2.715343261102109,2,8,3.3209783227122975,0.004436546801879301,0.8435443473212597,COMPLETE
33,3.2761040204836998,2026-08-29 11:54:37.072626,2026-08-29 11:54:38.593347,0 days 00:00:01.520721,0.5337935658890053,2.606859138825457,2,4,0.04315133111435779,0.020161762499821424,0.9023727428311473,COMPLETE
34,3.3136740790473094,2026-08-29 11:54:39.065470,2026-08-29 11:54:40.328212,0 days 00:00:01.262742,0.6982849178655177,2.9870357414083823,2,4,0.04193772397507562,0.010874221583124545,0.9093120623286924,COMPLETE
35,3.2607251861949025,2026-08-29 11:54:40.614230,2026-08-29 11:54:42.191465,0 days 00:00:01.577235,0.5203388273378227,2.0568993230094685,2,5,2.2504562642898245,0.023095307114662397,0.8850870620658443,COMPLETE
36,3.3168540766209733,2026-08-29 11:54:42.328714,2026-08-29 11:54:43.650600,0 days 00:00:01.321886,0.5165996111632851,2.1077479562128882,2,5,5.127753029881076,0.022378958227862566,0.8857487197371453,COMPLETE
37,3.314346972806954,2026-08-29 11:54:43.887895,2026-08-29 11:54:45.706665,0 days 00:00:01.818770,0.6090906804735979,1.7189957776872757,3,3,27.119731530794315,0.06971957682745578,0.8895803608808133,COMPLETE
38,3.279222888711058,2026-08-29 11:54:45.847810,2026-08-29 11:54:47.736995,0 days 00:00:01.889185,0.6793000190922155,1.9975549002731432,2,5,0.32343355516887234,0.025359265654059087,0.9612336428321016,COMPLETE
39,3.2972686673388067,2026-08-29 11:54:47.895946,2026-08-29 11:54:49.352400,0 days 00:00:01.456454,0.6854943999391374,2.0292099459800936,2,3,0.29410412405745956,0.02110818064079656,0.9639425742560014,COMPLETE
