generator,outer_val_fold,feature,n_train,mean,sd,median,iqr,min,max,skewness,fraction_zero
ABB2,3,CDR_aromatic_SASA,130,437.67502632621347,172.11032620756734,411.594234696037,212.67266251640297,0.0,1176.4226254153616,0.7969196872031072,0.007692307692307693
ABB2,3,CDR_aromatic_fraction,130,0.7726775709715263,0.162235002698143,0.7906615606227259,0.18455766800204676,0.0,1.0,-1.069561986988278,0.007692307692307693
ABB2,3,aromatic_patch_count,130,4.153846153846154,1.3153621230645571,4.0,2.0,1.0,9.0,0.6074455274878745,0.0
ABB2,3,largest_aromatic_patch_n_res,130,2.3153846153846156,1.2155063230200718,2.0,1.0,1.0,8.0,1.4871616710801066,0.0
ABB2,3,largest_aromatic_patch_exposed_SASA,130,224.27408187913957,143.04707080141472,171.75293753972002,159.6466783022203,51.63205012900701,768.8191621503648,1.4077828845716276,0.0
ABB2,3,max_local_aromatic_SASA,130,280.8995553976152,135.02933214278443,233.26295293614737,183.33032850354383,72.91651628626646,768.819162150365,1.1467297073925575,0.0
ABB2,4,exposed_TYR_count,130,4.130769230769231,1.6979103063130347,4.0,2.0,0.0,10.0,0.37037167066950905,0.007692307692307693
ABB2,4,exposed_TRP_count,130,0.7076923076923077,0.7065207694280019,1.0,1.0,0.0,3.0,0.6140414296071407,0.4307692307692308
ABB2,4,exposed_PHE_count,130,0.7769230769230769,0.8880868340720243,1.0,1.0,0.0,4.0,1.0439690461702158,0.46923076923076923
ABB2,4,exposed_aromatic_total_count,130,5.615384615384615,1.764542282705524,5.5,2.75,2.0,12.0,0.7370680093617756,0.0
ABB2,4,aromatic_exposed_SASA_total,130,537.2238290399386,196.42666945745862,507.5006181451935,207.10148776823303,147.31264731415004,1483.079327694597,1.4084017550642896,0.0
ABB2,4,aromatic_exposed_SASA_fraction,130,0.05125833203306595,0.01795290756634089,0.04895208189148548,0.021309636966096453,0.014491912205741668,0.12512842978132996,1.034519588714676,0.0
ABB2,4,strongly_exposed_aromatic_count,130,0.9076923076923077,0.9957305307867326,1.0,1.0,0.0,5.0,1.4476593347537845,0.4
ABB2,4,strongly_exposed_aromatic_SASA,130,156.41324162239258,176.6932940671099,150.14770220615844,213.54964753043063,0.0,1003.2863880815981,1.6847444697984941,0.4
ABB2,4,CDR_exposed_aromatic_count,130,4.153846153846154,1.4221410644168149,4.0,2.0,0.0,10.0,0.5621016621680938,0.007692307692307693
ABB2,4,CDR_aromatic_SASA,130,417.60447495355476,168.99153913342246,397.1870415831216,156.61473979861137,0.0,1176.4226254153616,1.2759781754404043,0.007692307692307693
ABB2,4,CDR_aromatic_fraction,130,0.7765641029304255,0.16295419112851453,0.7924108703406366,0.17799686811489357,0.0,1.0,-1.0537657949352062,0.007692307692307693
ABB2,4,aromatic_patch_count,130,4.038461538461538,1.185838529375513,4.0,2.0,1.0,7.0,0.1748285703369022,0.0
ABB2,4,largest_aromatic_patch_n_res,130,2.2384615384615385,1.1884304203045821,2.0,1.0,1.0,8.0,1.6768046379607775,0.0
ABB2,4,largest_aromatic_patch_exposed_SASA,130,210.7729098778542,146.8322918321709,168.01699953836817,111.69770887816847,51.63205012900701,1003.2863880815981,2.4132017952026072,0.0
