id,generator,extraction_status,pdb_path,error
ADI-46693,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-46693.pdb,
ADI-46695,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-46695.pdb,
ADI-46696,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-46696.pdb,
ADI-46701,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-46701.pdb,
ADI-46697,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-46697.pdb,
ADI-46706,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-46706.pdb,
ADI-46704,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-46704.pdb,
ADI-46705,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-46705.pdb,
ADI-46707,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-46707.pdb,
ADI-46708,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-46708.pdb,
ADI-46713,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-46713.pdb,
ADI-46710,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-46710.pdb,
ADI-47054,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47054.pdb,
ADI-47055,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47055.pdb,
ADI-47056,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47056.pdb,
ADI-47058,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47058.pdb,
ADI-47057,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47057.pdb,
ADI-47059,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47059.pdb,
ADI-47061,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47061.pdb,
ADI-47060,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47060.pdb,
ADI-47062,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47062.pdb,
ADI-47064,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47064.pdb,
ADI-47063,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47063.pdb,
ADI-47065,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47065.pdb,
ADI-47066,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47066.pdb,
ADI-47068,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47068.pdb,
ADI-47067,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47067.pdb,
ADI-47069,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47069.pdb,
ADI-47070,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47070.pdb,
ADI-47071,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47071.pdb,
ADI-47072,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47072.pdb,
ADI-47073,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47073.pdb,
ADI-47074,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47074.pdb,
ADI-47075,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47075.pdb,
ADI-47076,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47076.pdb,
ADI-47077,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47077.pdb,
ADI-47078,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47078.pdb,
ADI-47079,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47079.pdb,
ADI-47081,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47081.pdb,
ADI-47082,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47082.pdb,
ADI-47083,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47083.pdb,
ADI-47084,esmfold,SUCCESS,/workspace_developability_acquisition/esmfold_native/ADI-47084.pdb,
