experiment_id,target,plm,chain_representation,pooling,pca_dim,model,hyperparameters,n_features_before_pca,n_features_after_pca,Primary_MAE,Primary_fold_SD,Shadow_MAE,delta_vs_stage1_primary,delta_vs_stage1_shadow,status,notes,pearson,spearman,hic_tail_mae,fold_maes,classical_family,delta_vs_plm_only_primary
TmApp__esm2__HL__PCA16__Ridge,TmApp,esm2,HL,whole_chain_mean,16,Ridge,"{""alpha"": 10.0}",2560,16,3.2022587299346923,0.24380985773490027,,0.1011587299346921,,FIXED_SCREEN,fixed pipeline,0.4325385735848018,0.4031969171383998,,,,
TmApp__esm2__HL__PCA16__SVR,TmApp,esm2,HL,whole_chain_mean,16,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",2560,16,3.437162104241807,0.19660631986730398,,0.3360621042418068,,FIXED_SCREEN,fixed pipeline,0.13363477393381945,0.022532614496488104,,,,
TmApp__esm2__HL__PCA32__Ridge,TmApp,esm2,HL,whole_chain_mean,32,Ridge,"{""alpha"": 10.0}",2560,32,3.2497688625798076,0.20511355374375426,,0.14866886257980738,,FIXED_SCREEN,fixed pipeline,0.4365311558153712,0.39141006143288304,,,,
TmApp__esm2__HL__PCA32__SVR,TmApp,esm2,HL,whole_chain_mean,32,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",2560,32,3.443999261173005,0.19369601366183503,,0.3428992611730046,,FIXED_SCREEN,fixed pipeline,0.08488192376290839,0.01931044073518854,,,,
TmApp__esm2__HL__PCA64__Ridge,TmApp,esm2,HL,whole_chain_mean,64,Ridge,"{""alpha"": 10.0}",2560,64,3.141118695519187,0.27626076108632414,,0.04001869551918702,,FIXED_SCREEN,fixed pipeline,0.5102825495936264,0.46051940247806444,,,,
TmApp__esm2__HL__PCA64__SVR,TmApp,esm2,HL,whole_chain_mean,64,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",2560,64,3.4496265378608832,0.18995361403829858,,0.34852653786088306,,FIXED_SCREEN,fixed pipeline,0.02503803983952196,0.022812328272674327,,,,
TmApp__ablang2__H__PCA16__Ridge,TmApp,ablang2,H,whole_chain_mean,16,Ridge,"{""alpha"": 10.0}",480,16,3.2841474663127554,0.36761165654154265,,0.18304746631275526,,FIXED_SCREEN,fixed pipeline,0.3422597180034662,0.29700785708385746,,,,
TmApp__ablang2__H__PCA16__SVR,TmApp,ablang2,H,whole_chain_mean,16,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",480,16,3.303892150540592,0.2737333434077607,,0.20279215054059163,,FIXED_SCREEN,fixed pipeline,0.32136167079757993,0.30402855133798234,,,,
TmApp__ablang2__H__PCA32__Ridge,TmApp,ablang2,H,whole_chain_mean,32,Ridge,"{""alpha"": 10.0}",480,32,3.309246765483509,0.504342782436593,,0.20814676548350874,,FIXED_SCREEN,fixed pipeline,0.34460020050049883,0.31891609595452597,,,,
TmApp__ablang2__H__PCA32__SVR,TmApp,ablang2,H,whole_chain_mean,32,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",480,32,3.29881612215706,0.23925558198689786,,0.1977161221570598,,FIXED_SCREEN,fixed pipeline,0.30802854444618016,0.3049594643185594,,,,
TmApp__ablang2__H__PCA64__Ridge,TmApp,ablang2,H,whole_chain_mean,64,Ridge,"{""alpha"": 10.0}",480,64,3.4620563593777747,0.3509194399411447,,0.3609563593777745,,FIXED_SCREEN,fixed pipeline,0.295329950668898,0.3040892937631186,,,,
TmApp__ablang2__H__PCA64__SVR,TmApp,ablang2,H,whole_chain_mean,64,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",480,64,3.296543603592331,0.2273688243010195,,0.19544360359233082,,FIXED_SCREEN,fixed pipeline,0.3085194740392241,0.31451721428302803,,,,
TmApp__ablang2__L__PCA16__Ridge,TmApp,ablang2,L,whole_chain_mean,16,Ridge,"{""alpha"": 10.0}",480,16,3.3815770134781347,0.2558468920152227,,0.2804770134781345,,FIXED_SCREEN,fixed pipeline,0.40682835562987374,0.3658940050320264,,,,
TmApp__ablang2__L__PCA16__SVR,TmApp,ablang2,L,whole_chain_mean,16,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",480,16,3.2929701475372455,0.30571705921225417,,0.1918701475372453,,FIXED_SCREEN,fixed pipeline,0.3190846372777153,0.310460185329739,,,,
TmApp__ablang2__L__PCA32__Ridge,TmApp,ablang2,L,whole_chain_mean,32,Ridge,"{""alpha"": 10.0}",480,32,3.3856967868226944,0.16734302154824848,,0.2845967868226942,,FIXED_SCREEN,fixed pipeline,0.40650775447808596,0.3674718954710319,,,,
TmApp__ablang2__L__PCA32__SVR,TmApp,ablang2,L,whole_chain_mean,32,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",480,32,3.2515735042131815,0.2848184610931825,,0.15047350421318129,,FIXED_SCREEN,fixed pipeline,0.344681003834841,0.33209013913641106,,,,
TmApp__ablang2__L__PCA64__Ridge,TmApp,ablang2,L,whole_chain_mean,64,Ridge,"{""alpha"": 10.0}",480,64,3.5717423236731327,0.41187194166355434,,0.4706423236731325,,FIXED_SCREEN,fixed pipeline,0.3312095700487426,0.35082282052553576,,,,
TmApp__ablang2__L__PCA64__SVR,TmApp,ablang2,L,whole_chain_mean,64,SVR,"{""C"": 3.0, ""gamma"": 0.01, ""epsilon"": 0.1}",480,64,3.2732402430544325,0.25203661359717316,,0.17214024305443232,,FIXED_SCREEN,fixed pipeline,0.3618100762093808,0.3415052150325362,,,,
