scope,target,family,cv,status,base_name,N,base_dim,struct_dim,plus_dim,base_mae,plus_mae,delta_mae,label,fold_test_fold,fold_n_train,fold_n_val,fold_n_test,fold_base_mae,fold_plus_mae,fold_delta_mae,fold_alpha_base,fold_alpha_plus,alphas_base,alphas_plus
GapClosure,HIC,CONTINUOUS_SURFACE,Primary,OK,ESM2_H+SEQ_ALL+AROMATIC_TOPO,162,1414,45,1459,0.5283867651592855,0.5117587462219735,0.016628018937312028,SIMPLE_TVT_CV,3,98.0,32.0,32.0,0.5674012514244793,0.5446511179390838,0.022750133485395452,100.0,100.0,,
GapClosure,HIC,CONTINUOUS_SURFACE,Primary,OK,ESM2_H+SEQ_ALL+AROMATIC_TOPO,162,1414,45,1459,0.5283867651592855,0.5117587462219735,0.016628018937312028,SIMPLE_TVT_CV,4,98.0,32.0,32.0,0.5655152616747987,0.5547914140976893,0.010723847577109424,100.0,100.0,,
GapClosure,HIC,CONTINUOUS_SURFACE,Primary,OK_AGG,ESM2_H+SEQ_ALL+AROMATIC_TOPO,162,1414,45,1459,0.5283867651592855,0.5117587462219735,0.016628018937312028,SIMPLE_TVT_CV,-1,,,,,,,,,"[100.0, 100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0, 100.0]"
GapClosure,HIC,CONTINUOUS_SURFACE,Shadow,OK,ESM2_H+SEQ_ALL+AROMATIC_TOPO,162,1414,45,1459,0.5590561585035284,0.5572906295667212,0.001765528936807259,SIMPLE_TVT_CV,0,97.0,33.0,32.0,0.5726393587167496,0.5267465745916085,0.045892784125141195,100.0,100.0,,
GapClosure,HIC,CONTINUOUS_SURFACE,Shadow,OK,ESM2_H+SEQ_ALL+AROMATIC_TOPO,162,1414,45,1459,0.5590561585035284,0.5572906295667212,0.001765528936807259,SIMPLE_TVT_CV,1,97.0,32.0,33.0,0.5437575347537593,0.5485926543809135,-0.004835119627154216,100.0,100.0,,
GapClosure,HIC,CONTINUOUS_SURFACE,Shadow,OK,ESM2_H+SEQ_ALL+AROMATIC_TOPO,162,1414,45,1459,0.5590561585035284,0.5572906295667212,0.001765528936807259,SIMPLE_TVT_CV,2,98.0,32.0,32.0,0.4597285972109876,0.4893111681079619,-0.029582570896974303,100.0,100.0,,
GapClosure,HIC,CONTINUOUS_SURFACE,Shadow,OK,ESM2_H+SEQ_ALL+AROMATIC_TOPO,162,1414,45,1459,0.5590561585035284,0.5572906295667212,0.001765528936807259,SIMPLE_TVT_CV,3,97.0,33.0,32.0,0.555054163971344,0.5679745923037098,-0.012920428332365841,100.0,100.0,,
GapClosure,HIC,CONTINUOUS_SURFACE,Shadow,OK,ESM2_H+SEQ_ALL+AROMATIC_TOPO,162,1414,45,1459,0.5590561585035284,0.5572906295667212,0.001765528936807259,SIMPLE_TVT_CV,4,97.0,32.0,33.0,0.6613815513311199,0.6511663537919311,0.010215197539188758,100.0,100.0,,
GapClosure,HIC,CONTINUOUS_SURFACE,Shadow,OK_AGG,ESM2_H+SEQ_ALL+AROMATIC_TOPO,162,1414,45,1459,0.5590561585035284,0.5572906295667212,0.001765528936807259,SIMPLE_TVT_CV,-1,,,,,,,,,"[100.0, 100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0, 100.0]"
GapClosure,HIC,HIC_SURFACE_ALL,Primary,OK,ESM2_H+SEQ_ALL,162,1395,64,1459,0.5345340354876716,0.5117587462219736,0.02277528926569805,SIMPLE_TVT_CV,0,97.0,33.0,32.0,0.5028078505212441,0.4770229854866928,0.025784865034551296,100.0,100.0,,
GapClosure,HIC,HIC_SURFACE_ALL,Primary,OK,ESM2_H+SEQ_ALL,162,1395,64,1459,0.5345340354876716,0.5117587462219736,0.02277528926569805,SIMPLE_TVT_CV,1,96.0,33.0,33.0,0.5295821412013115,0.4806826964328472,0.048899444768464306,100.0,100.0,,
GapClosure,HIC,HIC_SURFACE_ALL,Primary,OK,ESM2_H+SEQ_ALL,162,1395,64,1459,0.5345340354876716,0.5117587462219736,0.02277528926569805,SIMPLE_TVT_CV,2,97.0,32.0,33.0,0.5394040324454179,0.5028936771189347,0.03651035532648317,100.0,100.0,,
GapClosure,HIC,HIC_SURFACE_ALL,Primary,OK,ESM2_H+SEQ_ALL,162,1395,64,1459,0.5345340354876716,0.5117587462219736,0.02277528926569805,SIMPLE_TVT_CV,3,98.0,32.0,32.0,0.5390464424800133,0.5446511179390836,-0.005604675459070285,100.0,100.0,,
GapClosure,HIC,HIC_SURFACE_ALL,Primary,OK,ESM2_H+SEQ_ALL,162,1395,64,1459,0.5345340354876716,0.5117587462219736,0.02277528926569805,SIMPLE_TVT_CV,4,98.0,32.0,32.0,0.5618322700818905,0.5547914140976896,0.0070408559842009,100.0,100.0,,
GapClosure,HIC,HIC_SURFACE_ALL,Primary,OK_AGG,ESM2_H+SEQ_ALL,162,1395,64,1459,0.5345340354876716,0.5117587462219736,0.02277528926569805,SIMPLE_TVT_CV,-1,,,,,,,,,"[100.0, 100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0, 100.0]"
GapClosure,HIC,HIC_SURFACE_ALL,Shadow,OK,ESM2_H+SEQ_ALL,162,1395,64,1459,0.5590613977325137,0.5572906295667214,0.001770768165792358,SIMPLE_TVT_CV,0,97.0,33.0,32.0,0.5399687373496558,0.5267465745916091,0.013222162758046663,100.0,100.0,,
GapClosure,HIC,HIC_SURFACE_ALL,Shadow,OK,ESM2_H+SEQ_ALL,162,1395,64,1459,0.5590613977325137,0.5572906295667214,0.001770768165792358,SIMPLE_TVT_CV,1,97.0,32.0,33.0,0.5681346530385948,0.5485926543809138,0.019541998657681026,100.0,100.0,,
GapClosure,HIC,HIC_SURFACE_ALL,Shadow,OK,ESM2_H+SEQ_ALL,162,1395,64,1459,0.5590613977325137,0.5572906295667214,0.001770768165792358,SIMPLE_TVT_CV,2,98.0,32.0,32.0,0.4698274324504419,0.4893111681079616,-0.019483735657519707,100.0,100.0,,
GapClosure,HIC,HIC_SURFACE_ALL,Shadow,OK,ESM2_H+SEQ_ALL,162,1395,64,1459,0.5590613977325137,0.5572906295667214,0.001770768165792358,SIMPLE_TVT_CV,3,97.0,33.0,32.0,0.5520426391333108,0.5679745923037095,-0.01593195317039875,100.0,100.0,,
GapClosure,HIC,HIC_SURFACE_ALL,Shadow,OK,ESM2_H+SEQ_ALL,162,1395,64,1459,0.5590613977325137,0.5572906295667214,0.001770768165792358,SIMPLE_TVT_CV,4,97.0,32.0,33.0,0.661838212015895,0.6511663537919316,0.010671858223963437,100.0,100.0,,
GapClosure,HIC,HIC_SURFACE_ALL,Shadow,OK_AGG,ESM2_H+SEQ_ALL,162,1395,64,1459,0.5590613977325137,0.5572906295667214,0.001770768165792358,SIMPLE_TVT_CV,-1,,,,,,,,,"[100.0, 100.0, 100.0, 100.0, 100.0]","[100.0, 100.0, 100.0, 100.0, 100.0]"
InterimFeNNix,TmApp,DELTA_GEOM,Primary,OK,ABLANG2_HL_PAIRED+SEQ_BASIC,100,558,17,575,3.167554420289552,3.1421731580021977,0.025381262287354378,PROVISIONAL_SIMPLE_CV,0,55.0,22.0,23.0,2.3650225621887704,2.320832038918728,0.04419052327004236,100.0,100.0,,
