target,PLM,chain,regressor,representation,Primary_MAE,fold_SD,n_features,delta_raw_minus_pca32,pca32_Primary_MAE,pca32_fold_SD
HIC,ablang2,H,Ridge,raw,0.6682950168479572,0.061187823053781065,480,0.11939257938934089,0.5489024374586163,0.06917667347427214
HIC,ablang2,H,Ridge,PCA32,0.5489024374586163,0.06917667347427214,32,0.11939257938934089,0.5489024374586163,0.06917667347427214
HIC,ablang2,H,SVR,raw,0.5904697697171178,0.05669410217488509,480,-0.009554416186882908,0.6000241859040008,0.047701336843706595
HIC,ablang2,H,SVR,PCA32,0.6000241859040008,0.047701336843706595,32,-0.009554416186882908,0.6000241859040008,0.047701336843706595
HIC,ablang2,L,Ridge,raw,0.8067975723382199,0.03910416905702551,480,0.16595777828765657,0.6408397940505633,0.06922918427277658
HIC,ablang2,L,Ridge,PCA32,0.6408397940505633,0.06922918427277658,32,0.16595777828765657,0.6408397940505633,0.06922918427277658
HIC,ablang2,L,SVR,raw,0.5980196227667183,0.038631645495217325,480,-0.010831919075762197,0.6088515418424805,0.03842863270025153
HIC,ablang2,L,SVR,PCA32,0.6088515418424805,0.03842863270025153,32,-0.010831919075762197,0.6088515418424805,0.03842863270025153
HIC,ablang2,HL,Ridge,raw,0.7238156857468866,0.12100905393508803,960,0.1241264968893746,0.599689188857512,0.08127304086592209
HIC,ablang2,HL,Ridge,PCA32,0.599689188857512,0.08127304086592209,32,0.1241264968893746,0.599689188857512,0.08127304086592209
HIC,ablang2,HL,SVR,raw,0.5970255625390427,0.038468877887249675,960,0.017066996717914007,0.5799585658211287,0.04973895935041543
HIC,ablang2,HL,SVR,PCA32,0.5799585658211287,0.04973895935041543,32,0.017066996717914007,0.5799585658211287,0.04973895935041543
HIC,ablang2,HL_paired,Ridge,raw,0.6355402841878659,0.09387650328336161,480,0.06334367983919198,0.5721966043486739,0.04467040709335251
HIC,ablang2,HL_paired,Ridge,PCA32,0.5721966043486739,0.04467040709335251,32,0.06334367983919198,0.5721966043486739,0.04467040709335251
HIC,ablang2,HL_paired,SVR,raw,0.5914452855441421,0.05903936039736779,480,0.002047991655614312,0.5893972938885278,0.06569138175989069
HIC,ablang2,HL_paired,SVR,PCA32,0.5893972938885278,0.06569138175989069,32,0.002047991655614312,0.5893972938885278,0.06569138175989069
