id,generator,extraction_status,error,Q_pH5,Q_pH6,Q_pH6_5,Q_pH7,Q_pH7_4,Q_pH8,Q_range_4_10,max_abs_dQ_dpH,pH_at_max_abs_dQ_dpH,mean_abs_dQ_dpH_5_8,charge_transition_width,number_of_major_switch_regions,Q_CDR_pH6_5,Q_CDR_pH7_4,Q_full_with_termini_pH7_4,n_sidechain_sites,n_excluded_cys_sentinel,n_termini_sites_seen
ADI-47249,esmfold,SUCCESS,,13.944391532519948,7.671122907489122,6.597457493031272,6.15290948247888,5.904182318027972,5.553189239685798,30.67134808427694,14.193784368896686,4.0,3.0407313177543145,1.25,2,2.006263893960977,1.9828867953459097,8.938967943838072,106,8,4
ADI-47250,esmfold,SUCCESS,,14.767269063028527,8.888480104701229,7.3519288234732025,6.507560262745292,6.13004821415403,5.905280538132641,30.731525701437246,13.986262266198963,4.0,3.140933942413722,1.25,2,0.518493299182519,0.0480851377940662,9.30297850150219,104,4,4
ADI-47251,esmfold,SUCCESS,,17.338223522797463,12.273233993523592,11.0752270487928,10.409025316701973,10.101205721061802,9.906681477033116,28.443327447111333,14.225090882378922,4.0,2.6781027769813255,1.0,2,2.9443041306456332,2.1151529752963114,13.148777401585859,102,8,4
ADI-47252,esmfold,SUCCESS,,13.694983225036463,8.254716722672175,7.014101132807682,6.360958161653508,6.042918067915682,5.766895425507556,27.540280043307455,10.888328214876188,10.0,2.8177510326092845,1.25,2,2.0557194344078775,1.9648931984134745,8.954576750187996,88,4,4
ADI-47253,esmfold,SUCCESS,,12.428003822023994,9.228870209508946,8.470566124405597,8.141044762327876,7.982550481451578,7.797108950629825,22.034368190123832,12.968500142054712,10.0,1.6378574070408887,0.5,2,-3.705324838193053,-3.9904159952451885,10.917806603219292,94,4,4
ADI-47254,esmfold,SUCCESS,,14.009776389253211,9.109540924182337,8.382670549603931,8.11208017270378,7.993958482509341,7.866751577334445,24.860715039479032,12.576615772220222,4.0,2.257931206359747,1.25,2,-1.9369940218772044,-2.006351332123314,11.206250885517528,96,8,4
ADI-47255,esmfold,SUCCESS,,12.477275821354741,8.589087169197747,8.183437365821215,8.03390433168115,7.93321912765022,7.736530326106488,28.07493733716983,15.685173645518013,10.0,1.8251830606941815,0.75,2,-1.9620591885625651,-2.0349717665218803,11.041342379774324,94,8,4
ADI-47256,esmfold,SUCCESS,,14.996434090556086,8.620563209095216,7.110706310056387,6.38390652347989,6.069672491167303,5.839720789038972,32.20192065528719,14.62778730881285,10.0,3.2365607292118908,1.25,2,-3.6376012245668803,-3.9794268469867675,9.270366707124452,106,8,4
ADI-47257,esmfold,SUCCESS,,11.63951346820205,7.696338801740376,6.760166794578832,6.261308305602814,6.009469746493522,5.756440627876354,26.010972426813073,14.643890867154088,10.0,2.102347623191276,0.5,2,-3.9019879453677104,-4.007849257865641,8.958540162534456,84,8,4
ADI-47258,esmfold,SUCCESS,,14.978178659095358,9.0532503351863,6.919278751872006,5.451118639283267,4.556631860682699,4.045044266765713,32.19869670814148,13.433284417868293,4.0,3.7206990319755704,1.0,2,0.9726301812896132,0.10944023951124915,7.442991625986542,110,8,4
ADI-47259,esmfold,SUCCESS,,15.255861525494053,10.551883010148694,8.989486843398252,7.801662015772515,6.885534417949217,6.234948734961284,28.598541548184635,12.665050721225496,10.0,3.113219140502117,1.0,2,2.7016097856350587,2.0907142299795147,9.945759296458927,102,4,4
ADI-47260,esmfold,SUCCESS,,19.418055387884067,11.256058785271641,8.619347435365318,7.025505629016324,6.280746557551515,5.854449017239736,38.85742090844334,16.58754962258156,10.0,4.629853485568038,1.25,2,-2.952722113558597,-3.9053861285130176,9.62752979255396,117,8,4
ADI-47261,esmfold,SUCCESS,,14.859862143126685,9.306281863091481,7.689748024358847,6.6747170666402,6.1968836832414995,5.941620597055902,29.76501861908302,13.926729587793844,4.0,3.134260255688045,1.0,2,-1.2527076299937914,-1.9081509901307827,9.302616488335765,100,8,4
ADI-47262,esmfold,SUCCESS,,17.32523586743556,14.459598071727855,14.067797013013811,13.772311090351076,13.260835024624644,12.307519746861072,25.422846486453263,13.898562222077016,10.0,1.8676774518866033,0.75,2,-0.017043638501437197,-0.5450199074526995,16.273472696728728,88,12,4
ADI-47263,esmfold,SUCCESS,,12.92507183437842,9.420611714282774,8.622548534668304,8.190845180840657,7.937795807116548,7.602699102224394,26.982245554495655,14.584484157295467,10.0,1.9558167371776538,0.75,2,-3.9806045266005383,-4.101191595890235,10.962994461622001,102,8,4
ADI-47264,esmfold,SUCCESS,,15.830023549463261,8.494666009940042,6.128052380143689,4.802800575658253,4.203886642705611,3.841004861937298,38.6966726313198,18.713500586652287,10.0,4.126087601017163,1.0,2,-5.3455690639433495,-5.955985464556002,7.501685989471702,126,4,4
ADI-47265,esmfold,SUCCESS,,17.037628500175433,13.793439775890183,12.41358574372981,11.168729538963941,10.362693324086528,9.832342034330892,24.111621652877435,11.065117292652785,10.0,2.4699902667011155,0.75,2,3.2650786133529834,2.203859417926459,13.570364936340562,100,8,4
ADI-47267,esmfold,SUCCESS,,20.08299621725254,14.491083602434745,13.103265920135103,12.393080607227848,12.064109272800225,11.807847480356369,26.74433407378246,10.737551480946323,4.0,2.89944579269896,1.5,2,5.994565349647905,5.946487206390927,14.947008003779114,86,8,4
ADI-47278,esmfold,SUCCESS,,19.31705646833625,14.708838151861098,14.226097723037398,14.05880075211446,13.97653057310682,13.859908227939052,27.006727763746685,13.293852436061048,10.0,2.086651436989747,1.0,2,0.03373765110411164,-0.007332011585095999,17.00430085816158,104,8,4
ADI-47279,esmfold,SUCCESS,,15.330415516702407,10.740667608793851,9.326428598023174,8.491355469161185,8.088017348494484,7.779030490901025,29.321836204074792,13.856693112593986,10.0,2.6594462632846856,1.0,2,0.7101571978534622,0.07377866408289357,11.14357519752314,98,4,4
ADI-47280,esmfold,SUCCESS,,20.25359145677733,15.16955909048099,13.494700426385426,12.560147730362747,12.159281842867173,11.95454535730102,24.760231433465233,11.084239860595165,10.0,2.857635679871225,1.25,2,3.220789178525955,2.1479546301044556,15.017451876956697,92,8,4
ADI-47281,esmfold,SUCCESS,,20.67461268741445,14.445083882186921,13.143391776942536,12.395206834754486,11.946089458492454,11.416991270796112,33.69851997703747,13.221772486674045,10.0,3.3317672680903083,1.25,2,-1.1163532367631737,-1.8775432683352262,14.9359910908377,102,8,4
ADI-47282,esmfold,SUCCESS,,21.063107278011877,15.460302209881588,13.8385168859055,12.75365168360004,12.199205542296149,11.847997736532779,32.516522751963464,14.825607477768813,4.0,3.251036665746198,1.0,2,4.101632530722977,3.966725070405492,15.131374037561358,114,4,4
ADI-47283,esmfold,SUCCESS,,21.569941181174638,15.202791629117211,13.417034439880588,12.509408492559556,12.125676856821512,11.898520891882013,30.300658039846915,12.692250979418505,10.0,3.3607266896146695,1.25,2,4.850908546739876,4.095433517873725,15.193988833403246,100,12,4
ADI-47284,esmfold,SUCCESS,,14.011964872213811,9.779556824905153,8.753106852031006,8.119232830336456,7.591328197785329,6.888965082152335,26.97278180084002,11.82927795247379,10.0,2.5427746318063438,1.0,2,2.0410508054911,1.5367804584029656,10.653160047294254,88,8,4
ADI-47285,esmfold,SUCCESS,,20.705109072865326,16.891766143145677,15.340718213575224,14.471345692658208,14.053392985346887,13.696682330584572,25.21633992498836,15.286239943929846,10.0,2.3662551005624723,0.5,1,2.758983217699022,2.03125408007271,17.141602837235833,92,12,4
ADI-47286,esmfold,SUCCESS,,22.04957740940793,13.894582290608037,11.794909487322021,10.685977043344481,10.177718206328702,9.868296310009162,34.68841996653198,12.984023268419733,4.0,4.21098089752204,1.75,2,1.2253729389985402,0.1599509333595539,13.15855200025074,108,4,4
ADI-47287,esmfold,SUCCESS,,17.83372253465611,13.330148814336642,11.975213082064068,10.921383093161047,10.311531938410628,9.975082505568052,28.49031393411298,13.546122908054599,4.0,2.7840305741600178,1.0,2,4.04692060841922,3.9850680928461215,13.50058750406865,108,8,4
ADI-47288,esmfold,SUCCESS,,21.80466185860567,16.557844307789768,14.64816259762485,13.1825011162475,12.377264437059557,11.932316804676448,33.51607746792553,14.986502174291275,4.0,3.4315252927304365,1.0,2,2.9901955434721423,2.152337224086181,15.564795606539365,112,4,4
