experiment_code,effective_code,representation_raw,representation_display,representation_context,plm_family,paired_match_group,topology_legacy,topology_id,topology_display,annotation_id,annotation_display,primary_mae,shadow_mae,mean_ps,worst_ps,abs_ps,raw_dim,execution_status,reused_or_new,reuse_source
EXP-T202,EXP-T202,ablang2_paired,AbLang2 (separate-chain),SEPARATE_CHAIN,ablang2,ablang2,A,SEP,Separate H/L,REGION,CDR/FR Region,3.085309087494273,3.181393446745696,3.133351267119985,3.181393446745696,0.0960843592514231,480,COMPLETE,new,
EXP-T203,EXP-T203,ablang2_paired,AbLang2 (separate-chain),SEPARATE_CHAIN,ablang2,ablang2,B1,JOINT,Full Joint,REGION,CDR/FR Region,3.0563618459819275,3.3485583081657504,3.202460077073839,3.3485583081657504,0.2921964621838229,480,COMPLETE,new,
EXP-T204,EXP-T204,ablang2_paired,AbLang2 (separate-chain),SEPARATE_CHAIN,ablang2,ablang2,B2,REG-SEP,"Joint Residues, Separate REGs",REGION,CDR/FR Region,3.2124495565155406,3.075349148408866,3.143899352462204,3.2124495565155406,0.1371004081066744,480,COMPLETE,new,
EXP-T205,EXP-T205,ablang2_paired,AbLang2 (separate-chain),SEPARATE_CHAIN,ablang2,ablang2,C,XREG,Cross-REG Read,REGION,CDR/FR Region,3.004970974392361,2.9838466408811968,2.9944088076367787,3.004970974392361,0.0211243335111643,480,COMPLETE,new,
EXP-T206,EXP-T206,ablang2_paired,AbLang2 (separate-chain),SEPARATE_CHAIN,ablang2,ablang2,D,FUSE,REG Fusion,REGION,CDR/FR Region,3.0702671474880643,3.136174119549033,3.1032206335185486,3.136174119549033,0.0659069720609686,480,COMPLETE,new,
EXP-T207,EXP-T207,ablang2_unpaired,AbLang2 (paired H/L),PAIRED_NATIVE,ablang2,ablang2,A,SEP,Separate H/L,FULL,IMGT + Region,3.197317288245684,3.350235456301842,3.2737763722737627,3.350235456301842,0.152918168056158,480,COMPLETE,new,
EXP-T208,EXP-T208,ablang2_unpaired,AbLang2 (paired H/L),PAIRED_NATIVE,ablang2,ablang2,B1,JOINT,Full Joint,FULL,IMGT + Region,3.086186773983049,3.4346882149025246,3.2604374944427867,3.4346882149025246,0.3485014409194757,480,COMPLETE,new,
EXP-T209,EXP-T209,ablang2_unpaired,AbLang2 (paired H/L),PAIRED_NATIVE,ablang2,ablang2,B2,REG-SEP,"Joint Residues, Separate REGs",FULL,IMGT + Region,2.9177494284547407,3.4472073919979143,3.182478410226328,3.4472073919979143,0.5294579635431735,480,COMPLETE,new,
EXP-T210,EXP-T210,ablang2_unpaired,AbLang2 (paired H/L),PAIRED_NATIVE,ablang2,ablang2,C,XREG,Cross-REG Read,FULL,IMGT + Region,3.188560532934872,3.176437142454548,3.18249883769471,3.188560532934872,0.0121233904803239,480,COMPLETE,new,
EXP-T211,EXP-T211,ablang2_unpaired,AbLang2 (paired H/L),PAIRED_NATIVE,ablang2,ablang2,D,FUSE,REG Fusion,FULL,IMGT + Region,3.17332406691563,3.5129906689679182,3.343157367941774,3.5129906689679182,0.3396666020522882,480,COMPLETE,new,
EXP-T212,EXP-T212,ablang2_unpaired,AbLang2 (paired H/L),PAIRED_NATIVE,ablang2,ablang2,A,SEP,Separate H/L,BASE,Base,3.08129581404321,3.2250998461688005,3.1531978301060053,3.2250998461688005,0.1438040321255904,480,COMPLETE,new,
