id,K_full_median,K_full_mean,K_full_q90,K_full_n_sites
ADI-47311,14.025661895802129,37.0232948138396,98.56032980778669,108
ADI-47123,12.923645603989105,35.48073173978091,96.01567400669116,108
ADI-47231,15.17776983724302,41.27143775153901,116.16253548701836,108
ADI-47232,14.007628901936098,40.41913760935232,113.08690819986744,108
ADI-47258,17.35174743109235,43.05473758321666,106.4046821395103,108
ADI-46677,15.227861486870884,39.168701614938215,100.874564020594,108
ADI-45491,13.330389798967367,30.879424119742204,78.0327717902877,108
ADI-47313,14.426395092825048,38.12030194068983,103.34909151221056,108
ADI-45373,14.75900364635407,38.47636080722982,92.19869030504783,108
ADI-47132,14.376303443197184,40.501102390113765,109.38012612740546,108
ADI-47237,13.274287151384158,45.00975901080373,108.7690080019455,108
ADI-47238,13.9254785965464,42.976817239351085,109.53040107628904,108
ADI-47135,16.580336026823232,38.52456010564953,107.73712001961148,108
ADI-47243,14.726944990592235,40.87979526130042,102.48751513861129,108
ADI-45375,14.927311589103695,38.86952459942009,111.41384710229676,108
ADI-47244,16.279786129056042,36.01938394544589,93.27065160708412,108
ADI-47247,14.590695703604444,34.62026851395114,96.63681046207668,108
ADI-47140,13.624928698779213,34.51540999406348,90.70595914613747,108
ADI-47317,17.231527471985473,50.37750597507444,128.6954662239101,108
ADI-45448,13.124012202500564,37.957485526936445,106.1742605512221,108
ADI-47143,14.02566189580213,42.94698487912828,108.55862307350846,108
ADI-45382,14.175936844685722,40.0448231193924,105.37279415717629,108
ADI-47253,16.329877778683908,38.16052368009473,83.80332982741771,108
ADI-47256,13.34040812889294,69.76865143468258,115.19075748423776,108
ADI-47166,13.0739205528727,38.61550427841832,84.5446862419101,108
ADI-45428,16.930977574218282,39.64624200805718,93.38085323626544,108
ADI-47149,14.87721993947583,37.221657746365935,104.4811627938003,108
ADI-47151,13.424562100267751,41.459893668916735,106.83547032630992,108
ADI-47152,13.775203647662806,36.02673072072463,83.81334815734327,108
ADI-47259,15.027494888359424,39.68171431697885,98.05941331150802,108
ADI-47260,15.378136435754476,38.36664154208197,93.29068826693528,108
ADI-47261,13.274287151384158,40.46507350730736,104.9219693105255,108
ADI-47155,14.572662709738411,38.635206993938624,96.15593062564916,108
ADI-47153,14.382314441152529,34.8545119095813,88.72232982087404,108
ADI-47158,13.524745399523482,40.01792204829595,101.9966169722582,108
ADI-45438,16.179602829800313,38.10902204329214,95.2542809323476,108
ADI-47161,14.02566189580213,40.27045817227168,100.2834825549852,108
ADI-38498,13.82529529729067,38.4400350850182,100.7643623914127,108
ADI-38500,13.82529529729067,35.11921844917032,100.48384915349668,108
ADI-38499,15.277953136498748,48.11681416998041,106.04402226218966,108
ADI-45397,14.276120143941451,38.38567636894055,89.6941078236546,108
ADI-45456,13.825295297290667,35.1974356324411,93.50107319537231,108
ADI-45455,13.174103852128429,43.676504822338224,119.78917092007576,108
ADI-45450,13.150059860307053,35.464776621751284,97.7388267538897,108
ADI-45465,16.22969447942818,41.22902682152078,92.20870863497343,108
ADI-45464,18.58400201193782,39.17979598770765,104.63784947383624,108
ADI-46692,13.9254785965464,44.16046436759471,124.46773099531832,108
ADI-45390,13.72511199803494,45.315911752344114,116.75361695262716,108
ADI-45395,14.230035826283816,40.49253115228856,111.51403040155247,108
ADI-46690,13.68103134636242,39.80059849876232,101.24524222784024,108
ADI-45393,14.67685334096437,37.1691542765708,104.2908145252144,108
ADI-46685,13.011806907334147,35.85115021254755,94.05208134127884,108
ADI-45460,16.229694479428176,42.03780288591969,118.01592652324932,108
ADI-45389,15.308008126275467,34.63151130642318,77.85244185162739,108
ADI-46689,13.474653749895618,35.79463941078219,99.6222727798974,108
ADI-45459,14.398343769033442,42.434825590377606,105.89374731330608,108
ADI-45463,12.923645603989105,38.71034446838042,114.37927276026636,108
ADI-45470,13.474653749895618,39.84041208398506,104.28079619528884,108
ADI-47295,15.027494888359424,42.76758256360922,104.13052124640524,108
ADI-45452,15.760836638911364,46.241902276872274,94.9938043542827,108
ADI-45454,13.975570246174264,34.75933777528836,95.67505078922166,108
ADI-45388,16.530244377195366,40.57449593305,95.34444590167774,108
ADI-47205,14.12584519505786,37.11909973186859,94.43277787845062,108
