id,DELTA_GEOM__K_all_bb_mean,DELTA_GEOM__K_all_bb_median,DELTA_GEOM__K_all_bb_q90,DELTA_GEOM__K_all_bb_iqr,DELTA_GEOM__K_all_bb_frac_neg,DELTA_GEOM__K_FW_mean,DELTA_GEOM__K_FW_median,DELTA_GEOM__K_FW_q90,DELTA_GEOM__K_CDR_mean,DELTA_GEOM__K_CDR_median,DELTA_GEOM__K_CDR_q90,DELTA_GEOM__K_HCDR3_mean,DELTA_GEOM__K_HCDR3_median,DELTA_GEOM__K_HCDR3_q90,DELTA_GEOM__K_chi1_mean,DELTA_GEOM__K_chi1_median,DELTA_GEOM__K_chi1_q90
ADI-45453,-1.9761155778192716,1.202199591068755,-15.969217901363294,4.483202641693886,0.0,-11.026864995325816,-0.8265122188597704,-13.040659697519771,1.7743640925239745,-0.10018329925573255,-17.221509142059872,-14.971141782528068,5.4098981598093925,-54.96055797169319,-7.183142556635808,-2.0517539687573425,-12.058061898419606
ADI-45454,-7.49120620184717,0.8766038684876314,-36.13611604154161,-14.401349268011117,0.0,-10.864837061242508,-2.8051323791604243,-9.827981656987077,-0.6699758137726946,1.1270621166269592,6.7373268749478115,-39.47238687892285,-21.08858449333106,-83.27235834136235,-2.27282511578165,-0.6572024431175851,-11.277433630618962
ADI-45455,-5.949635684549634,0.15027494888359527,-17.927801401812758,4.908981663530753,-0.025,-26.12256408870242,-2.701943580927024,-23.343710559577545,-1.376297539201829,0.1502749488835935,3.010508142634663,-2.6936784587384324,-1.4777036640220071,3.3811863498808634,-3.4028927313862702,-1.7552114029603807,-29.06758317925439
ADI-45456,-4.254033344646416,-0.12522912406966213,4.087478609633763,1.3274287151384172,0.0,-21.615182593053532,-1.6780702625334705,-50.26697040156229,2.006796713216332,1.252291240696616,5.585218933506923,9.055969152922401,8.29116984640417,12.151432733325919,-3.9993173062887166,-4.071449281752846,-0.877605701480185
ADI-45459,-5.8970394524403815,3.5314612987644622,-3.311058040401875,-18.997258121367715,0.0,-8.341712320878688,-6.852537669091898,-9.146735222048093,-19.4224109975842,-6.912647648645336,-44.36617407539981,-3.0567928268908133,8.760027686920989,-6.932684308496476,-36.26101122128044,-3.1136969408680724,-4.181250177737127
ADI-45460,5.871993627626438,0.7012830947901065,6.136227079413459,24.63256870450249,0.0,-10.882596406281877,-7.153087566859087,-8.505562106811368,3.5673504924390187,0.1502749488835935,12.062069230389838,8.859960527928585,9.467321779666442,30.375576334337197,-8.258443301980627,-0.17231527471985686,-1.357684071513642
ADI-45461,11.096552683812746,2.855224028788289,14.621752526373712,4.495725554100865,-0.025,-6.996956904133995,-13.449607925081686,-14.16591851476015,-0.5026697040156307,-0.25146008113188145,3.0505814623369787,36.698812239028,4.71863339494486,140.18649064854242,-1.7264921905070718,-0.9457303449740859,-2.199223785261772
ADI-45463,-4.376757886234685,-0.6010997955343758,-2.9754439878951615,-10.030852837979907,0.025,-10.426409897874617,-0.7263289196040379,-12.703242345626506,-7.281417953354236,-0.32559572258112013,-30.63104374743928,-6.322522478165787,-1.6279786129056042,-28.497139473292236,2.549998910389167,-2.0878199564894047,5.124576123529074
ADI-45464,-3.5527502498563024,2.7299949047186267,-20.12181565551326,-14.338734705976279,-0.025,-10.330170481166263,-7.513747444179714,-16.83580343992533,-10.922525944397265,-1.577886963277738,-68.23484512307735,-3.7545082830796446,-2.003665985114594,-17.391820750794643,-8.663183830973786,-1.6750647635557954,-32.80642390747822
ADI-45465,-6.439281559662014,-0.20036659851145977,-11.37581363048811,-7.764205692319038,0.0,-12.91610180155515,-27.47727348686893,-5.670374737874255,-6.445793474113636,-0.3756873722089882,-14.85718327962465,-24.58726359028351,-2.22907840843998,-80.82227557476419,-2.716303187153674,-0.5329751520404855,-8.206214408635319
ADI-45469,-18.03299386603132,-0.22541242332539113,-1.57287779831492,-4.959073313158619,0.0,-50.79348180419885,-6.136227079413434,-0.400733197022916,-4.704128915809967,-1.6780702625334687,-5.610264758320824,-12.658354661821093,-5.234577386111866,-21.679665958939836,-14.92397214579517,-4.339940523758203,-1.0106491228918024
ADI-45470,-1.4952357413917738,1.5027494888359438,8.139893064527982,-5.622787670727824,0.0,-3.6519016611297026,-1.828345211417064,1.2524916072951555,-5.241604131406891,-0.5189494901446778,-8.19499387911867,-8.028355658023315,-10.168604874456541,-15.002449063545498,-4.689246293829843,0.028051323791604688,-15.147714847466311
ADI-45472,-0.36566904228341457,1.602932788091671,-3.0305448024857924,1.4276120143941498,0.0,0.2043238388320603,-8.766038684876333,15.084198635738176,1.5810176913794756,1.3524745399523468,3.606598773206251,-7.157504739599013,-8.415397137481271,-20.517539687573404,12.456123540795698,-0.13624928698779115,5.48764040003185
ADI-45476,3.580300657151639,-0.17532077369752663,-8.891267808945997,-11.671354363292487,0.0,-15.394887083390039,-0.4758706714647154,-23.14234212807351,10.119709858680885,-0.5259623210925799,-12.943682263840174,7.457338680959886,12.084109556226094,27.249857397558415,-0.20904915111361966,0.2765059059458146,-0.9168775547884316
