id,generator,extraction_status,error,delta_E_total,delta_E_per_residue,CA_RMSD_pre_post,all_heavy_RMSD_pre_post,VH_CA_RMSD,VL_CA_RMSD,interface_CA_RMSD,initial_force_RMS,initial_force_q95,initial_force_max,final_force_RMS,final_force_q95,clash_relief_fraction,severe_clash_count_before,severe_clash_count_after,E_before,E_after,n_residues,min_HL_atom_distance_before,GENERATOR_GEOMETRY_ARTIFACT_DOMINATED_flag
ADI-45461,esmfold,SUCCESS,,-195024.09137850045,-816.000382336822,0.6418987006385375,0.8762778471481749,0.7003538750771446,0.5683872643674058,0.48147518671135536,506635.51656333107,3340.022511757673,22613796.14115607,9.952769031384484,19.49128557307803,0.01663306451612903,1984,1951,165829.27787568935,-29194.8135028111,239,1.7645954210526564,0.0
ADI-45463,esmfold,SUCCESS,,-37643.675904443844,-162.95963594997335,0.7497287415005788,0.9445883403516772,0.7292132266975819,0.7712940707008954,0.6267891914242286,7770.0606604497625,3377.659102957267,189309.3384934533,9.041461079332946,17.529151682274083,0.020185488270594652,1833,1796,12838.920593100895,-24804.75531134295,231,2.591949459383805,0.0
ADI-45464,esmfold,SUCCESS,,-35110.75513450188,-154.6729301079378,0.6430142790219546,0.8204637353832963,0.5787852418024491,0.7081502076229114,0.5164810229979739,5130.881724961688,3366.7373761028553,157043.50658459385,9.19013615901119,16.992001565540985,0.01884760366182014,1857,1822,11905.879857060665,-23204.875277441217,227,1.7937917939381927,0.0
ADI-45465,esmfold,SUCCESS,,-38049.77452284098,-165.43380227322163,0.6204063743413376,0.8494084719044921,0.6210618521449425,0.61969051690493,0.5660249025120863,7079.616449090441,3326.792997118397,230633.0506475316,9.516443509577128,18.22538196586126,0.02092274678111588,1864,1825,16844.349133065483,-21205.42538977549,230,2.8868423926497964,0.0
ADI-45469,esmfold,SUCCESS,,-36466.07792094801,-155.17479966360855,0.6642523961531583,0.8642012289969375,0.6146275366180092,0.7164842614888509,0.7338659361373521,6398.634755233235,3363.5942338972914,215068.86994861046,9.649836867869645,17.56778016119159,0.014949279231179925,1873,1845,13309.169924093138,-23156.90799685487,235,2.3384176273711237,0.0
ADI-45470,esmfold,SUCCESS,,-36210.75553537224,-157.43806754509671,0.7247526027135434,0.9289848379905761,0.5937825026460297,0.8447804331647517,0.5803860144916415,6441.202144273829,3350.5818865869005,169799.1989470851,25.21747056156071,45.51124134564641,0.013086150490730643,1834,1810,13593.48715047936,-22617.26838489288,230,2.2618589699625398,0.0
ADI-45472,esmfold,SUCCESS,,-35356.650789809384,-153.72456865134515,0.730261899600789,0.9645623521381267,0.7180975281601993,0.7437638660275641,0.6639584847316433,7602.183851771309,3353.862521635219,229137.06162870838,11.590789841641183,21.34659278414761,0.02628755364806867,1864,1815,11651.508467570902,-23705.14232223848,230,2.5118218487782924,0.0
ADI-45476,esmfold,SUCCESS,,-41717.7052332957,-181.38132710128568,0.7488532463387658,0.9706776125252328,0.7920418223837402,0.6987003691165097,0.6917717228987172,32482.932883614303,3306.6234036232217,1327363.3832665994,15.957342155333476,27.141658696690218,0.015066964285714286,1792,1765,18756.127949589805,-22961.577283705898,230,2.342147091879587,0.0
ADI-45477,esmfold,SUCCESS,,-32119.040618947452,-136.67676859126576,0.6325444865499696,0.8981598415931753,0.6634860219059113,0.5960828967488976,0.45759713226821924,3664.7034452940384,3318.786255767009,82990.14123337406,9.700319247405215,17.97265749787913,0.01615424700364773,1919,1888,4920.017135521246,-27199.023483426205,235,2.621020221211581,0.0
ADI-45479,esmfold,SUCCESS,,-213383.2389069073,-923.7369649649667,0.7296585825226323,0.9131318802045646,0.8265118158655513,0.5981097915137806,0.6936371884929949,441960.1410001086,3363.4916669759787,18325661.582571153,9.384645197230082,18.336691818292664,0.01580381471389646,1835,1806,188895.2657806604,-24487.973126246874,231,1.5211515374873066,0.0
ADI-45480,esmfold,SUCCESS,,-31311.72276893665,-136.7324138381513,0.6418932315222596,0.8603477032954925,0.6471304531366208,0.635869192320258,0.5218987874508169,4035.5899284032635,3330.786344477576,125966.73443326543,9.653520493724852,18.226177309057277,0.016630901287553648,1864,1833,8968.260377087308,-22343.462391849338,229,2.5869483953105843,0.0
ADI-45481,esmfold,SUCCESS,,-32480.886644907092,-143.72073736684553,0.6251188333564546,0.8923981471401521,0.6126194284819765,0.6384959253655219,0.6227395139133751,4725.78796320772,3322.701357908873,147580.9186907912,9.12758695107395,17.824824716143358,0.015275504637206765,1833,1805,9677.489450693687,-22803.397194213405,226,2.5740977059933057,0.0
