target,trajectory,policy,final_model,final_private_mae,private_regret
TmApp,56,CV_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,56,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,56,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,57,CV_FIRST,STRESS::TmApp::BIO_ABLANG2_ENet,3.2742499773572127,0.0
TmApp,57,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,57,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,58,CV_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,58,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,58,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,59,CV_FIRST,STRESS::TmApp::BIO_ABLANG2_ENet,3.2742499773572127,0.0
TmApp,59,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,59,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,60,CV_FIRST,STRESS::TmApp::ENSEMBLE_TOP2_CV,3.3546472348737737,0.08039725751656102
TmApp,60,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,60,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,61,CV_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,61,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,61,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,62,CV_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,62,PUBLIC_FIRST,STRESS::TmApp::BIO_ABLANG2_ENet,3.2742499773572127,0.0
TmApp,62,BALANCED,STRESS::TmApp::BIO_ABLANG2_ENet,3.2742499773572127,0.0
TmApp,63,CV_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,63,PUBLIC_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,63,BALANCED,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,64,CV_FIRST,STRESS::TmApp::BIO_ABLANG2_ENet,3.2742499773572127,0.0
TmApp,64,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,64,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,65,CV_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,65,PUBLIC_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,65,BALANCED,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,66,CV_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,66,PUBLIC_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,66,BALANCED,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,67,CV_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,67,PUBLIC_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,67,BALANCED,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,68,CV_FIRST,STRESS::TmApp::BIO_ABLANG2_ENet,3.2742499773572127,0.0
TmApp,68,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,68,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,69,CV_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,69,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,69,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,70,CV_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,70,PUBLIC_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,70,BALANCED,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,71,CV_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,71,PUBLIC_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,71,BALANCED,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,72,CV_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,72,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,72,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,73,CV_FIRST,STRESS::TmApp::BIO_ABLANG2_ENet,3.2742499773572127,0.0
TmApp,73,PUBLIC_FIRST,STRESS::TmApp::BIO_ABLANG2_ENet,3.2742499773572127,0.0
TmApp,73,BALANCED,STRESS::TmApp::BIO_ABLANG2_ENet,3.2742499773572127,0.0
TmApp,74,CV_FIRST,STRESS::TmApp::ENSEMBLE_TOP2_CV,3.3546472348737737,0.08039725751656102
TmApp,74,PUBLIC_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,74,BALANCED,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,75,CV_FIRST,STRESS::TmApp::BIO_ABLANG2_ENet,3.2742499773572127,0.0
TmApp,75,PUBLIC_FIRST,STRESS::TmApp::BIO_ABLANG2_ENet,3.2742499773572127,0.0
TmApp,75,BALANCED,STRESS::TmApp::BIO_ABLANG2_ENet,3.2742499773572127,0.0
TmApp,76,CV_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,76,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,76,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,77,CV_FIRST,STRESS::TmApp::ENSEMBLE_TOP2_CV,3.3546472348737737,0.08039725751656102
TmApp,77,PUBLIC_FIRST,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,77,BALANCED,TmApp__NESTED_STACK_MEAN__063c9d1b,3.430207328611208,0.15595735125399512
TmApp,78,CV_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,78,PUBLIC_FIRST,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
TmApp,78,BALANCED,TmApp__ENSEMBLE_TOP2_CV__2837d85b,3.3517733714767,0.0775233941194875
