antibody_id,viscosity_cP,n_values_seen,conflict,label_source,condition_note
mAb146,21.57806653,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb149,17.72522974,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb151,16.0036085,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb152,20.99896073,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb153,22.67406286,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb157,15.51077198,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb162,47.42397928,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb163,26.25752119,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb164,7.782244134,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb165,12.96302081,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb166,16.47092192,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb167,14.06320108,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb168,20.27235676,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb171,8.511830989,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb173,94.02926562,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb174,33.58128351,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb175,38.60063962,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb176,9.894468344,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb177,54.49802432,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb178,30.11523523,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb180,8.539126307,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb181,8.312653008,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb182,9.846956176,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb185,7.854488741,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb186,7.792513507,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
mAb187,9.31643005,1,False,sequence_grouping.ipynb_outputs,"paper: 20 mM His-HCl pH6.0, 150 mg/mL, 25C (not re-verified per-row)"
