Dataset ID,Dataset source,Organism,Strain/tissue,OGT [°C],Cells/lysate,Replicate/experiment,Lysis conditions,Melting range [°C],Number of identified proteins,Number of fitted melting curves,PRIDE data directory,PRIDE TPP file name,Mass spectrometer,TMT126,TMT127L,TMT127H,TMT128L,TMT128H,TMT129L,TMT129H,TMT130L,TMT130H,TMT131L
ma:0032,OS,Homo sapiens,hepatocytes,37,lysate,R1,PBS,40-70,5391,4731,Homo_sapiens_hepatocytes_P013190,TPP_H.sapiens_hepatocytes_P013190,Q Exactive Plus,40,42.9,46.0,50.0,53.0,57.0,61.0,64.0,67.0,70.0
ma:0033,OS,Homo sapiens,hepatocytes,37,lysate,R2,PBS,40-70,5391,4287,Homo_sapiens_hepatocytes_P013194,TPP_H.sapiens_hepatocytes_P013194,Q Exactive Plus,40,42.9,46.0,50.0,53.0,57.0,61.0,64.0,67.0,70.0
ma:0034,OS,Homo sapiens,hepatocytes,37,lysate,R3,PBS,40-70,4670,3622,Homo_sapiens_hepatocytes_P013553,TPP_H.sapiens_hepatocytes_P013553,Q Exactive Plus,40,42.9,46.0,50.0,53.0,57.0,61.0,64.0,67.0,70.0
ma:0035,OS,Homo sapiens,hepatocytes,37,lysate,R4,PBS,40-70,4670,3822,Homo_sapiens_hepatocytes_P013558,TPP_H.sapiens_hepatocytes_P013558,Q Exactive Plus,40,42.9,46.0,50.0,53.0,57.0,61.0,64.0,67.0,70.0
ma:0036,OS,Homo sapiens,Jurkat,37,lysate,R1,0.5% NP40,40-70,8340,6985,Homo_sapiens_Jurkat_P015963,TPP_H.sapiens_Jurkat_P015963,Orbitrap Fusion Lumos,40,42.9,46.0,50.0,53.0,57.0,61.0,64.0,67.0,70.0
ma:0037,OS,Homo sapiens,Jurkat,37,lysate,R2,0.5% NP40,40-70,8340,6655,Homo_sapiens_Jurkat_P015964,TPP_H.sapiens_Jurkat_P015964,Orbitrap Fusion Lumos,40,42.9,46.0,50.0,53.0,57.0,61.0,64.0,67.0,70.0
ma:0038,OS,Homo sapiens,lung fibroblasts,37,lysate,R1,0.5% NP40,40-70,7415,5794,Homo_sapiens_lung_fibroblasts_P017092,TPP_H.sapiens_lung_fibroblasts_P017092,Q Exactive HF,40,42.9,46.0,50.0,53.0,57.0,61.0,64.0,67.0,70.0
ma:0039,OS,Homo sapiens,lung fibroblasts,37,lysate,R2,0.5% NP40,40-70,7415,5842,Homo_sapiens_lung_fibroblasts_P017095,TPP_H.sapiens_lung_fibroblasts_P017095,Q Exactive Plus,40,42.9,46.0,50.0,53.0,57.0,61.0,64.0,67.0,70.0
ma:0040,TUM,Human body fluids,saliva,37,lysate,R1,PBS,37-67,2036,1965,Homo_sapiens_body_fluids_saliva_P014425,TPP_human_body_fluids_saliva_P014425,Q Exactive HF,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0041,TUM,Human body fluids,breast milk,37,lysate,R1,PBS,37-67,1911,1781,Homo_sapiens_body_fluids_breast_milk_P014818,TPP_human_body_fluids_breast_milk_P014818,Q Exactive HF,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0042,TUM,Human body fluids,blood plasma,37,lysate,R1,PBS,37-67,913,742,Homo_sapiens_body_fluids_blood_plasma_P014819,TPP_human_body_fluids_blood_plasma_P014819,Q Exactive HF,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0043,TUM,Human body fluids,cerebrospinal fluid (CSF),37,lysate,R1,PBS,37-67,477,452,Homo_sapiens_body_fluids_CSF_P014829,TPP_human_body_fluids_CSF_P014820,Q Exactive HF,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0044,TUM,Human body fluids,seminal plasma,37,lysate,R1,PBS,37-67,1413,1316,Homo_sapiens_body_fluids_seminal_plasma_P014428,TPP_human_body_fluids_seminal_plasma_P014428,Q Exactive HF,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0045,EMBL,Homo sapiens,HEK293T,37,cells,R1,PBS,37-67,7531,6367,Homo_sapiens_HEK293T_P0110479B,Homo_sapiens_TPP_data,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0046,EMBL,Homo sapiens,HEK293T,37,cells,R2,PBS,37-67,7492,6368,Homo_sapiens_HEK293T_P0110469B,Homo_sapiens_TPP_data,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0047,EMBL,Homo sapiens,U937,37,cells,R1,PBS,37-67,7653,6755,Homo_sapiens_U937_P0107995B,Homo_sapiens_TPP_data,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0048,EMBL,Homo sapiens,U937,37,cells,R2,PBS,37-67,7621,6754,Homo_sapiens_U937_P0107985B,Homo_sapiens_TPP_data,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0049,EMBL,Homo sapiens,HL60,37,cells,R1,PBS,37-67,7530,6527,Homo_sapiens_HL60_P0113864B,Homo_sapiens_TPP_data,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0050,EMBL,Homo sapiens,HL60,37,cells,R2,PBS,37-67,7509,6527,Homo_sapiens_HL60_P0113854B,Homo_sapiens_TPP_data,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0051,EMBL,Homo sapiens,HAOEC,37,cells,R1,PBS,37-67,7230,6398,Homo_sapiens_HAOEC_P0111855B,Homo_sapiens_TPP_data,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0052,EMBL,Homo sapiens,HAOEC,37,cells,R2,PBS,37-67,7227,6398,Homo_sapiens_HAOEC_P0111845B,Homo_sapiens_TPP_data,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0053,EMBL,Homo sapiens,HepG2,37,cells,R1,PBS,37-67,7144,6543,Homo_sapiens_HepG2_P0111491B,Homo_sapiens_TPP_data,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0054,EMBL,Homo sapiens,HepG2,37,cells,R2,PBS,37-67,7218,6544,Homo_sapiens_HepG2_P0111481B,Homo_sapiens_TPP_data,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0055,EMBL,Homo sapiens,HepG2,37,cells,R3,PBS,37-67,6857,6113,Homo_sapiens_HepG2_P0111471B,Homo_sapiens_TPP_data,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
ma:0056,EMBL,Homo sapiens,HepG2,37,cells,R4,PBS,37-67,7105,6114,Homo_sapiens_HepG2_P0111461B,Homo_sapiens_TPP_data,Q Exactive Plus,37,39.9,43.0,46.6,50.2,53.8,57.4,61.0,64.1,67.0
