experiment_id,target,structure_source,feature_family,model,hyperparameters,n_features,Primary_MAE,Primary_fold_SD,Shadow_MAE,delta_vs_plm_only,delta_vs_sequence_incumbent,status,notes
HIC__ESMFold__STRUCT_GEOMETRY_ALL__ElasticNet,HIC,ESMFold,STRUCT_GEOMETRY_ALL,ElasticNet,"{""alpha"": 0.05, ""l1_ratio"": 0.3}",47,0.5475732505659315,0.05610330638005675,,0.09237325056593154,0.09907325056593153,STRUCTURE_ONLY_FIXED,fixed HP screen
HIC__ESMFold__STRUCT_GEOMETRY_ALL__RidgeOpt,HIC,ESMFold,STRUCT_GEOMETRY_ALL,RidgeOpt,"{""alpha"": 96.68599030214607}",47,0.5337118745182234,0.06330784526951298,,0.07851187451822345,0.08521187451822343,STRUCTURE_ONLY_OPTUNA,trials=30
HIC__ESMFold__STRUCT_GEOMETRY_ALL__ElasticNetOpt,HIC,ESMFold,STRUCT_GEOMETRY_ALL,ElasticNetOpt,"{""alpha"": 0.6146101326419681, ""l1_ratio"": 0.051959727983703866}",47,0.5251867626922483,0.05274771477073828,,0.0699867626922483,0.07668676269224828,STRUCTURE_ONLY_OPTUNA,trials=30
HIC__ESMFold__STRUCT_ALL__Ridge,HIC,ESMFold,STRUCT_ALL,Ridge,"{""alpha"": 10.0}",218,0.6058147173690365,0.07712483914531747,,0.15061471736903648,0.15731471736903646,STRUCTURE_ONLY_FIXED,fixed HP screen
HIC__ESMFold__STRUCT_ALL__ElasticNet,HIC,ESMFold,STRUCT_ALL,ElasticNet,"{""alpha"": 0.05, ""l1_ratio"": 0.3}",218,0.536110702891271,0.07238571642717719,,0.08091070289127106,0.08761070289127104,STRUCTURE_ONLY_FIXED,fixed HP screen
HIC__ESMFold__STRUCT_ALL__RidgeOpt,HIC,ESMFold,STRUCT_ALL,RidgeOpt,"{""alpha"": 96.68599030214607}",218,0.5110364863528423,0.06961811420429677,,0.055836486352842274,0.06253648635284226,STRUCTURE_ONLY_OPTUNA,trials=30
HIC__ESMFold__STRUCT_ALL__ElasticNetOpt,HIC,ESMFold,STRUCT_ALL,ElasticNetOpt,"{""alpha"": 0.11011820861153858, ""l1_ratio"": 0.7588108205285777}",218,0.48074783527681964,0.04289417249701348,,0.02554783527681964,0.032247835276819625,STRUCTURE_ONLY_OPTUNA,trials=30
HIC__ESMFold__STRUCT_SURFACE_CHEM__SVROpt,HIC,ESMFold,STRUCT_SURFACE_CHEM,SVROpt,"{""C"": 8.180867710869865, ""gamma"": 0.0009546207792024042, ""epsilon"": 0.0022072069590240878}",82,0.43968592739191437,0.048701839095728186,0.4488405283364788,-0.015514072608085627,-0.008814072608085644,STRUCT_SHADOW_EVAL,SVR on best family
TmApp__FUSION_PLM__ESMFold__STRUCT_RASA__RidgeOpt,TmApp,ESMFold,STRUCT_RASA,PLM+RidgeOpt,"{""pca_dim"": 48, ""alpha"": 99.40106410438038}",112,3.0249190938872266,0.27016700363958285,,0.16151909388722663,0.24931909388722673,FUSION_PLM_STRUCT,PLM + structure
TmApp__FUSION_PLM__ESMFold__STRUCT_RASA__SVROpt,TmApp,ESMFold,STRUCT_RASA,PLM+SVROpt,"{""pca_dim"": 48, ""C"": 29.933357032359822, ""gamma"": 0.00018882390294210595, ""epsilon"": 0.002799512565872874}",112,2.8830728108692725,0.22222865334026562,,0.019672810869272528,0.10747281086927263,FUSION_PLM_STRUCT,PLM + structure
TmApp__FUSION_OVERALL__ESMFold__STRUCT_RASA__RidgeOpt,TmApp,ESMFold,STRUCT_RASA,OVERALL+RidgeOpt,"{""pca_dim"": 48, ""alpha"": 99.40106410438038}",190,2.931715648896736,0.1688080424544451,,0.06831564889673603,0.15611564889673613,FUSION_OVERALL_STRUCT,overall sequence incumbent + structure
TmApp__FUSION_OVERALL__ESMFold__STRUCT_RASA__SVROpt,TmApp,ESMFold,STRUCT_RASA,OVERALL+SVROpt,"{""pca_dim"": 48, ""C"": 19.52123923927889, ""gamma"": 0.00012102467788883382, ""epsilon"": 0.012431452761783849}",190,2.753910574048997,0.30186761852940136,2.8202335452759413,-0.10948942595100286,-0.02168942595100276,STRUCT_SHADOW_CONFIRMED,overall sequence incumbent + structure
TmApp__FUSION_PLM__ESMFold__STRUCT_PACKING__RidgeOpt,TmApp,ESMFold,STRUCT_PACKING,PLM+RidgeOpt,"{""pca_dim"": 48, ""alpha"": 99.40106410438038}",71,2.9398133573865786,0.2602142161137424,,0.07641335738657862,0.16421335738657872,FUSION_PLM_STRUCT,PLM + structure
TmApp__FUSION_PLM__ESMFold__STRUCT_PACKING__SVROpt,TmApp,ESMFold,STRUCT_PACKING,PLM+SVROpt,"{""pca_dim"": null, ""C"": 46.92793081326896, ""gamma"": 0.00028110740716802396, ""epsilon"": 0.45951134027908497}",503,2.836401677219856,0.3110801263088009,2.933032969320664,-0.026998322780143802,0.0608016772198563,STRUCT_SHADOW_CONFIRMED,PLM + structure
TmApp__FUSION_OVERALL__ESMFold__STRUCT_PACKING__RidgeOpt,TmApp,ESMFold,STRUCT_PACKING,OVERALL+RidgeOpt,"{""pca_dim"": 48, ""alpha"": 99.40106410438038}",149,2.8044604382916107,0.1933836541976696,,-0.05893956170838921,0.02886043829161089,FUSION_OVERALL_STRUCT,overall sequence incumbent + structure
TmApp__FUSION_OVERALL__ESMFold__STRUCT_PACKING__SVROpt,TmApp,ESMFold,STRUCT_PACKING,OVERALL+SVROpt,"{""pca_dim"": 64, ""C"": 22.52069816952555, ""gamma"": 0.0002187185636704603, ""epsilon"": 0.10940601308293073}",165,2.776722386552982,0.18884035630958457,2.8001396431269505,-0.08667761344701796,0.0011223865529821353,STRUCT_NO_GAIN,overall sequence incumbent + structure
