feature_name,family,structure_source,level,definition,unit,missing_count,label_independent,notes
Fv_sasa_polar,STRUCT_SURFACE_CHEM,ESMFold,Fv,Fv_sasa_polar,mixed,0,True,gate_b2 precomputed
Fv_rasa_w_hydrophobicity_sum,STRUCT_SURFACE_CHEM,ESMFold,Fv,Fv_rasa_w_hydrophobicity_sum,mixed,0,True,gate_b2 precomputed
Fv_rasa_w_hydrophobicity_mean,STRUCT_SURFACE_CHEM,ESMFold,Fv,Fv_rasa_w_hydrophobicity_mean,mixed,0,True,gate_b2 precomputed
Fv_rasa_w_charge_sum,STRUCT_SURFACE_CHEM,ESMFold,Fv,Fv_rasa_w_charge_sum,mixed,0,True,from gate_b2 SASA cache + Stage3 packing
Fv_exposed_pos,STRUCT_SURFACE_CHEM,ESMFold,Fv,Fv_exposed_pos,mixed,0,True,gate_b2 precomputed
Fv_exposed_neg,STRUCT_SURFACE_CHEM,ESMFold,Fv,Fv_exposed_neg,mixed,0,True,gate_b2 precomputed
VH_total_sasa,STRUCT_SASA,ESMFold,VH,VH_total_sasa,mixed,0,True,gate_b2 precomputed
VH_mean_sasa,STRUCT_SASA,ESMFold,VH,VH_mean_sasa,mixed,0,True,gate_b2 precomputed
VH_mean_rasa,STRUCT_RASA,ESMFold,VH,VH_mean_rasa,mixed,0,True,gate_b2 precomputed
VH_median_rasa,STRUCT_RASA,ESMFold,VH,VH_median_rasa,mixed,0,True,gate_b2 precomputed
VH_max_rasa,STRUCT_RASA,ESMFold,VH,VH_max_rasa,mixed,0,True,gate_b2 precomputed
VH_frac_rasa_gt_0_20,STRUCT_RASA,ESMFold,VH,VH_frac_rasa_gt_0_20,mixed,0,True,gate_b2 precomputed
VH_frac_rasa_gt_0_25,STRUCT_RASA,ESMFold,VH,VH_frac_rasa_gt_0_25,mixed,0,True,gate_b2 precomputed
VH_frac_rasa_gt_0_50,STRUCT_RASA,ESMFold,VH,VH_frac_rasa_gt_0_50,mixed,0,True,gate_b2 precomputed
VH_frac_rasa_gt_1,STRUCT_RASA,ESMFold,VH,VH_frac_rasa_gt_1,mixed,0,True,gate_b2 precomputed
VH_n_res,STRUCT_GLOBAL,ESMFold,VH,VH_n_res,mixed,0,True,gate_b2 precomputed
VH_n_exposed,STRUCT_RASA,ESMFold,VH,VH_n_exposed,mixed,0,True,gate_b2 precomputed
VH_sasa_hydrophobic,STRUCT_SURFACE_CHEM,ESMFold,VH,VH_sasa_hydrophobic,mixed,0,True,gate_b2 precomputed
VH_sasa_aromatic,STRUCT_SURFACE_CHEM,ESMFold,VH,VH_sasa_aromatic,mixed,0,True,gate_b2 precomputed
VH_sasa_positive,STRUCT_SURFACE_CHEM,ESMFold,VH,VH_sasa_positive,mixed,0,True,gate_b2 precomputed
VH_sasa_negative,STRUCT_SURFACE_CHEM,ESMFold,VH,VH_sasa_negative,mixed,0,True,gate_b2 precomputed
VH_sasa_polar,STRUCT_SURFACE_CHEM,ESMFold,VH,VH_sasa_polar,mixed,0,True,gate_b2 precomputed
VH_rasa_w_hydrophobicity_sum,STRUCT_SURFACE_CHEM,ESMFold,VH,VH_rasa_w_hydrophobicity_sum,mixed,0,True,gate_b2 precomputed
VH_rasa_w_hydrophobicity_mean,STRUCT_SURFACE_CHEM,ESMFold,VH,VH_rasa_w_hydrophobicity_mean,mixed,0,True,gate_b2 precomputed
VH_rasa_w_charge_sum,STRUCT_SURFACE_CHEM,ESMFold,VH,VH_rasa_w_charge_sum,mixed,0,True,from gate_b2 SASA cache + Stage3 packing
VH_exposed_pos,STRUCT_SURFACE_CHEM,ESMFold,VH,VH_exposed_pos,mixed,0,True,gate_b2 precomputed
VH_exposed_neg,STRUCT_SURFACE_CHEM,ESMFold,VH,VH_exposed_neg,mixed,0,True,gate_b2 precomputed
VL_total_sasa,STRUCT_SASA,ESMFold,VL,VL_total_sasa,mixed,0,True,gate_b2 precomputed
VL_mean_sasa,STRUCT_SASA,ESMFold,VL,VL_mean_sasa,mixed,0,True,gate_b2 precomputed
VL_mean_rasa,STRUCT_RASA,ESMFold,VL,VL_mean_rasa,mixed,0,True,gate_b2 precomputed
VL_median_rasa,STRUCT_RASA,ESMFold,VL,VL_median_rasa,mixed,0,True,gate_b2 precomputed
VL_max_rasa,STRUCT_RASA,ESMFold,VL,VL_max_rasa,mixed,0,True,gate_b2 precomputed
VL_frac_rasa_gt_0_20,STRUCT_RASA,ESMFold,VL,VL_frac_rasa_gt_0_20,mixed,0,True,gate_b2 precomputed
VL_frac_rasa_gt_0_25,STRUCT_RASA,ESMFold,VL,VL_frac_rasa_gt_0_25,mixed,0,True,gate_b2 precomputed
VL_frac_rasa_gt_0_50,STRUCT_RASA,ESMFold,VL,VL_frac_rasa_gt_0_50,mixed,0,True,gate_b2 precomputed
VL_frac_rasa_gt_1,STRUCT_RASA,ESMFold,VL,VL_frac_rasa_gt_1,mixed,0,True,gate_b2 precomputed
VL_n_res,STRUCT_GLOBAL,ESMFold,VL,VL_n_res,mixed,0,True,gate_b2 precomputed
VL_n_exposed,STRUCT_RASA,ESMFold,VL,VL_n_exposed,mixed,0,True,gate_b2 precomputed
VL_sasa_hydrophobic,STRUCT_SURFACE_CHEM,ESMFold,VL,VL_sasa_hydrophobic,mixed,0,True,gate_b2 precomputed
VL_sasa_aromatic,STRUCT_SURFACE_CHEM,ESMFold,VL,VL_sasa_aromatic,mixed,0,True,gate_b2 precomputed
VL_sasa_positive,STRUCT_SURFACE_CHEM,ESMFold,VL,VL_sasa_positive,mixed,0,True,gate_b2 precomputed
VL_sasa_negative,STRUCT_SURFACE_CHEM,ESMFold,VL,VL_sasa_negative,mixed,0,True,gate_b2 precomputed
VL_sasa_polar,STRUCT_SURFACE_CHEM,ESMFold,VL,VL_sasa_polar,mixed,0,True,gate_b2 precomputed
VL_rasa_w_hydrophobicity_sum,STRUCT_SURFACE_CHEM,ESMFold,VL,VL_rasa_w_hydrophobicity_sum,mixed,0,True,gate_b2 precomputed
VL_rasa_w_hydrophobicity_mean,STRUCT_SURFACE_CHEM,ESMFold,VL,VL_rasa_w_hydrophobicity_mean,mixed,0,True,gate_b2 precomputed
VL_rasa_w_charge_sum,STRUCT_SURFACE_CHEM,ESMFold,VL,VL_rasa_w_charge_sum,mixed,0,True,from gate_b2 SASA cache + Stage3 packing
VL_exposed_pos,STRUCT_SURFACE_CHEM,ESMFold,VL,VL_exposed_pos,mixed,0,True,gate_b2 precomputed
VL_exposed_neg,STRUCT_SURFACE_CHEM,ESMFold,VL,VL_exposed_neg,mixed,0,True,gate_b2 precomputed
H_CDR1_total_sasa,STRUCT_SASA,ESMFold,CDR,H_CDR1_total_sasa,mixed,0,True,gate_b2 precomputed
H_CDR1_mean_sasa,STRUCT_SASA,ESMFold,CDR,H_CDR1_mean_sasa,mixed,0,True,gate_b2 precomputed
H_CDR1_mean_rasa,STRUCT_RASA,ESMFold,CDR,H_CDR1_mean_rasa,mixed,0,True,gate_b2 precomputed
H_CDR1_median_rasa,STRUCT_RASA,ESMFold,CDR,H_CDR1_median_rasa,mixed,0,True,gate_b2 precomputed
H_CDR1_max_rasa,STRUCT_RASA,ESMFold,CDR,H_CDR1_max_rasa,mixed,0,True,gate_b2 precomputed
H_CDR1_frac_rasa_gt_0_20,STRUCT_RASA,ESMFold,CDR,H_CDR1_frac_rasa_gt_0_20,mixed,0,True,gate_b2 precomputed
H_CDR1_frac_rasa_gt_0_25,STRUCT_RASA,ESMFold,CDR,H_CDR1_frac_rasa_gt_0_25,mixed,0,True,gate_b2 precomputed
H_CDR1_frac_rasa_gt_0_50,STRUCT_RASA,ESMFold,CDR,H_CDR1_frac_rasa_gt_0_50,mixed,0,True,gate_b2 precomputed
H_CDR1_frac_rasa_gt_1,STRUCT_RASA,ESMFold,CDR,H_CDR1_frac_rasa_gt_1,mixed,0,True,gate_b2 precomputed
H_CDR1_n_res,STRUCT_GLOBAL,ESMFold,CDR,H_CDR1_n_res,mixed,0,True,gate_b2 precomputed
H_CDR1_n_exposed,STRUCT_RASA,ESMFold,CDR,H_CDR1_n_exposed,mixed,0,True,gate_b2 precomputed
H_CDR1_sasa_hydrophobic,STRUCT_SURFACE_CHEM,ESMFold,CDR,H_CDR1_sasa_hydrophobic,mixed,0,True,gate_b2 precomputed
H_CDR1_sasa_aromatic,STRUCT_SURFACE_CHEM,ESMFold,CDR,H_CDR1_sasa_aromatic,mixed,0,True,gate_b2 precomputed
H_CDR1_sasa_positive,STRUCT_SURFACE_CHEM,ESMFold,CDR,H_CDR1_sasa_positive,mixed,0,True,gate_b2 precomputed
H_CDR1_sasa_negative,STRUCT_SURFACE_CHEM,ESMFold,CDR,H_CDR1_sasa_negative,mixed,0,True,gate_b2 precomputed
H_CDR1_sasa_polar,STRUCT_SURFACE_CHEM,ESMFold,CDR,H_CDR1_sasa_polar,mixed,0,True,gate_b2 precomputed
H_CDR1_rasa_w_hydrophobicity_sum,STRUCT_SURFACE_CHEM,ESMFold,CDR,H_CDR1_rasa_w_hydrophobicity_sum,mixed,0,True,gate_b2 precomputed
H_CDR1_rasa_w_hydrophobicity_mean,STRUCT_SURFACE_CHEM,ESMFold,CDR,H_CDR1_rasa_w_hydrophobicity_mean,mixed,0,True,gate_b2 precomputed
