target,tag,model,repeat,fold,pearson,mae,rmse,spearman
HIC,ESMFN_STRUCTURE/ElasticNet,cv,1,0,0.6060038123263959,0.5371356516663912,0.7091855964736589,0.5107378642382743
HIC,ESMFN_STRUCTURE/ElasticNet,cv,1,1,0.647578891233729,0.4776367073165291,0.6515993166623609,0.6841577540106952
HIC,ESMFN_STRUCTURE/ElasticNet,cv,1,2,0.4852374316356003,0.33484272235790613,0.4827017682795308,0.4736070381231671
HIC,ESMFN_STRUCTURE/ElasticNet,cv,1,3,0.3564098389077246,0.6336986529951905,0.9272814228207525,0.3339748891306484
HIC,ESMFN_STRUCTURE/ElasticNet,cv,1,4,0.5754751658983703,0.4858859736758001,0.6338882190347146,0.5413382309108226
HIC,ESMFN_STRUCTURE/ElasticNet,cv,2,0,0.6249581211619355,0.5084431474559049,0.6692443037954254,0.43844547972402925
HIC,ESMFN_STRUCTURE/ElasticNet,cv,2,1,0.6161569783709172,0.43874001598523515,0.5979616625219559,0.6433823529411765
HIC,ESMFN_STRUCTURE/ElasticNet,cv,2,2,0.3466156660027029,0.46999810751649623,0.7824545512862467,0.5256598240469208
HIC,ESMFN_STRUCTURE/ElasticNet,cv,2,3,0.5674887128072206,0.5528518092537134,0.76022270539544,0.545554546288726
HIC,ESMFN_STRUCTURE/ElasticNet,cv,2,4,0.5315897894860565,0.4769953577939008,0.6262299495568328,0.5904674709663933
HIC,PLM_ESM2/PCA64/SVR,cv,0,0,0.5559807021912058,0.4803110647001964,0.7131497714921188,0.5806236401142637
HIC,PLM_ESM2/PCA64/SVR,cv,0,1,0.7349046628019291,0.365081474375866,0.5007046644076686,0.6309016483964285
HIC,PLM_ESM2/PCA64/SVR,cv,0,2,0.5234708621362176,0.4471970609422994,0.5504643642896272,0.48831454700551435
HIC,PLM_ESM2/PCA64/SVR,cv,0,3,0.5742625765786781,0.4977986795999772,0.6812564156367377,0.4362569901926142
HIC,PLM_ESM2/PCA64/SVR,cv,0,4,0.13567410791685605,0.6732070507464651,0.9904607266142776,0.4122445256063821
HIC,PLM_ESM2/PCA64/SVR,cv,1,0,0.5941334149362919,0.5334399814197505,0.7277013638934454,0.579259632673383
HIC,PLM_ESM2/PCA64/SVR,cv,1,1,0.7600498231695582,0.3951796779044363,0.544719894822492,0.7242647058823529
HIC,PLM_ESM2/PCA64/SVR,cv,1,2,0.522869114599503,0.38761310443722424,0.48893912821117463,0.5909090909090909
HIC,PLM_ESM2/PCA64/SVR,cv,1,3,0.43094819376582805,0.5944089908506944,0.8693599255336067,0.4155439482212842
HIC,PLM_ESM2/PCA64/SVR,cv,1,4,0.38956687431242565,0.5784278590625686,0.7435121005686928,0.3996333706012845
HIC,PLM_ESM2/PCA64/SVR,cv,2,0,0.6146847173486253,0.5236832938301625,0.6862261988520254,0.6213121799977951
HIC,PLM_ESM2/PCA64/SVR,cv,2,1,0.7389695429448249,0.3828947422285041,0.5111094554286564,0.6798128342245989
HIC,PLM_ESM2/PCA64/SVR,cv,2,2,0.2201774485110502,0.5000768046027326,0.7692759308239232,0.4138563049853372
HIC,PLM_ESM2/PCA64/SVR,cv,2,3,0.5100689614077891,0.6176834590906846,0.8040369915634539,0.5011915757907852
HIC,PLM_ESM2/PCA64/SVR,cv,2,4,0.3485834591653754,0.5416996716859601,0.7032942654038178,0.26819432164664186
HIC,PLM_ESM2/ElasticNet,cv,0,0,0.4726477813001118,0.4742986534756223,0.7674166691029704,0.6182396260128268
HIC,PLM_ESM2/ElasticNet,cv,0,1,0.6609891323746265,0.45306829235524476,0.5776867934902421,0.5936324914183083
HIC,PLM_ESM2/ElasticNet,cv,0,2,0.47692355160568967,0.45689309283272617,0.5903439369206205,0.32242690997849094
HIC,PLM_ESM2/ElasticNet,cv,0,3,0.43957067493662694,0.6077551796982044,0.7948022227273517,0.36256988512646676
HIC,PLM_ESM2/ElasticNet,cv,0,4,0.3875876890939077,0.5964334457360894,0.8972902283641627,0.5546696018163239
HIC,PLM_ESM2/ElasticNet,cv,1,0,0.5682549541294871,0.5443589852672909,0.7474199731153541,0.5984791530881087
HIC,PLM_ESM2/ElasticNet,cv,1,1,0.7239553302332549,0.45638236982221253,0.5843955811811422,0.6731283422459894
HIC,PLM_ESM2/ElasticNet,cv,1,2,0.24757131624921888,0.4371310133280771,0.6198006882922494,0.2620967741935484
HIC,PLM_ESM2/ElasticNet,cv,1,3,0.3297850133820744,0.6475012438498386,0.9351533606227115,0.4133443331446828
HIC,PLM_ESM2/ElasticNet,cv,1,4,0.36835939377502147,0.5802242896227771,0.7725506019100576,0.3593033974213383
HIC,PLM_ESM2/ElasticNet,cv,2,0,0.5194240089758819,0.5345916763402804,0.7535965430181466,0.5987463623223305
HIC,PLM_ESM2/ElasticNet,cv,2,1,0.6102017778955906,0.4819538379869394,0.6223327193545716,0.5427807486631017
HIC,PLM_ESM2/ElasticNet,cv,2,2,0.051388855649038695,0.5479758522904937,0.91139348653009,0.25366568914956006
HIC,PLM_ESM2/ElasticNet,cv,2,3,0.38287348874349136,0.7267012338365205,0.9261336153042434,0.4390467534816863
HIC,PLM_ESM2/ElasticNet,cv,2,4,0.2815146995616445,0.6074565407275141,0.8226278174100338,0.284692947038438
HIC,FUSION_ESM2_ESMFN/ElasticNet,cv,0,0,0.4673170785358521,0.48684932560919797,0.7624216871688408,0.5197693340383662
HIC,FUSION_ESM2_ESMFN/ElasticNet,cv,0,1,0.6519565453054779,0.4589284893262669,0.6141217378825962,0.5608757435810368
HIC,FUSION_ESM2_ESMFN/ElasticNet,cv,0,2,0.4631940728438052,0.4688533887209459,0.6176084559622841,0.33434149164341526
HIC,FUSION_ESM2_ESMFN/ElasticNet,cv,0,3,0.4667602567424474,0.5724638682599648,0.7617071902223841,0.44597195678093715
HIC,FUSION_ESM2_ESMFN/ElasticNet,cv,0,4,0.4758520768869754,0.5645901014513008,0.8744118039771297,0.6081935686802916
