id,S3_hydro_n,S3_hydro_n_edges,S3_hydro_density,S3_hydro_mean_deg,S3_hydro_max_deg,S3_hydro_clustering,S3_hydro_largest_n,S3_hydro_largest_sasa,S3_aro_in_largest_hydro,S3_largest_hydro_heavy_frac,S3_aromatic_n,S3_aromatic_n_edges,S3_aromatic_density,S3_aromatic_mean_deg,S3_aromatic_max_deg,S3_aromatic_clustering,S3_aromatic_largest_n,S3_aromatic_largest_sasa,S3_charged_n,S3_charged_n_edges,S3_charged_density,S3_charged_mean_deg,S3_charged_max_deg,S3_charged_clustering,S3_charged_largest_n,S3_charged_largest_sasa,S3_exposed_n,S3_exposed_n_edges,S3_exposed_density,S3_exposed_mean_deg,S3_exposed_max_deg,S3_exposed_clustering,S3_exposed_largest_n,S3_exposed_largest_sasa
ADI-47187,22,2,0.008658008658008658,0.18181818181818182,1.0,0.0,2,0.7999999999999999,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0.52,26,9,0.027692307692307693,0.6923076923076923,2.0,0.11538461538461539,3,1.1600000000000001,122,184,0.024928871426635957,3.0163934426229506,6.0,0.5240437158469946,31,13.96
ADI-47188,25,3,0.01,0.24,1.0,0.0,2,0.64,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1,0.52,26,8,0.024615384615384615,0.6153846153846154,2.0,0.11538461538461539,3,1.08,128,182,0.022391732283464565,2.84375,5.0,0.5028645833333334,35,15.6
ADI-47189,29,11,0.027093596059113302,0.7586206896551724,3.0,0.18390804597701152,4,1.52,0.0,0.0,7.0,3.0,0.14285714285714285,0.8571428571428571,2.0,0.42857142857142855,3,1.52,31,9,0.01935483870967742,0.5806451612903226,2.0,0.0967741935483871,3,1.3199999999999998,125,186,0.024,2.976,6.0,0.48186666666666667,32,14.08
ADI-47190,30,10,0.022988505747126436,0.6666666666666666,2.0,0.1,3,1.1600000000000001,0.0,1.0,5.0,1.0,0.1,0.4,1.0,0.0,2,0.64,31,12,0.025806451612903226,0.7741935483870968,2.0,0.2903225806451613,3,1.2799999999999998,125,192,0.024774193548387096,3.072,6.0,0.5111999999999999,31,13.999999999999998
ADI-47191,27,8,0.022792022792022793,0.5925925925925926,2.0,0.0,3,0.88,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0.52,30,10,0.022988505747126436,0.6666666666666666,2.0,0.1,3,1.52,125,188,0.02425806451612903,3.008,6.0,0.5274666666666665,33,14.12
ADI-47192,24,6,0.021739130434782608,0.5,1.0,0.0,2,0.72,2.0,1.0,5.0,1.0,0.1,0.4,1.0,0.0,2,0.72,25,9,0.03,0.72,2.0,0.12,3,1.6,122,176,0.02384500745156483,2.8852459016393444,5.0,0.5038251366120219,29,12.679999999999998
ADI-47193,21,3,0.014285714285714285,0.2857142857142857,1.0,0.0,2,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.31999999999999995,26,7,0.021538461538461538,0.5384615384615384,2.0,0.0,3,1.2399999999999998,120,173,0.0242296918767507,2.8833333333333333,6.0,0.44722222222222224,32,14.280000000000001
ADI-47194,21,5,0.023809523809523808,0.47619047619047616,1.0,0.0,2,0.9199999999999999,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0.28,18,4,0.026143790849673203,0.4444444444444444,1.0,0.0,2,0.9199999999999999,114,170,0.0263934171712467,2.982456140350877,6.0,0.4947368421052632,38,16.919999999999998
ADI-47195,21,7,0.03333333333333333,0.6666666666666666,2.0,0.14285714285714285,3,1.12,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0.48,20,5,0.02631578947368421,0.5,1.0,0.0,2,0.96,118,175,0.025351296537737215,2.9661016949152543,6.0,0.5669491525423728,36,16.439999999999998
ADI-47196,22,5,0.021645021645021644,0.45454545454545453,1.0,0.0,2,0.56,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0.52,19,6,0.03508771929824561,0.631578947368421,2.0,0.0,3,1.4,122,174,0.023574041457797047,2.8524590163934427,6.0,0.5453551912568306,33,14.959999999999999
ADI-47197,23,6,0.023715415019762844,0.5217391304347826,3.0,0.10144927536231883,4,1.52,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1,0.52,34,9,0.016042780748663103,0.5294117647058824,2.0,0.08823529411764706,3,1.56,127,195,0.024371953505811773,3.0708661417322833,6.0,0.47611548556430455,31,13.76
ADI-47198,23,5,0.019762845849802372,0.43478260869565216,1.0,0.0,2,0.72,0.0,1.0,4.0,1.0,0.16666666666666666,0.5,1.0,0.0,2,0.7599999999999999,23,6,0.023715415019762844,0.5217391304347826,1.0,0.0,2,1.08,114,164,0.02546188480049682,2.8771929824561404,5.0,0.5517543859649122,31,13.799999999999999
ADI-47199,18,6,0.0392156862745098,0.6666666666666666,2.0,0.0,3,1.12,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.43999999999999995,27,11,0.03133903133903134,0.8148148148148148,2.0,0.2222222222222222,3,1.2799999999999998,115,163,0.02486651411136537,2.8347826086956522,6.0,0.5043478260869565,31,13.76
ADI-47200,22,4,0.017316017316017316,0.36363636363636365,1.0,0.0,2,0.72,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0.43999999999999995,30,10,0.022988505747126436,0.6666666666666666,2.0,0.0,3,1.52,117,176,0.025935750073681107,3.0085470085470085,6.0,0.5743589743589744,32,14.44
ADI-47201,32,18,0.036290322580645164,1.125,3.0,0.125,4,1.88,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0.48,20,7,0.03684210526315789,0.7,2.0,0.15,3,1.44,116,167,0.025037481259370314,2.8793103448275863,7.0,0.49712643678160917,33,15.559999999999999
ADI-47202,23,5,0.019762845849802372,0.43478260869565216,1.0,0.0,2,0.6,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0.48,23,7,0.02766798418972332,0.6086956521739131,2.0,0.0,3,1.56,115,169,0.02578184591914569,2.9391304347826086,6.0,0.5043478260869566,31,13.48
ADI-47203,26,4,0.012307692307692308,0.3076923076923077,1.0,0.0,2,0.72,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1,0.48,33,11,0.020833333333333332,0.6666666666666666,2.0,0.0,4,1.88,119,175,0.024925224327018942,2.9411764705882355,6.0,0.519047619047619,29,13.279999999999998
ADI-47204,24,8,0.028985507246376812,0.6666666666666666,2.0,0.125,3,1.3199999999999998,0.0,0.0,8.0,1.0,0.03571428571428571,0.25,1.0,0.0,2,1.04,25,9,0.03,0.72,2.0,0.12,3,1.4,120,171,0.023949579831932775,2.85,7.0,0.5053968253968254,28,13.000000000000002
ADI-47205,16,3,0.025,0.375,1.0,0.0,2,0.96,0.0,1.0,,,,,,,0,,22,5,0.021645021645021644,0.45454545454545453,1.0,0.0,2,0.9199999999999999,115,171,0.02608695652173913,2.973913043478261,6.0,0.5153623188405797,31,13.919999999999998
ADI-47206,27,7,0.019943019943019943,0.5185185185185185,2.0,0.1111111111111111,3,1.12,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.52,24,6,0.021739130434782608,0.5,1.0,0.0,2,0.76,112,151,0.024292149292149293,2.6964285714285716,6.0,0.47500000000000003,30,13.52
ADI-47207,29,13,0.03201970443349754,0.896551724137931,3.0,0.1839080459770115,4,1.52,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1,0.36,29,9,0.022167487684729065,0.6206896551724138,2.0,0.10344827586206896,3,1.44,126,194,0.024634920634920635,3.0793650793650795,5.0,0.5359788359788359,32,13.959999999999999
ADI-47208,22,3,0.012987012987012988,0.2727272727272727,1.0,0.0,2,1.08,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1,0.52,24,7,0.025362318840579712,0.5833333333333334,2.0,0.0,3,1.2399999999999998,114,168,0.02608290638099674,2.9473684210526314,6.0,0.5467836257309941,32,14.16
